MEDIA 5052 | meaning: having little physical weight, not heavy
E 33728 | A1 type 1 TO BE | style chill | options 3 | SEL
en|The suitcases ... not light, and they fall on the man.|are|is|am
de|Die Koffer ... nicht leicht, und sie fallen auf den Mann.|sind|ist|bin
ua|Валізи ... не легкі, і вони падають на чоловіка.|є|є|є
es|Las maletas no ... ligeras, y se caen sobre el hombre.|son|es|soy
fr|Les valises ne ... pas légères, et elles tombent sur l'homme.|sont|est|suis
tr|Bavullar hafif değil ... ve adamın üstüne düşüyorlar.|||
hu|A bőröndök nem ... könnyűek, és ráesnek a férfira.|||vagyok
MEDIA 5057 | meaning: letters and packages sent by post
E 33847 | A1 type 2 HAVE GOT | style chill | options 3 | SEL
en|The girl ... a lot of mail today.|has got|have got|has get
de|Das Mädchen ... heute viel Post.|hat|haben|hat
ua|Дівчина сьогодні ... багато пошти.|має|мати|має
es|La chica ... mucho correo hoy.|tiene|tienen|tiene
fr|La fille ... beaucoup de courrier aujourd'hui.|a|ont|a
tr|Kızın bugün çok postası ...|var|var|var
hu|A lánynak ma sok postája ...|van|van|van
MEDIA 5058 | meaning: a person whose job is to bring letters to houses
E 34504 | A1 type 4 Modal verb CAN | style chill | options 3 | SEL
en|The postman ... carry letters and a parcel in his bag.|can|cans|can to
de|Der Postbote ... Briefe und ein Paket in seiner Tasche tragen.|kann|kann|kann
ua|Листоноша ... носити листи й посилку в сумці.|може|може|може
es|El cartero ... llevar cartas y un paquete en su bolsa.|puede|puede|puede
fr|Le facteur ... porter des lettres et un colis dans son sac.|peut|peut|peut
tr|Postacı çantasında mektup ve bir koli ...|taşıyabilir|taşıyabilir|taşıyabilir
hu|A postás ... leveleket és egy csomagot a táskájában.|vihet|vihet|vihet
E 34511 | A2 type 21 There is, are | style chill | options 3 | SEL
en|There ... no letters before the postman comes.|are|is|be
de|Bevor der Postbote kommt, ... da keine Briefe.|sind|ist|sein
ua|Поки не прийде листоноша, ... жодних листів.|немає|немає|не бути
es|... cartas antes de que llegue el cartero.|No hay|No hay|No hay
fr|... pas de lettres avant que le facteur arrive.|Il n'y a|Il n'y a|Il n'y a
tr|Postacı gelmeden önce hiç mektup ...|yok|yok|olmak
hu|Mielőtt megjön a postás, ... levelek.|nincsenek|nincs|lenni
MEDIA 5059 | meaning: a written message you send to a person
E 33719 | A1 type 10 Prepositions of place/time | style flirt | options 3 | SEL
en|The way you hold ten letters ... your arms? Iconic.|in|on|at
de|Wie du zehn Briefe ... deinen Armen hältst? Ikonisch.|in|auf|an
ua|Як ти тримаєш десять листів ... руках? Легенда.|в|на|біля
es|¿La forma en que tú sostienes diez cartas ... los brazos? Icónico.|en|sobre|a
fr|La façon dont tu tiens dix lettres ... tes bras ? Iconique.|dans|sur|à
tr|Sen on mektubu kollarının ... nasıl da tutuyorsun öyle? Efsane.|arasında|üstünde|
hu|Ahogy te tíz levelet tartasz a ...? Ikonikus.|karodban|karodon|karodnál
E 33726 | A2 type 17 Future BE GOING TO | style gossip | options 3 | SEL
en|Girl, apparently he ... every single letter tonight.|is going to answer|answers|going to answer
de|Süße, anscheinend ... er heute Abend jeden einzelnen Brief beantworten.|wird|beantwortet|wird
ua|Подруго, кажуть, він сьогодні ввечері ... на кожен лист.|збирається відповісти|відповідає|збирається відповісти
es|Tía, al parecer él ... cada carta esta noche.|va a responder|responde|va a responder
fr|Ma belle, apparemment il ... à chaque lettre ce soir.|va répondre|répond|va répondre
tr|Kızım, anlaşılan o bu akşam her bir mektuba ...|cevap verecek|cevap verir|cevap verecek
hu|Csajszi, állítólag ő ma este minden egyes levélre ...|válaszolni fog|válaszol|válaszolni fog
MEDIA 5066 | meaning: a small part that shows what the whole is like
E 34920 | A1 type 11 Cardinal numbers | style chill | options 3 | SEL
en|He tastes one olive sample, then buys ... oranges.|ten|tenth|tens
de|Er probiert eine Olivenprobe, dann kauft er ... Orangen.|zehn|zehnte|Zehnen
ua|Він куштує одну оливку на пробу, потім купує ... апельсинів.|десять|десятий|десятки
es|Él prueba una muestra de aceituna y luego compra ... naranjas.|diez|décimas|diez
fr|Il goûte un échantillon d'olive, puis il achète ... oranges.|dix|dixièmes|dix
tr|O bir zeytin numunesi tadıyor, sonra ... portakal alıyor.|on|onuncu|onlar
hu|Ő megkóstol egy olívamintát, aztán vesz ... narancsot.|tíz|tizedik|tízesek
E 34921 | A2 type 12 Past Simple | style chill | options 3 | SEL
en|Yesterday at the market, he ... one olive as a sample.|tasted|tastes|taste
de|Gestern auf dem Markt ... er eine Olive als Kostprobe.|probierte|probiert|probieren
ua|Учора на ринку він ... одну оливку на пробу.|скуштував|куштує|скуштувати
es|Ayer en el mercado, él ... una aceituna como muestra.|probó|prueba|probar
fr|Hier au marché, il ... une olive comme échantillon.|a goûté|goûte|goûter
tr|Dün pazarda o bir zeytini numune olarak ...|tattı|tadar|tatmak
hu|Tegnap a piacon ő ... egy olívabogyót mintaként.|megkóstolt|megkóstol|megkóstolni
MEDIA 5073 | meaning: something you take that treats an illness
E 33885 | A1 type 2 HAVE GOT | style chill | options 3 | SEL
en|The woman ... a brown bottle of medicine.|has got|have got|has get
de|Die Frau ... eine braune Flasche Medizin.|hat|haben|hat
ua|Жінка ... коричневу пляшку ліків.|має|мати|має
es|La mujer ... una botella marrón de medicina.|tiene|tienen|tiene
fr|La femme ... une bouteille marron de médicament.|a|ont|a
tr|Kadının kahverengi bir ilaç şişesi ...|var|var|var
hu|A nőnek ... egy barna üveg gyógyszere.|van|van|van
E 33888 | A2 type 20 Much, Many, Some... | style dramatic | options 3 | SEL
en|Too ... medicine on one spoon! This is the worst day!|much|many|a lot
de|Zu ... Medizin auf einem Löffel! Das ist der schlimmste Tag!|viel|viele|eine Menge
ua|Занадто ... ліків на одній ложці! Це найгірший день!|багато|багато|багато
es|¡... medicina en una cuchara! ¡Es el peor día!|Demasiada|Demasiadas|Un montón de
fr|... trop de médicament sur une cuillère ! C'est le pire jour !|Beaucoup|Beaucoup|Plein
tr|Bir kaşıkta ... fazla ilaç var! Bu en kötü gün!|çok|çok|çok
hu|Túl ... gyógyszer egy kanálon! Ez a legrosszabb nap!|sok|sok|rengeteg
MEDIA 5074 | meaning: to make people come to know each other
E 33482 | A1 type 3 Present Simple | style flirt | options 3 | SEL
en|Honestly, you ... yourself to every colleague so smoothly.|introduce|introduces|introducing
de|Ehrlich, du ... dich jedem Kollegen so lässig vor.|stellst|stellt|vorstellend
ua|Чесно, ти так легко ... кожному колезі.|представляєшся|представляється|представляючись
es|Sinceramente, tú te ... a cada compañero con mucha soltura.|presentas|presenta|presentando
fr|Franchement, tu te ... à chaque collègue avec tellement d'aisance.|présentes|présente|présentant
tr|Açıkçası sen her iş arkadaşına kendini çok rahat ...|tanıtırsın|tanıtır|tanıtarak
hu|Őszintén, te olyan lazán ... magad minden kollégának.|bemutatod|bemutatja|bemutató
E 33488 | A2 type 15 Present Continuous or Simple | style chill | options 2 | SEL
en|She usually works alone, but today she ... herself to the team.|is introducing|introduces|
de|Sie arbeitet sonst allein, aber heute ... sie sich dem Team vor.|stellt|stellt|
ua|Вона зазвичай працює сама, але сьогодні ... команді.|представляється|представляється|
es|Normalmente ella trabaja sola, pero hoy se ... al equipo.|está presentando|presenta|
fr|D'habitude elle travaille seule, mais aujourd'hui elle ... à l'équipe.|est en train de se présenter|se présente|
tr|O genelde yalnız çalışır ama bugün kendini ekibe ...|tanıtıyor|tanıtır|
hu|Ő általában egyedül dolgozik, de ma ... magát a csapatnak.|bemutatja|bemutatja|
MEDIA 5076 | meaning: one of the persons who joined a group
E 33915 | A1 type 8 My, Your, His,... | style clueless | options 3 | SEL
en|He taps ... card because he is a member with a card.|his|her|its
de|Er hält ... Karte hin, weil er ein Mitglied mit Karte ist.|seine|ihre|seine
ua|Він прикладає ... картку, бо він член клубу з карткою.|свою|свою|свою
