key	exercise_id	lang	mode	intro_text	correct_answer	distractor_1	distractor_2	note
P2-331-hu	331	hu	PATCH	Fáj a foga, és a füle ...	is	sem	vagy sem	dropped added clause 'ez a legrosszabb'
P2-331-ua	331	ua	PATCH	У нього болить зуб, і вухо ...	теж	теж ні	або ні	dropped added clause 'це найгірше'
P2-354-cz	354	cz	PATCH	Tiskla si kocoura na tvář, když najednou hodně nahlas ...	zapředl	předl		dropped added 'a ona se rozesmála'
P2-354-hu	354	hu	PATCH	Ő az arcához szorította a macskát, amikor az hirtelen nagyon hangosan ...	feldorombolt	dorombolt		dropped added 'és felnevetett'
P2-354-sk	354	sk	PATCH	Tisla si kocúra na líce, keď zrazu veľmi hlasno ...	zapriadol	priadol		dropped added 'a ona sa rozosmiala'
P2-354-ua	354	ua	PATCH	Вона притискала кота до щоки, коли він раптом дуже гучно ...	замуркотів	муркотів		dropped added 'і вона розсміялася'
P2-1067-ua	1067	ua	PATCH	Той, ... кліпне першим, платить за обидва молочні коктейлі.	хто	яке	чий	коктейлі -> молочні коктейлі (milkshakes)
P2-1079-ua	1079	ua	PATCH	Вона ... його в тому, що він кліпнув двічі, ще навіть не торкнувшись молочного коктейлю.	звинуватила	докорила	заперечила	коктейлю -> молочного коктейлю (milkshake)
P2-1551-hu	1551	hu	PATCH	A barátnője azt kívánja, bárcsak pár órával korábban ... volna, de ő nem panaszkodik.	lemondta	lemondja	lemondaná	mondta (said) -> lemondta (cancelled); distractors follow
P2-4780-cz	4780	cz	PATCH	Do Vánoc si její bratr z toho panenkovského svetru ... už měsíce.	bude utahovat	bude utahujíc	poutahuje si	added subject 'její bratr'
P2-4780-sk	4780	sk	PATCH	Do Vianoc si jej brat z toho bábikovského svetra ... už mesiace.	bude uťahovať	bude uťahujúc	pouťahuje si	added subject 'jej brat'
P2-6783-hu	6783	hu	PATCH	Ez az az alkar, ... tavasszal eltört.	amelyet	akit	amikor	amely -> amelyet so she broke it (object relative)
P2-7686-ua	7686	ua	PATCH	Ніколи вони ... сніданку, що так добре виглядає в кадрі.	не бачили	бачили	побачили	ми (we) -> вони (they)
P2-8725-hu	8725	hu	PATCH	A menetet ... két nap alatt szervezték meg.	állítólag	mondja	mondta	gap moved to állítólag (= is said); final period added
P2-8725-ua	8725	ua	PATCH	..., що ходу організували за два дні.	Кажуть	Каже	Кажучи	gap moved to Кажуть (= is said)
P2-8934-ua	8934	ua	PATCH	..., що його зміна напрямку є найшвидша в команді.	Кажуть	Каже	Кажучи	gap moved to Кажуть (= is said)
P2-9325-ua	9325	ua	PATCH	Цей шовк ... з прилавка усе пообіддя — ніхто його не втримає.	зісковзує	зісковзнув	зісковзне	цілий день -> усе пообіддя (all afternoon)
P2-9413-ua	9413	ua	PATCH	Він ... контрабандою сир щомісяця, але просто зараз лише усміхається.	провозить	саме провозить	провіз	возить -> провозить контрабандою (smuggles)
P2-9705-hu	9705	hu	PATCH	Ezt az egyezséget évekkel ezelőtt is ... volna aláírni — semmi sem gátolta őket.	tudták	tudják	kell	írni -> aláírni (sign)
P2-10671-cz	10671	cz	PATCH	Do devíti ... každé zrcadlo v celém bytě.	zkontroluje	kontroluje	kontroloval	oběhne -> zkontroluje (will have checked); distractors follow
P2-10671-sk	10671	sk	PATCH	Do deviatej ... každé zrkadlo v celom byte.	skontroluje	kontroluje	kontroloval	obehne -> skontroluje (will have checked); distractors follow
P2-11322-ua	11322	ua	PATCH	Він завжди малює олівцем, але сьогодні ... восковими олівцями.	малює	малював	малюватиме	крейдою -> восковими олівцями (crayons)
P2-12077-hu	12077	hu	RETRANSLATE	A tenger feneke homokos és ...	világos	világosak	világosabb	retranslated (sandy and bright); no 3sg copula, gap on predicate adjective
P2-12131-hu	12131	hu	RETRANSLATE	A nagy kartondoboz majdnem tele ...	van	vannak	volt	retranslated (almost full), gap van
P2-12193-sk	12193	sk	PATCH	Dievčatko zatne obe ... a ide ďalej.	päste	päsť	pästí	past zaťalo/išlo -> present zatne/ide
P2-13157-hu	13157	hu	RETRANSLATE	A nagy sajtkerék sárga és nagyon ...	régi	régiek	régebbi	retranslated (yellow and very old); no 3sg copula, gap on predicate adjective
P2-13157-ua	13157	ua	PATCH	Велика голова сиру ... жовта і дуже стара.	є	бути	будь	була (was) -> є (is); distractors changed
P2-14003-hu	14003	hu	RETRANSLATE	A tejszín sűrű és ...	fehér	fehérek	fehérebb	retranslated (thick and white); gap on predicate adjective
P2-14424-hu	14424	hu	PATCH	A pörkölt forró, ... ők lassan eszik.	ezért	de	mert	ő -> ők (they); eszik is 3pl definite
P2-14514-hu	14514	hu	RETRANSLATE	A rajza majdnem készen ...	van	vannak	vagyok	retranslated (his drawing is almost finished), gap van
P2-14624-hu	14624	hu	RETRANSLATE	A palackban lévő víz nagyon ...	hideg	hidegek	hidegebb	retranslated (water in the bottle very cold); gap on predicate adjective
P2-14690-ua	14690	ua	PATCH	Він ... яблуко, і воно відскочило.	впустив	впускає	впускати	кинув (threw) -> впустив (dropped); distractors follow
P2-15212-ua	15212	ua	PATCH	Цю вправу ти ... робити у своєму саду.	можеш	можуть	могти	Ці вправи -> Цю вправу (singular)
P2-16085-cz	16085	cz	RETRANSLATE	Hraní v noci je ... pocit.	úžasný	úžasná	úžasné	retranslated (gaming at night is an amazing feeling); no article, gap on agreeing adjective
P2-16085-sk	16085	sk	RETRANSLATE	Hranie v noci je ... pocit.	úžasný	úžasná	úžasné	retranslated (gaming at night is an amazing feeling); no article, gap on agreeing adjective
P2-16085-ua	16085	ua	RETRANSLATE	Геймінг уночі — це ... відчуття.	неймовірне	неймовірний	неймовірна	retranslated (gaming at night is an amazing feeling); no article, gap on agreeing adjective
P2-16552-hu	16552	hu	RETRANSLATE	A nagypapa öreg, fehér szakálla és sapkája ...	van	vannak	lenni	retranslated (old, white beard and cap), gap van
P2-17102-hu	17102	hu	PATCH	A házi feladata egy nagy kupacban ... az asztalon.	van	vannak	lenni	dropped tegnap, volt -> van (present)
P2-17121-cz	17121	cz	RETRANSLATE	... domácího úkolu máš dnes večer?	Kolik	Mnohé	Pár	retranslated as question (how much ... do you have), gap Kolik
P2-17121-sk	17121	sk	RETRANSLATE	... domácej úlohy máš dnes večer?	Koľko	Mnohé	Pár	retranslated as question (how much ... do you have), gap Koľko
P2-17121-ua	17121	ua	PATCH	... в тебе сьогодні домашнього завдання?	Скільки	Багатьох	Кілька	dropped added answer 'Дуже багато', gap moved to Скільки
