key	exercise_id	lang	mode	intro_text	correct_answer	distractor_1	distractor_2	note
P2-331-de	331	de	PATCH	Sein Zahn tut weh, und sein Ohr ... .	auch	auch nicht	entweder	dropped added clause 'das ist das Schlimmste'
P2-331-es	331	es	PATCH	Le duele el diente, y la oreja ... .	también	tampoco	o no	dropped added clause 'eso es lo peor'
P2-331-fr	331	fr	PATCH	Sa dent lui fait mal, et son oreille ... .	aussi	non plus	ou pas	dropped added clause 'c'est ça le pire'
P2-331-tr	331	tr	PATCH	Dişi ağrıyor, kulağı ... .	da ağrıyor	da ağrımıyor	ya da ağrıyor	dropped added clause 'en kötüsü de bu'
P2-354-de	354	de	PATCH	Sie drückte den Kater an ihre Wange, als er plötzlich ganz laut ... .	schnurrte	am Schnurren war		dropped added 'und sie lachen musste'
P2-354-tr	354	tr	PATCH	Kediyi yanağına bastırıyordu ki hayvan birden çok yüksek sesle ... .	mırladı	mırlıyordu		dropped added 've kadın güldü'
P2-1207-de	1207	de	PATCH	Bis zum Ende der Woche wird sie jeden einzelnen Nachmittag in dieser Hängematte ... .	verbracht haben	verbringen	verbracht werden	dropped 'Ich bin sicher, dass', main-clause order; gap now the participle part of wird ... verbracht haben
P2-3649-es	3649	es	PATCH	La primavera que viene el dron ... esta naturaleza salvaje durante cinco años sin encontrar ni una carretera.	llevará grabando	estará grabando	habrá sido grabado	subject él -> el dron
P2-4196-de	4196	de	PATCH	Wenn es die ganze Woche nicht geregnet hätte, ... das Moos nicht so viel Wasser gehalten, als er es ausdrückte.	hätte	hat	hatte	added 'als er es ausdrückte' (when he squeezed it)
P2-4960-de	4960	de	PATCH	Ruf sie nicht um sechs an; da ... sie gerade Harz über die nächste Tischplatte gießen.	wird	goss	hat	present 'gießt gerade' -> future 'da wird sie gerade ... gießen'; gap wird
P2-5578-de	5578	de	PATCH	Nie ... in dieser Küche einen Korken so sauber herauskommen sehen.	habe ich	ich habe	ich hatte	added 'in dieser Küche'
P2-5703-de	5703	de	PATCH	Wenn sie die Schriftrolle lauter vorliest, ... die hintere Reihe jedes Wort hören.	wird	würde	hätte	added object 'die Schriftrolle'
P2-5738-de	5738	de	PATCH	Bis er eine Schüssel fand, ... der Fisch schon eine Pfütze auf der Arbeitsplatte gemacht.	hatte	hat	wird	added 'auf der Arbeitsplatte'
P2-5870-de	5870	de	PATCH	Wenn ich so einen Talar hätte, ... ich die Bühne zweimal für die Fotos überqueren.	würde	werde	hätte	added 'für die Fotos'
P2-5960-de	5960	de	PATCH	Wenn ich sein Auge für Fälschungen hätte, ... ich die Hälfte der Ware auf diesem Markt ablehnen.	würde	werde	hätte	die Hälfte -> die Hälfte der Ware auf diesem Markt
P2-7317-de	7317	de	PATCH	Nie ... sie einen so glänzenden Gloss getragen, bevor sie diese rosa Tube fand.	hatte	sie hatte	hat sie gehabt	added 'bevor sie diese rosa Tube fand'; dropped redundant 'zuvor'
P2-7664-de	7664	de	PATCH	Morgen um diese Zeit werden sie vor dem Lauf noch eine Regenbogenschüssel ...	zubereiten	zubereitet haben	zubereitet	gap 'gerade machen' (straighten) -> 'zubereiten' (make/prepare); new distractors
P2-9586-de	9586	de	PATCH	Diesen Monat ... sie schon vier Rennen bestritten, und ihre Beine spüren es.	hat	ist	wird	added 'und ihre Beine spüren es'
P2-9656-es	9656	es	PATCH	El chef ... tocado la campana antes: los platos ya estaban listos.	podría haber	puede	debe	haber tocar -> haber tocado; added object 'la campana'
P2-9705-es	9705	es	PATCH	... firmado este acuerdo hace años: nada se lo impedía.	Podrían haber	Pueden	Deben	haber firmar -> haber firmado
