MEDIA 4001 | meaning: a fast military plane that fights enemy aircraft
E 39197 | B1 type 32 Present Perfect Continuous | style nerd | options 3 | SEL
en|The model fighter jet ... bread for approximately three minutes.|has been toasting|is toasting|toasts
de|Das Kampfjet-Modell ... das Brot seit etwa drei Minuten.|toastet|toastet|toastet
ua|Модель винищувача ... хліб уже приблизно три хвилини.|підсмажує|підсмажує|підсмажує
es|El modelo de avión de combate ... el pan desde hace aproximadamente tres minutos.|está tostando|está tostando|tuesta
fr|Le modèle d'avion de chasse ... le pain depuis environ trois minutes.|grille|grille|grille
tr|Model savaş uçağı yaklaşık üç dakikadır ekmeği ...|kızartıyor|kızartıyor|kızartır
hu|A vadászgép-modell körülbelül három perce ... a kenyeret.|pirítja|pirítja|pirítja
MEDIA 4002 | meaning: a steady state where you do not fall over
E 37021 | B1 type 46 Used to, Would | style chill | options 3 | SEL
en|Before she worked in this office, she ... be a gymnast with great balance.|used to|would|is used to
de|Bevor sie in diesem Büro gearbeitet hat, ... eine Turnerin mit krassem Gleichgewicht.|war sie früher|wäre sie|ist sie gewohnt
ua|До того як працювати в цьому офісі, вона ... гімнасткою з чудовим балансом.|колись була|була б|звикла бути
es|Antes de trabajar en esta oficina, ella ... gimnasta con un equilibrio increíble.|solía ser|sería|está acostumbrada a ser
fr|Avant de travailler dans ce bureau, elle ... gymnaste avec un super équilibre.|était|serait|est habituée à être
tr|Bu ofiste çalışmadan önce o, harika dengeye sahip bir jimnastikçi ...|idi|olurdu|olmaya alışkın
hu|Mielőtt ebben az irodában dolgozott, ő szuper egyensúlyú tornász ...|volt|lett volna|szokott lenni
E 37026 | B2 type 51 Future Perfect Simple | style dramatic | options 3 | SEL
en|By Friday, the whole office ... the video of her balance. What a disaster!|will have seen|will see|will be seeing
de|Bis Freitag wird das ganze Büro das Video von ihrer Balance ... Was für eine Katastrophe!|gesehen haben|sehen|gerade sehen
ua|До п'ятниці весь офіс ... відео з її балансом. Яка катастрофа!|побачить|побачить|дивитиметься
