exercise_id,language_code,concept_id,headword,level,type_title,src,en,v1,v2,lk1,lk2,lk_verdict,lk_reason,voice,agent_nom,subject,embedded_agents,person,number,gender,tf,tense_open,perfective_present,fragment,rewrite_action,rewrite_by,rewrite_text,alt_mapped_groups,flags
37664,sk,3002,ceiling,B1,"Used to, Would",Tento strop v spálni býval jeho obľúbenou televíziou. Napínavé.,This bedroom ceiling used to be his favourite TV. Riveting.,This bedroom ceiling used to be his favourite TV. Riveting.,,used to be,,adjusted,verb missing from span,active_agent,True,Tento strop v spálni,,3sg,sg,m,past,False,False,False,U,model,Tento strop v spálni býval jeho obľúbenou televíziou. Napínavé.,favourite,
37667,sk,3002,ceiling,B2,Future Perfect Simple,Do konca prehliadky on uvidí každú postavu na maľovanom strope.,"By the end of the tour, he will have seen every figure on the painted ceiling.","By the end of the tour, he will have seen every figure on the painted ceiling.",,will have seen,,exact,full verb phrase already,active_agent,True,on,,3sg,sg,m,future,False,True,False,U,script,Do konca prehliadky on uvidí každú postavu na maľovanom strope.,end_finish|trip_journey_tour|meet_see|see_watch|spot_notice_see|understand_get|visit_see|number_figure|paint_colour,
33460,sk,2525,improve,A1,Wh- questions,Ako veľký rozpočet potrebujeme na zlepšenie miestnosti? 800 eur.,How much budget do we need to improve the room? 800 euros.,How much budget do we need to improve the room? 800 euros.,,do we need,,adjusted,"wh-word, not the verb",active_prodrop,False,,,1pl,pl,,present,False,False,False,R,model,Ako veľký rozpočet my potrebujeme na zlepšenie miestnosti? 800 eur.,need_require|improve_get_better|room_space,
33466,sk,2525,improve,A2,Future BE GOING TO,"Kámo, oni sa chystajú zlepšiť celú túto zničenú miestnosť budúci týždeň, fakt.","Bro, they are going to improve this whole wrecked room next week, no cap.","Bro, they are going to improve this whole wrecked room next week, no cap.",,are going to improve,,exact,full verb phrase already,active_agent,True,oni,,3pl,pl,m,future,False,False,False,U,script,"Kámo, oni sa chystajú zlepšiť celú túto zničenú miestnosť budúci týždeň, fakt.",dude_mate_bro|leave_go|travel_go|improve_get_better|whole_entire|destroy_ruin|room_space|next_following|then_after_that|hat_cap,
7295,sk,556,lip gloss,B1,Future Continuous,"Zajtra o takomto čase bude mať na perách ten istý lesk vo videu, ako sa pripravuje.",This time tomorrow she will be wearing the same gloss for her get-ready video.,This time tomorrow she will be wearing the same gloss for her get-ready video.,,will be wearing,,exact,full verb phrase already,active_prodrop,False,,,3sg,sg,,future,False,False,False,U,script,"Zajtra o takomto čase bude mať na perách ten istý lesk vo videu, ako sa pripravuje.",wear_put_on|arrive_come|become_get|buy_get|fetch_go_get|get_obtain|get_receive|understand_get|ready_prepared,
7317,sk,556,lip gloss,B2,Inversion basic,"Nikdy predtým nemala na perách taký lesklý lesk, kým nenašla túto ružovú tubu.",Never had she worn a gloss this shiny before she found this pink tube.,Never had she worn a gloss this shiny before she found this pink tube.,,had she worn,,exact,inverted verb phrase complete,active_prodrop,False,,,3sg,sg,f,past,False,False,False,R,model,"Nikdy predtým ona nemala na perách taký lesklý lesk, kým nenašla túto ružovú tubu.",wear_put_on|in_front_of_before|come_across_find|find_discover|set_up_start|train_tube,
6442,sk,419,foundation,B1,"So, Neither, Nor",Ona nemá rada silné krytie a jej kamarátka tiež nie.,"She doesn't like heavy coverage, and neither does her friend.","She doesn't like heavy coverage, and neither does her friend.",,neither does,,adjusted,"adverb alone, verb added",active_agent,True,Ona,,3sg,sg,f,present,False,False,False,U,script,Ona nemá rada silné krytie a jej kamarátka tiež nie.,like_enjoy|like_such_as|thick_heavy|friend_buddy|friend_mate,
6443,sk,419,foundation,B2,Past Perfect Continuous,"Ťukali na tú jednu škvrnu celú večnosť, kým sa konečne rozotrela.",They had been dabbing at that one spot for ages before it finally blended.,They had been dabbing at that one spot for ages before it finally blended.,,had been dabbing,,exact,full verb phrase already,active_prodrop,False,,,3pl,pl,,past,False,False,False,R,script,"Oni ťukali na tú jednu škvrnu celú večnosť, kým sa konečne rozotrela.",spot_notice_see|spot_penalty_spot|in_front_of_before|in_the_end_ultimately|last_final,
40646,sk,552,lighthouse,B2,Wish clauses,"Želá si, aby bola navštívila maják skôr, namiesto toho, aby sa len pozerala na plagát.","She wishes she had visited the lighthouse sooner, instead of only looking at a poster.","She wishes she had visited the lighthouse sooner, instead of only looking at a poster.",,had visited,,exact,wish-clause verb phrase complete,active_prodrop,False,,,3sg,sg,f,present,False,False,False,R,model,"Ona si želá, aby bola navštívila maják skôr, namiesto toho, aby sa len pozerala na plagát.",visit_see|soon_shortly|look_at_watch|look_glance_peek|look_seem_appear|look_style|job_work_position|send_post_mail,
42296,sk,3428,return,B1,Past Continuous,"Jej návrat bol celkom ikonický: točila sa naboso dookola, keď ju zachytila kamera.",Her return was lowkey iconic: she was spinning around barefoot when the camera caught her.,Her return was lowkey iconic: she was spinning around barefoot when the camera caught her.,,was spinning,,exact,full verb phrase already,active_prodrop,False,,kamera,3sg,sg,f,past,False,False,False,U,script,"Jej návrat bol celkom ikonický: točila sa naboso dookola, keď ju zachytila kamera.",get_back_return|return_come_back|take_back_return|spin_twirl|turn_spin_rotate|around_about|catch_grab|catch_pick_up,
42304,sk,3428,return,B2,Articles advanced,"Baby, počula som, že návrat našej obľúbenej cestovateľky bol dnes.","Girl, I heard the return of our favourite traveller happened today.","Girl, I heard the return of our favourite traveller happened today.",,I heard,,adjusted,"noun phrase, not verbal",active_prodrop,False,,návrat našej obľúbenej cestovateľky,1sg,sg,f,past,False,False,False,R,model,"Baby, ja som počula, že návrat našej obľúbenej cestovateľky bol dnes.",hear_listen|get_back_return|return_come_back|take_back_return|favourite|travel_go|traveller|go_on_happen|happen_occur,
16027,sk,1353,fruit,A1,Singular and plural,Kúpi dva pomaranče a jedno veľké mango.,She buys two oranges and one big mango.,She buys two oranges and one big mango.,She will buy two oranges and one big mango.,buys,will buy,adjusted,"noun, not the verb",active_prodrop,False,,,3sg,sg,,future,True,True,False,R,model,Ona kúpi dva pomaranče a jedno veľké mango.,buy_get|buy_purchase|orange_ginger_cat|big_large,
16038,sk,1353,fruit,A2,Future with WILL,Ochutnaj túto broskyňu a budeš nadšená.,Try this peach and you will love it.,Try this peach and you will love it.,,will love,,adjusted,"bare auxiliary, verb added",active_prodrop,False,,,2sg,sg,f,future,False,False,False,U,script,Ochutnaj túto broskyňu a budeš nadšená.,try_attempt|try_on_test|try_taste|love_adore,
44101,sk,3593,timber,B1,Reported speech,"Povedal, že rezivo narezal na dosky deň predtým.",He said he had cut the timber into planks the day before.,He said he had cut the timber into planks the day before.,,had cut,,exact,backshifted verb phrase complete,active_prodrop,False,,,3sg,sg,m,past,False,False,False,R,script,"On povedal, že rezivo narezal na dosky deň predtým.",cut_chop_slice|drop_lower_reduce|reduce_cut|board_plank|in_front_of_before,
44700,sk,3646,weapon,B1,Passive or Active,"Jeho zbraň bola spustená do trávy! Je koniec, úplný koniec!","His weapon was lowered down onto the grass! It's over, completely over!","His weapon was lowered down onto the grass! It's over, completely over!",,was lowered,,exact,passive verb phrase complete,passive,False,Jeho zbraň,,3sg,sg,f,past,False,False,False,U,script,"Jeho zbraň bola spustená do trávy! Je koniec, úplný koniec!",drop_lower_reduce|completely_totally|fill_in_complete|finish_complete|total_complete_absolute,
44710,sk,3646,weapon,B2,Future Perfect Continuous,Do 17:00 hráči budú používať tento typ zbrane približne šesť hodín.,"By 5 p.m., the players will have been using this type of weapon for approximately six hours.","By 5 p.m., the players will have been using this type of weapon for approximately six hours.",,will have been using,,exact,full verb phrase already,active_agent,True,hráči,,3pl,pl,m,future,False,False,False,U,script,Do 17:00 hráči budú používať tento typ zbrane približne šesť hodín.,kind_type_sort|approximately_roughly|around_about,
17212,sk,1450,horse,A1,TO BE,Hnedý kôň je pokojný na šírej zelenej stepi.,The brown horse is quiet on the wide green steppe.,The brown horse is quiet on the wide green steppe.,,is,,exact,copula is the verb,active_agent,True,Hnedý kôň,,3sg,sg,m,present,False,False,False,U,script,Hnedý kôň je pokojný na šírej zelenej stepi.,calm_peaceful_quiet|peace_quiet|quiet_silent|shut_up_be_quiet|wide_broad,
17234,sk,1450,horse,A2,"Must, Have to...",Step je veľká. Musíš si zobrať so sebou vodu!,The steppe is big. You must take water with you!,The steppe is big. You must take water with you!,,must take,,adjusted,"modal alone, verb added",active_prodrop,False,,,2sg,sg,,present,False,False,False,R,model,Step je veľká. Ty si musíš zobrať so sebou vodu!,big_large|carry_bring|drive_take,
43976,sk,3581,tear,B1,Present Perfect Continuous,Elegantné: už päť minút trháš papier a stále si taká pokojná.,Smooth: you have been tearing paper apart for five minutes and you're still so calm.,Smooth: you have been tearing paper apart for five minutes and you're still so calm.,,have been tearing,,exact,full verb phrase already,active_prodrop,False,,,2sg,sg,f,present,False,False,False,R,model,Elegantné: ty už päť minút trháš papier a stále si taká pokojná.,smooth_even|tear_rip|moment_minute_second|motionless_still_stand|nevertheless_even_so|only_just_still|still_motionless|calm_peaceful_quiet|calm_relaxed|peace_quiet,
43984,sk,3581,tear,B2,All Past Tenses,"Bože, hovorí sa, že roztrhla zmluvu skôr, než stihol niekto povedať slovo.","Omg, they're saying she had torn the contract before anyone could say a word.","Omg, they're saying she had torn the contract before anyone could say a word.",,had torn,,exact,past perfect phrase complete,passive,False,,niekto,3sg,sg,,present,False,False,False,U,model,"Bože, hovorí sa, že roztrhla zmluvu skôr, než stihol niekto povedať slovo.",tear_rip|treaty_agreement|in_front_of_before|anyone,
41403,sk,3353,paperwork,B1,0 Conditional,"Jasné, oddychová práca: keď ona zdvihne telefón, na stôl jej pristane ďalšia administratíva.","Clearly a relaxing job: if she answers the phone, more paperwork lands on her desk.","Clearly a relaxing job: if she answers the phone, more paperwork lands on her desk.",,answers,,exact,conditional verb correctly spanned,active_agent,True,ďalšia administratíva,ona,3sg,sg,f,present,True,True,False,U,model,"Jasné, oddychová práca: keď ona zdvihne telefón, na stôl jej pristane ďalšia administratíva.",empty_clear|calm_down_relax|rest_relax|job_work_position|answer_reply|answer_respond|call_phone_ring|phone_mobile|land_touch_down|settle_land,
