key	exercise_id	lang	mode	intro_text	correct_answer	distractor_1	distractor_2	note
P1-114-es	114	es	PATCH	Cuando se puso en marcha la máquina de confeti, él ya ... del escenario con su diploma.	había bajado	estaba bajando	ha bajado	ella -> él
P1-466-es	466	es	PATCH	Mañana a esta hora ella ya lo ..., y el puesto estará lleno de flores frescas.	habrá superado	superará	estará superando	él -> ella
P1-541-es	541	es	PATCH	Ella sabía que esa flecha ... el centro en el momento en que salió de la cuerda.	daría en	dará en	habría dado en	Él -> Ella
P1-656-es	656	es	PATCH	Ella siempre saca el dinero ... mismo cajero, el del puesto de flores.	del	de un	de una	Él -> Ella
P1-672-es	672	es	PATCH	Si la puja ... más arriba, ella bajará la paleta.	sube	subirá	subía	él -> ella
P1-687-es	687	es	PATCH	Si no hubiera levantado la paleta, ella ahora ... una pared vacía.	estaría mirando	habría mirado	estará mirando	él -> ella
P1-984-es	984	es	PATCH	Si ... al suelo, ella verá las huellas de patas que llevan hasta el gato.	mira	mirará	miraría	él -> ella
P1-1030-es	1030	es	PATCH	Antes de que llegara la batidora, él ... veinte minutos y un cuchillo afilado para cortar su fruta.	necesitaba	necesitaría	estaba necesitando	ella -> él
P1-1041-es	1041	es	PATCH	El batido le saltó directamente a la nariz, así que él ... la tapa más fuerte aquella vez.	debería haber apretado	debería apretar	debió de apretar	ella -> él
P1-1137-es	1137	es	PATCH	Mañana a esta hora ella ... en otro avión, con suerte otra vez en ventanilla.	estará embarcando	será embarcada	estará sido embarcando	él -> ella
P1-1154-es	1154	es	PATCH	Si ... la tarjeta de embarque en casa, ella nunca habría pasado la puerta.	hubiera dejado	dejaba	habría dejado	él -> ella
P1-1207-es	1207	es	PATCH	Para el final de la semana ella ... todas y cada una de las tardes en esa hamaca.	habrá pasado	pasará	estará pasando	él -> ella
P1-1421-es	1421	es	PATCH	Ella no paraba ... el cuchillo por el pan hasta que no quedó ni un rincón seco.	de pasar	a pasar	pasando	Él -> Ella
P1-1426-es	1426	es	PATCH	Para cuando esté cubierta la última esquina, ella ... mantequilla durante un minuto entero.	habrá estado untando	habrá sido untada	será untada	él -> ella
P1-1622-es	1622	es	PATCH	Si él no ... ni una palabra sobre la protesta, no habrían censurado la carta.	hubiera escrito	escribió	habría escrito	ella -> él
P1-1744-es	1744	es	PATCH	Ella nunca ... a nadie comerse un muslo tan rápido.	había visto	ella había visto	había vio	Él -> Ella
P1-1798-es	1798	es	PATCH	Ella tiene una bolsa llena a sus pies y no ha acabado: ... este parque desde la hora de comer.	lleva limpiando	ha limpiado		Él -> Ella
P1-1818-es	1818	es	PATCH	Si no se ... a tiempo, ahora ella no estaría sujetando esa papeleta.	hubiera registrado	registró	habría registrado	él -> ella
P1-2006-es	2006	es	PATCH	Él terminó ... la bebida y fue directo a por la piña.	de colar	a colar	colando	Ella -> Él
P1-2072-es	2072	es	PATCH	Cuando el sol tocó el agua, ella ya ... dos veces a la fila que corriera.	había ordenado	ha ordenado	había ordenando	él -> ella
P1-2090-es	2090	es	PATCH	Si ella no los hubiera mandado con tanta dureza, la mitad ... la carrera el mes pasado.	habría perdido	perdería	había perdido	él -> ella
