key	verdict	reason
P2-8725-ua	AGREE	Кажуть renders "is said"; sentence unchanged; Казати/Кажучи are wrong in sentence-initial slot and differ from the answer; only the gap moved
P2-8934-ua	AGREE	Кажуть renders "is said"; sentence unchanged and acceptable; Казати/Кажучи wrong here; only the gap and distractors moved
P2-12193-sk	DISAGREE	perfective present zatne in Slovak reads as future (will clench), so the time frame is not safely present; use imperfective: Dievčatko zatína obe päste a ide ďalej. (gap päste, distractors päsť | pästí unchanged)
P1-15626-es	AGREE	imperative Añade matches "Add" (no subject pronoun is possible for an imperative); se hará keeps will-future; hace was a valid reading so replacing it with hizo is justified
P2-16552-hu	DISAGREE	content now matches but gap öreg (old) does not correspond to the en gap "is" in a TO BE item; use A nagypapa öreg, fehér szakálla és sapkája van. with gap van, distractors vannak | lenni
P2-17991-cz	AGREE	snacků matches "snacks"; gap Kolik = "How many"; Kolika/Kolikrát wrong here; change limited to the noun and the gap
P2-17991-hu	AGREE	rágcsálnivaló matches "snacks"; gap Hány kept; Mennyi was a valid alternative so Hányan/Hányszor as distractors is justified
P2-17991-sk	AGREE	snackov matches "snacks"; gap Koľko = "How many"; Koľkých/Koľkokrát wrong here; change limited to the noun and the gap
P2-17991-ua	AGREE	снеків matches "snacks"; gap Скільки = "How many"; Скількох/Скількома wrong here; change limited to the noun and the gap
P1-30029-es	AGREE	ella -> él matches "he said", explicit pronoun kept, no other agreement changes needed; duplicate distractor mejor replaced by ungrammatical más mejor
P2-41693-tr	AGREE	kaostu gives the past "was"; rest unchanged; tam kaostum (wrong person) and tam kaoslardı (plural) are wrong; valid tam bir kaostu correctly removed as a distractor
