key	exercise_id	lang	mode	intro_text	correct_answer	distractor_1	distractor_2	note
P2-8725-ua	8725	ua	PATCH	..., що ходу організували за два дні.	Кажуть	Казати	Кажучи	Gap moved to Кажуть (= is said); distractors Казати/Кажучи replace pro-drop-valid Каже
P2-8934-ua	8934	ua	PATCH	..., що його зміна напрямку є найшвидша в команді.	Кажуть	Казати	Кажучи	Gap moved to Кажуть (= is said); distractors Казати/Кажучи replace pro-drop-valid Каже
P2-12193-sk	12193	sk	PATCH	Dievčatko zatne obe ... a ide ďalej.	päste	päsť	pästí	Past zaťalo/išlo changed to present zatne/ide; gap and distractors unchanged
P1-15626-es	15626	es	PATCH	Añade agua y la harina se ... masa.	hará	hizo	hacer	Ella añade -> imperative Añade; distractor hace (valid reading) replaced by hizo
P2-16552-hu	16552	hu	RETRANSLATE	A nagypapa ..., fehér szakállú és sapkás.	öreg	öregek	öregebb	Retranslated jetty sentence to old/white beard/cap; gap on öreg since hu has no 3sg copula
P2-17991-cz	17991	cz	PATCH	... snacků je na gauči?	Kolik	Kolika	Kolikrát	sáčků -> snacků, gap moved to Kolik (= many); distractors Kolika/Kolikrát ungrammatical here
P2-17991-hu	17991	hu	PATCH	... rágcsálnivaló van a kanapén?	Hány	Hányan	Hányszor	zacskó -> rágcsálnivaló; distractors Hányan/Hányszor replace valid Mennyi/Sok
P2-17991-sk	17991	sk	PATCH	... snackov je na gauči?	Koľko	Koľkých	Koľkokrát	vreciek -> snackov, gap moved to Koľko (= many); distractors Koľkých/Koľkokrát ungrammatical here
P2-17991-ua	17991	ua	PATCH	... снеків на дивані?	Скільки	Скількох	Скількома	пакетів -> снеків, gap moved to Скільки (= many); distractors Скількох/Скількома ungrammatical here
P1-30029-es	30029	es	PATCH	Tía, él ha dicho que este palo es ... que el viejo.	mejor	más mejor	el mejor	ella -> él; duplicate distractor mejor replaced by más mejor
P2-41693-tr	41693	tr	PATCH	O direğin tepesinde yuva ...! Tam bir kâbus!	tam kaostu	tam kaostum	tam kaoslardı	Present tam kaos -> past tam kaostu; valid tam bir kaostu replaced by tam kaostum
