MEDIA 4233 | meaning: rock cut into blocks for building
E 35541 | A2 type 20 Much, Many, Some... | style dramatic | options 3 | SEL
en|So ... water falls behind the stone bridge! A total nightmare!|much|many|a few
de|So ... Wasser stürzt hinter der Steinbrücke herab! Ein totaler Albtraum!|viel|viele|ein paar
ua|За кам'яним мостом падає так ... води! Суцільний кошмар!|багато|багато|кілька
es|¡Madre mía, cae ... agua detrás del puente de piedra! ¡Una pesadilla total!|mucha|muchas|unas pocas
fr|Il tombe vraiment ... eau derrière le pont de pierre ! Un cauchemar total !|beaucoup d'|beaucoup d'|quelques
tr|Taş köprünün arkasından öyle ... su dökülüyor! Tam bir kâbus!|çok|çok|birkaç
hu|A kőhíd mögött olyan ... víz zúdul le! Totális rémálom!|sok|sok|pár
MEDIA 4238 | meaning: to cook with dry heat in an oven
E 34823 | A1 type 4 Modal verb CAN | style dramatic | options 3 | SEL
en|Absolutely crazy! You ... roast ribs on a hot stone!|can|are|have
de|Total verrückt! Du ... Rippchen auf einem heißen Stein braten!|kannst|bist|hast
ua|Просто божевілля! Ти ... смажити реберця на гарячому камені!|можеш|є|маєш
es|¡Una locura total! ¡Tú ... asar costillas sobre una piedra caliente!|puedes|estás|tienes
fr|Complètement fou ! Tu ... rôtir des côtes sur une pierre chaude !|peux|es|as
tr|Resmen çılgınlık! Sen sıcak bir taşta kaburga ...!|pişirebilirsin||var
hu|Totál őrület! Te ... bordát sütni egy forró kövön!|tudsz|vagy|van neked
E 34826 | A2 type 13 Present or Past Simple | style slang | options 2 | SEL
en|Bruh, they always grill, but last night they ... ribs on a stone, fr.|roasted|roast|
de|Alter, die grillen immer, aber gestern Abend ... sie Rippchen auf einem Stein, echt jetzt.|brieten|braten|
ua|Бро, вони завжди готують на грилі, але вчора ввечері вони ... реберця на камені, чесно.|засмажили|смажать|
es|Tío, ellos siempre usan la parrilla, pero anoche ... costillas sobre una piedra, en serio.|asaron|asan|
fr|Frérot, ils utilisent toujours le gril, mais hier soir ils ... des côtes sur une pierre, sérieux.|ont rôti|rôtissent|
tr|Kanka, onlar hep ızgara yapıyor ama dün akşam kaburgaları taşta ..., cidden.|kızarttılar|kızartırlar|
hu|Tesó, ők mindig grilleznek, de tegnap este bordát ... egy kövön, komolyan.|sütöttek|sütnek|
MEDIA 4242 | meaning: to go across or through
E 34261 | A1 type 9 Wh- questions | style chill | options 3 | SEL
en|... does the tabby pass? Through the small cat flap.|Where|When|Who
de|... kommt die getigerte Katze durch? Durch die kleine Katzenklappe.|Wo|Wann|Wer
ua|... проходить смугаста кішка? Через маленькі котячі дверцята.|Де|Коли|Хто
es|¿... pasa la gata atigrada? Por la gatera pequeña.|Dónde|Cuándo|Quién
fr|... passe le chat tigré ? Par la petite chatière.|Où|Quand|Qui
tr|Tekir kedi ... geçiyor? Küçük kedi kapısından.|nereden|ne zaman|kim
hu|... megy át a cirmos macska? A kis macskaajtón.|Hol|Mikor|Ki
E 34265 | A2 type 15 Present Continuous or Simple | style business | options 2 | SEL
en|Q3 workflow: it usually uses the gate, but today it ... through the flap.|is passing|passes|
de|Q3-Workflow: Sie nutzt normalerweise das Gitter, aber heute ... sie durch die Klappe.|geht|geht|
ua|Робочий процес Q3: зазвичай вона користується загородкою, але сьогодні вона ... через дверцята.|проходить|проходить|
es|Flujo de trabajo del Q3: normalmente ella usa la barrera, pero hoy ... por la gatera.|está pasando|pasa|
fr|Workflow du T3 : d'habitude il utilise la barrière, mais aujourd'hui il ... par la chatière.|est en train de passer|passe|
tr|Q3 iş akışı: o genelde bariyeri kullanır ama bugün kapakçıktan ...|geçiyor|geçer|
hu|Q3-as workflow: ő általában a rácsot használja, de ma a macskaajtón ... át.|megy|megy|
MEDIA 4243 | meaning: to give money for goods or services
E 34288 | A1 type 4 Modal verb CAN | style slang | options 3 | SEL
en|Bro, ... I pay with my card? Gonna need that hot dog.|Can|Am|Does
de|Alter, ... ich mit Karte zahlen? Ich brauch diesen Hotdog.|kann|bin|
ua|Бро, чи ... я заплатити карткою? Мені дуже треба той хот-дог.|можу|є|
es|Tío, ¿... yo pagar con tarjeta? Necesito ese perrito caliente sí o sí.|puedo|estoy|
fr|Frérot, est-ce que je ... payer par carte ? Il me faut ce hot-dog.|peux|suis|
tr|Kanka, ben kartla ... miyim? O sosisli sandviçe ihtiyacım var.|ödeyebilir||
hu|Tesó, ... én kártyával fizetni? Kell nekem az a hot dog.|tudok|vagyok|
E 34293 | A2 type 24 Modal verb SHOULD | style chill | options 3 | SEL
en|The hot dog looks good, so the customer ... pay the cat.|should|should to|shoulds
de|Der Hotdog sieht gut aus, also ... der Kunde die Katze bezahlen.|sollte|sollte|sollte
ua|Хот-дог виглядає добре, тож покупець ... заплатити котові.|мав би|мав би|мав би
es|El perrito caliente tiene buena pinta, así que el cliente ... pagar al gato.|debería|debería|debería
fr|Le hot-dog a l'air bon, alors le client ... payer le chat.|devrait|devrait|devrait
tr|Sosisli sandviç güzel görünüyor, bu yüzden müşteri kediye ...|ödemeli|ödemeli|ödemeli
hu|A hot dog jól néz ki, ezért a vásárlónak ... fizetnie a macskának.|kellene|kellene|kellene
MEDIA 4247 | meaning: a deep hole dug to get water
E 36341 | A1 type 8 My, Your, His,... | style dramatic | options 3 | SEL
en|Nightmare! The boys jump into the well in ... red shorts!|their|his|our
de|Albtraum! Die Jungs springen in ... roten Shorts in den Brunnen!|ihren|seinen|unseren
ua|Кошмар! Хлопці стрибають у колодязь у ... червоних шортах!|своїх|його|наших
es|¡Qué pesadilla! ¡Los chicos saltan al pozo con ... pantalones cortos rojos!|sus|sus|nuestros
fr|Cauchemar ! Les garçons sautent dans le puits avec ... short rouge !|leur|son|notre
tr|Kâbus! Çocuklar ... kırmızı şortlarıyla kuyuya atlıyor!|onların|onun|bizim
hu|Rémálom! A fiúk a piros ... ugranak a kútba!|rövidnadrágjukban|rövidnadrágjában|rövidnadrágunkban
E 36344 | A2 type 16 Future with WILL | style gossip | options 3 | SEL
en|Bestie, word is the boys ... jump into the well again tomorrow.|will|are|did
de|Bestie, angeblich ... die Jungs morgen wieder in den Brunnen springen.|werden|sind|
ua|Подруго, кажуть, хлопці завтра знову ... стрибати в колодязь.|будуть|є|
es|Amiga, dicen que los chicos ... saltar al pozo otra vez mañana.||están|
fr|Ma belle, il paraît que les garçons ... sauter à nouveau dans le puits demain.||sont|
tr|Kankam, duyduğuma göre çocuklar yarın yine kuyuya ...|atlayacak||
hu|Csajszi, azt beszélik, hogy a fiúk holnap megint ... beugrani a kútba.|fognak|vannak|
MEDIA 4248 | meaning: inside a building
E 33471 | A1 type 1 TO BE | style chill | options 3 | SEL
en|The wave pool ... indoor, under a steel roof.|is|are|am
de|Das Wellenbecken ... überdacht, unter einem Stahldach.|ist|sind|bin
ua|Басейн із хвилями ... критий, під сталевим дахом.|є|є|є
es|La piscina de olas ... cubierta, bajo un techo de acero.|está|están|estoy
fr|La piscine à vagues ... couverte, sous un toit en acier.|est|sont|suis
tr|Dalga havuzu kapalı ..., çelik bir çatının altında.|||
hu|A hullámmedence ... fedett, egy acéltető alatt.|||vagyok
E 33473 | A2 type 14 Present Continuous | style flirt | options 3 | SEL
en|Honestly, you ... that indoor wave like a superstar.|are riding|ride|are ride
de|Ehrlich, du ... diese Welle in der Halle wie ein Superstar.|reitest|reitest|reitest
ua|Чесно, ти ... на тій хвилі в критому басейні, як суперзірка.|катаєшся|катаєшся|катаєшся
es|Sinceramente, tú ... esa ola en la piscina cubierta como una superestrella.|estás surfeando|surfeas|estás surfeando
fr|Franchement, tu ... cette vague en salle comme une superstar.|es en train de surfer|surfes|es en train de surfer
tr|Açıkçası sen o kapalı alan dalgasında bir süperstar gibi ...|sörf yapıyorsun|sörf yaparsın|sörf yapıyorsun
hu|Őszintén, te úgy ... azon a fedett hullámon, mint egy szupersztár.|szörfözöl|szörfözöl|szörfözöl
MEDIA 4253 | meaning: to clean your body with soap and water
E 36274 | A2 type 24 Modal verb SHOULD | style business | options 3 | SEL
en|The rider ... wash the bike before the 2 pm meeting.|should|shall|ought
de|Der Fahrer ... das Motorrad vor dem Meeting um 14 Uhr waschen.|sollte|soll|sollte
ua|Гонщик ... помити мотоцикл до зустрічі о 14:00.|мав би|буде|мав би
es|El piloto ... lavar la moto antes de la reunión de las 14:00.|debería|deberá|debería
fr|Le pilote ... laver la moto avant la réunion de 14 h.|devrait|devra|devrait
tr|Sürücü motoru saat 14.00'teki toplantıdan önce ...|yıkamalı|yıkayacak|yıkamalı
hu|A versenyzőnek ... lemosnia a motort a délután 2-es megbeszélés előtt.|kellene|kell|kellene
MEDIA 4257 | meaning: closely fitting, not loose
E 35889 | A1 type 1 TO BE | style chill | options 3 | SEL
en|The panda's hug ... very tight.|is|are|am
de|Die Umarmung des Pandas ... sehr fest.|ist|sind|bin
ua|Обійми панди ... дуже міцні.|є|є|є
es|El abrazo del panda ... muy fuerte.|es|son|soy
fr|Le câlin du panda ... très serré.|est|sont|suis
tr|Pandanın sarılışı çok sıkı ...|||
hu|A panda ölelése ... nagyon szoros.|||vagyok
E 35894 | A2 type 16 Future with WILL | style dramatic | options 3 | SEL
en|This tight hug ... last forever! Help!|will|is|does
de|Diese feste Umarmung ... ewig dauern! Hilfe!|wird|ist|
ua|Ці міцні обійми ... тривати вічно! Рятуйте!|будуть|є|
es|¡Este abrazo tan fuerte ... durar para siempre! ¡Socorro!||está|
fr|Ce câlin serré ... durer pour toujours ! Au secours !||est|
tr|Bu sıkı sarılma sonsuza kadar ...! İmdat!|sürecek||
hu|Ez a szoros ölelés örökké ... tartani! Segítség!|fog|van|
MEDIA 4261 | meaning: bright and pleasant, full of sun
E 35681 | A1 type 1 TO BE | style clueless | options 3 | SEL
en|The day ... sunny because the sun is out.|is|are|be
de|Der Tag ... sonnig, weil die Sonne scheint.|ist|sind|sein
ua|День ... сонячний, бо світить сонце.|є|є|бути
es|El día ... soleado porque ha salido el sol.|está|están|estar
fr|La journée ... ensoleillée parce que le soleil brille.|est|sont|être
tr|Gün güneşli ... çünkü güneş açmış.|||olmak
hu|A mai nap ... napos, mert kisütött a nap.|||lenni
E 35687 | A2 type 25 Adverb formation | style dramatic | options 3 | SEL
en|Absolutely the best day! The dog swims ... in the sunny pool!|beautifully|beautiful|beauty
de|Absolut der beste Tag! Der Hund schwimmt ... im sonnigen Pool!|wunderschön|wunderschön|Schönheit
ua|Просто найкращий день! Пес ... плаває в сонячному басейні!|гарно|гарний|краса
es|¡El mejor día de todos! ¡El perro nada ... en la piscina soleada!|bellamente|bello|belleza
fr|Carrément le meilleur jour ! Le chien nage ... dans la piscine ensoleillée !|magnifiquement|magnifique|beauté
tr|Kesinlikle en güzel gün! Köpek güneşli havuzda ... yüzüyor!|güzelce|güzel|güzellik
hu|Abszolút a legjobb nap! A kutya ... úszik a napsütötte medencében!|gyönyörűen|gyönyörű|gyönyörűség
MEDIA 4264 | meaning: a game where two teams hit a ball over a high net
E 36229 | A1 type 5 Singular and plural | style chill | options 3 | SEL
en|... play volleyball in the street.|2 people|2 peoples|2 person
de|... spielen auf der Straße Volleyball.|2 Personen|2 Personen|2 Person
ua|... грають у волейбол на вулиці.|2 людини|2 людини|2 людина
es|... juegan al voleibol en la calle.|2 personas|2 personas|2 persona
fr|... jouent au volley dans la rue.|2 personnes|2 personnes|2 personne
tr|... sokakta voleybol oynuyor.|2 kişi|2 kişi|2 kişi
hu|... röplabdáznak az utcán.|2 ember|2 ember|2 ember
E 36235 | A2 type 21 There is, are | style clueless | options 3 | SEL
en|There ... no net, so it is volleyball without a net.|is|are|be
de|Da ... kein Netz, also ist es Volleyball ohne Netz.|ist|sind|sein
ua|Тут ... сітки, тож це волейбол без сітки.|немає|немає|не бути
es|... red, así que es voleibol sin red.|No hay|No hay|No hay
fr|... pas de filet, donc c'est du volley sans filet.|Il n'y a|Il n'y a|Il n'y a
tr|Ağ ..., yani bu ağsız voleybol.|yok|yok|olmamak
hu|... háló, szóval ez háló nélküli röplabda.|Nincs|Nincsenek|Nem lenni
MEDIA 4268 | meaning: an enthusiastic supporter of a sport
E 32621 | A1 type 6 A, AN, THE | style flirt | options 3 | SEL
en|Not gonna lie, you are ... true football fan.|a|an|the
de|Ich lüg nicht, du bist ... echter Fußballfan.|ein|ein|der
ua|Не брешу, ти ... справжній футбольний фанат.|||
es|No voy a mentir, tú eres ... verdadero fan del fútbol.|un|un|el
fr|Je vais pas mentir, tu es ... vrai fan de foot.|un|un|le
tr|Yalan yok, sen ... gerçek futbol hayranısın.|bir|bir|
hu|Nem hazudok, te ... igazi focirajongó vagy.|egy|egy|az
E 32627 | A2 type 20 Much, Many, Some... | style clueless | options 3 | SEL
en|There isn't ... space on the sofa, because the fan sits there.|much|many|some
de|Auf dem Sofa ist nicht ... Platz, weil der Fan dort sitzt.|viel|viele|etwas
ua|На дивані немає ... місця, бо там сидить фанат.|багато|багато|трохи
es|No hay ... espacio en el sofá porque el fan está sentado ahí.|mucho|muchos|algo de
fr|Il n'y a pas ... place sur le canapé, parce que le fan est assis là.|beaucoup de|beaucoup de|de la
tr|Kanepede ... yer yok, çünkü hayran orada oturuyor.|çok|çok|biraz
hu|Nincs ... hely a kanapén, mert ott ül a rajongó.|sok|sok|némi
MEDIA 4272 | meaning: made from or covered with gold
E 33006 | A1 type 3 Present Simple | style chill | options 3 | SEL
en|She ... a stack of gold bangles on her wrist.|puts|put|putting
de|Sie ... sich einen Stapel Goldarmreifen ans Handgelenk.|schiebt|schieben|schiebend
ua|Вона ... на зап'ясток купу золотих браслетів.|надягає|надягати|надягаючи
es|Ella se ... un montón de pulseras de oro en la muñeca.|pone|poner|poniendo
fr|Elle ... une pile de bracelets en or à son poignet.|met|mettre|mettant
tr|O bileğine bir yığın altın bilezik ...|takar|takmak|takarak
hu|Ő egy halom aranykarperecet ... a csuklójára.|húz|húzni|húzó
E 33009 | A2 type 23 Must, Have to... | style ironic | options 3 | SEL
en|A simple look, obviously. Her own rule: she ... wear all the gold.|must|has to|mustn't
de|Ein schlichter Look, klar. Ihre eigene Regel: Sie ... das ganze Gold tragen.|muss|muss|darf nicht
ua|Простий образ, звісно. Її власне правило: вона ... носити все золото.|мусить|має|не повинна
es|Un look sencillo, claro. Su propia regla: ella ... llevar todo el oro.|debe|tiene que|no debe
fr|Un look simple, évidemment. Sa propre règle : elle ... porter tout l'or.|doit|doit|ne doit pas
tr|Sade bir görünüm, belli ki. Kendi kuralı: o bütün altınları ...|takmalı|takmak zorunda|takmamalı
hu|Egyszerű szett, persze. A saját szabálya: neki ... viselnie az összes aranyat.|kell|kell|nem szabad
MEDIA 4279 | meaning: a building where plays or films are shown
E 35851 | A1 type 2 HAVE GOT | style chill | options 3 | SEL
en|The theatre ... a big stage with red curtains.|has got|have got|has get
de|Das Theater ... eine große Bühne mit roten Vorhängen.|hat|haben|hat
ua|Театр ... велику сцену з червоними завісами.|має|мати|має
es|El teatro ... un gran escenario con telones rojos.|tiene|tienen|tiene
fr|Le théâtre ... une grande scène avec des rideaux rouges.|a|ont|a
tr|Tiyatronun kırmızı perdeli büyük bir sahnesi ...|var|var|var
hu|A színháznak ... egy nagy színpada piros függönyökkel.|van|van|van
MEDIA 4284 | meaning: the act of moving hurriedly and carelessly
E 34894 | A1 type 2 HAVE GOT | style chill | options 3 | SEL
en|The man ... no time in the morning rush.|has got|have got|has get
de|Der Mann ... in der Morgenhektik keine Zeit.|hat|haben|hat
ua|Чоловік у ранковому поспіху ... часу.|не має|не мати|не має
es|El hombre no ... tiempo con las prisas de la mañana.|tiene|tienen|tiene
fr|L'homme ... pas le temps dans le rush du matin.|n'a|n'ont|n'a
tr|Adamın sabah telaşında hiç zamanı ...|yok|yok|yok
hu|A férfinak a reggeli rohanásban ... ideje.|nincs|nincs|nincs
MEDIA 4288 | meaning: a point or object to shoot at
E 35785 | A1 type 10 Prepositions of place/time | style chill | options 3 | SEL
en|The targets stand ... front of the hills.|in|on|at
de|Die Zielscheiben stehen ... den Hügeln.|vor|auf|an
ua|Мішені стоять ... пагорбами.|перед|на|біля
es|Las dianas están ... de las colinas.|delante|sobre|a
fr|Les cibles sont ... les collines.|devant|sur|à
tr|Hedefler tepelerin ... duruyor.|önünde|üstünde|
hu|A céltáblák ... állnak.|a dombok előtt|a dombokon|a domboknál
E 35789 | A2 type 21 There is, are | style slang | options 3 | SEL
en|Bro, there ... three targets, and she's gonna hit 'em all.|are|is|be
de|Alter, da ... drei Zielscheiben, und sie wird sie alle treffen.|sind|ist|sein
ua|Бро, тут ... три мішені, і вона влучить у всі.|є|є|бути
es|Tío, ... tres dianas y ella va a darles a todas.|hay|hay|hay
fr|Frérot, ... trois cibles, et elle va toutes les toucher.|il y a|il y a|il y a
tr|Kanka, üç hedef ... ve o hepsini vuracak.|var|var|olmak
hu|Tesó, három céltábla ..., és ő mindet el fogja találni.|van|van|lenni
MEDIA 4293 | meaning: an airplane powered by jet engines
E 33500 | A1 type 2 HAVE GOT | style chill | options 3 | SEL
en|The jet ... two big engines.|has got|have got|has get
de|Der Jet ... zwei große Triebwerke.|hat|haben|hat
ua|Реактивний літак ... два великі двигуни.|має|мати|має
es|El avión ... dos grandes motores.|tiene|tienen|tiene
fr|Le jet ... deux gros réacteurs.|a|ont|a
tr|Jetin iki büyük motoru ...|var|var|var
hu|A sugárhajtású gépnek ... két nagy hajtóműve.|van|van|van
MEDIA 4294 | meaning: in a low position, near the ground
E 33820 | A1 type 1 TO BE | style flirt | options 3 | SEL
en|Ok but you ... so cool when the jet flies low.|are|is|am
de|Okay, aber du ... so cool, wenn der Jet tief fliegt.|bist|ist|bin
ua|Окей, але ти ... такий крутий, коли літак летить низько.|є|є|є
es|Vale, pero tú ... tan guay cuando el avión vuela bajo.|eres|es|soy
fr|Ok mais tu ... tellement cool quand le jet vole bas.|es|est|suis
tr|Tamam ama jet alçaktan uçarken sen çok havalı ...|||
hu|Oké, de te ... olyan menő, amikor alacsonyan száll a gép.|vagy||vagyok
E 33823 | A2 type 12 Past Simple | style chill | options 3 | SEL
en|Yesterday a big plane ... low over the plane spotter.|flew|flies|flied
de|Gestern ... ein großes Flugzeug tief über den Planespotter.|flog|fliegt|flog
ua|Учора великий літак ... низько над спотером.|пролетів|пролітає|пролетів
es|Ayer un avión grande ... bajo sobre el spotter.|voló|vuela|voló
fr|Hier, un gros avion ... bas au-dessus du spotter.|a volé|vole|a volé
tr|Dün büyük bir uçak uçak meraklısının üstünden alçaktan ...|uçtu|uçar|uçtu
hu|Tegnap egy nagy repülő alacsonyan ... el a repülőgép-fotós fölött.|repült|repül|repült
MEDIA 4298 | meaning: in a direct line, without deviation
E 35564 | A1 type 1 TO BE | style dramatic | options 3 | SEL
en|Absolutely perfect! The boys ... in a row, standing straight!|are|is|be
de|Absolut perfekt! Die Jungs ... in einer Reihe und stehen gerade!|sind|ist|sein
ua|Просто ідеально! Хлопці ... в ряду, стоять рівно!|є|є|бути
es|¡Absolutamente perfecto! ¡Los chicos ... en fila, bien rectos!|están|está|estar
fr|Absolument parfait ! Les garçons ... en rang, bien droits !|sont|est|être
tr|Kesinlikle mükemmel! Çocuklar dimdik durarak sırada ...!|||olmak
hu|Abszolút tökéletes! A fiúk ... egy sorban, egyenesen állva!|vannak|van|lenni
E 35567 | A2 type 13 Present or Past Simple | style gossip | options 2 | SEL
en|Bestie, apparently they never listen, but yesterday they ... straight to the line.|walked|walk|
de|Bestie, angeblich hören die nie zu, aber gestern ... sie direkt zur Linie.|gingen|gehen|
ua|Подруго, кажуть, вони ніколи не слухаються, але вчора вони ... прямо до лінії.|пішли|ідуть|
es|Amiga, dicen que ellos nunca hacen caso, pero ayer ... directos a la línea.|caminaron|caminan|
fr|Ma belle, apparemment ils n'écoutent jamais, mais hier ils ... droit jusqu'à la ligne.|ont marché|marchent|
tr|Kankam, güya onlar hiç dinlemiyor ama dün doğruca çizgiye ...|yürüdüler|yürürler|
hu|Csajszi, állítólag ők sosem figyelnek, de tegnap egyenesen a vonalhoz ...|sétáltak|sétálnak|
MEDIA 4303 | meaning: relating to medicine and doctors
E 33876 | A1 type 1 TO BE | style slang | options 3 | SEL
en|Bro, the red bag ... medical, gotta be.|is|are|am
de|Alter, die rote Tasche ... medizinisch, muss so sein.|ist|sind|bin
ua|Бро, червона сумка ... медична, стопудово.|є|є|є
es|Tío, la bolsa roja ... médica, fijo.|es|son|soy
fr|Frérot, le sac rouge ... médical, forcément.|est|sont|suis
tr|Kanka, kırmızı çanta tıbbi ..., kesin öyle.|||
hu|Tesó, a piros táska ... orvosi, tuti.|||vagyok
E 33882 | A2 type 23 Must, Have to... | style ironic | options 3 | SEL
en|Obviously a coffee break. The rules say medical crews ... take every call.|have to|must|should
de|Klar, eine Kaffeepause. Laut Regeln ... medizinische Teams jeden Einsatz annehmen.|müssen|müssen|sollten
ua|Звісно ж, перерва на каву. Правила кажуть, що медичні бригади ... приймати кожен виклик.|мають|мусять|мали б
es|Claro, una pausa para el café. Las normas dicen que los equipos médicos ... atender cada llamada.|tienen que|deben|deberían
fr|Évidemment, une pause café. Le règlement dit que les équipes médicales ... prendre chaque appel.|doivent|doivent|devraient
tr|Belli ki kahve molası. Kurallara göre sağlık ekipleri her çağrıya ...|bakmak zorunda|bakmalı|bakmalı
hu|Nyilván kávészünet. A szabályok szerint az egészségügyi csapatoknak minden hívást ... fogadniuk.|kell|kell|kellene
MEDIA 4304 | meaning: the oval ball used in American football
E 32797 | A1 type 2 HAVE GOT | style chill | options 3 | SEL
en|The man ... a football and a varsity jacket.|has got|have got|has get
de|Der Mann ... einen Football und eine College-Jacke.|hat|haben|hat
ua|Чоловік ... м'яч для американського футболу й університетську куртку.|має|мати|має
es|El hombre ... un balón de fútbol americano y una chaqueta universitaria.|tiene|tienen|tiene
fr|L'homme ... un ballon de football américain et une veste universitaire.|a|ont|a
tr|Adamın bir Amerikan futbolu topu ve bir kolej ceketi ...|var|var|var
hu|A férfinak ... egy amerikaifoci-labdája és egy egyetemi dzsekije.|van|van|van
MEDIA 4311 | meaning: in an early period of life
E 36510 | A1 type 1 TO BE | style chill | options 3 | SEL
en|The young man with curly hair ... happy.|is|are|am
de|Der junge Mann mit den Locken ... glücklich.|ist|sind|bin
ua|Молодий чоловік із кучерявим волоссям ... щасливий.|є|є|є
es|El joven de pelo rizado ... feliz.|está|están|estoy
fr|Le jeune homme aux cheveux bouclés ... heureux.|est|sont|suis
tr|Kıvırcık saçlı genç adam mutlu ...|||
hu|A göndör hajú fiatalember ... boldog.|||vagyok
E 36516 | A2 type 24 Modal verb SHOULD | style dramatic | options 3 | SEL
en|Young players ... never laugh at the old woman again!|should|shall|ought
de|Junge Spieler ... nie wieder über die alte Frau lachen!|sollten|sollen|sollten
ua|Молоді гравці більше ніколи не ... сміятися з літньої жінки!|мали б|будуть|мали б
es|¡Los jugadores jóvenes no ... volver a reírse nunca de la anciana!|deberían|deberán|deberían
fr|Les jeunes joueurs ne ... plus jamais se moquer de la vieille dame !|devraient|devront|devraient
tr|Genç oyuncular yaşlı kadına bir daha asla ...!|gülmemeli|gülmeyecek|gülmemeli
hu|A fiatal játékosoknak soha többé nem ... kinevetniük az idős nőt!|kellene|kell|kellene
MEDIA 4314 | meaning: a round orange citrus fruit
E 34175 | A1 type 3 Present Simple | style chill | options 3 | SEL
en|Four oranges ... in a bowl on the counter.|sit|sits|sitting
de|Vier Orangen ... in einer Schale auf der Theke.|liegen|liegt|liegend
ua|Чотири апельсини ... в мисці на стільниці.|лежать|лежить|лежачи
es|Cuatro naranjas ... en un bol sobre la encimera.|están|está|estando
fr|Quatre oranges ... dans un bol sur le comptoir.|reposent|repose|reposant
tr|Dört portakal tezgâhtaki bir kâsede ...|durur|durur|durarak
hu|Négy narancs ... egy tálban a pulton.|fekszik|fekszik|fekvő
MEDIA 4315 | meaning: the amount of money something is sold for
E 34547 | A1 type 11 Cardinal numbers | style chill | options 3 | SEL
en|The price of the small flat is one thousand ... hundred euros.|two|second|twice
de|Die kleine Wohnung kostet tausend ... hundert Euro.|zwei|zweite|zweimal
ua|Ціна маленької квартири — тисяча ... сотні євро.|дві|друга|двічі
es|El piso pequeño cuesta mil ... cientos euros.|dos|segundo|dos veces
fr|Le prix du petit appartement est de mille ... cents euros.|deux|deuxième|deux fois
tr|Küçük dairenin fiyatı bin ... yüz euro.|iki|ikinci|iki kez
hu|A kis lakás ára ezer ... száz euró.|két|második|kétszer
  ~soft: length ratio 0.56
E 34548 | A2 type 19 Countable and uncountable | style chill | options 3 | SEL
en|She hasn't got much ... for a flat with that price.|money|moneys|euros
de|Sie hat nicht viel ... für eine Wohnung zu diesem Preis.|Geld|Geld|Euro
ua|Вона не має багато ... на квартиру з такою ціною.|грошей|грошей|євро
es|Ella no tiene mucho ... para un piso con ese precio.|dinero|dinero|euros
fr|Elle n'a pas beaucoup d'... pour un appartement à ce prix.|argent|argent|euros
tr|Onun o fiyattaki bir daire için çok ... yok.|parası|paraları|eurosu
