exercise_id,language_code,concept_id,headword,level,type_title,src,en,v1,v2,lk1,lk2,lk_verdict,lk_reason,voice,agent_nom,subject,embedded_agents,person,number,gender,tf,tense_open,perfective_present,fragment,rewrite_action,rewrite_by,rewrite_text,alt_mapped_groups,flags
37664,cz,3002,ceiling,B1,"Used to, Would",Tenhle strop v ložnici býval jeho oblíbenou televizí. Napínavé.,This bedroom ceiling used to be his favourite TV. Riveting.,This bedroom ceiling used to be his favourite TV. Riveting.,,used to be,,adjusted,modal idiom needs its verb,active_agent,True,Tenhle strop v ložnici,,3sg,sg,m,past,False,False,False,U,model,Tenhle strop v ložnici býval jeho oblíbenou televizí. Napínavé.,favourite,
37667,cz,3002,ceiling,B2,Future Perfect Simple,Do konce prohlídky on uvidí každou postavu na malovaném stropě.,"By the end of the tour, he will have seen every figure on the painted ceiling.","By the end of the tour, he will have seen every figure on the painted ceiling.",,will have seen,,exact,full future perfect span,active_agent,True,on,,3sg,sg,m,future,False,True,False,U,script,Do konce prohlídky on uvidí každou postavu na malovaném stropě.,end_finish|trip_journey_tour|meet_see|see_watch|spot_notice_see|understand_get|visit_see|number_figure|paint_colour,
33460,cz,2525,improve,A1,Wh- questions,Jak velký rozpočet potřebujeme na zlepšení místnosti? 800 eur.,How much budget do we need to improve the room? 800 euros.,How much budget do we need to improve the room? 800 euros.,,How much,,adjusted,quantifier wh-phrase was truncated,active_prodrop,False,,,1pl,pl,,present,False,True,False,R,model,Jak velký rozpočet my potřebujeme na zlepšení místnosti? 800 eur.,need_require|improve_get_better|room_space,
33466,cz,2525,improve,A2,Future BE GOING TO,"Kámo, oni se chystají zlepšit celou tuhle zničenou místnost příští týden, fakt.","Bro, they are going to improve this whole wrecked room next week, no cap.","Bro, they are going to improve this whole wrecked room next week, no cap.",,are going to improve,,exact,complete going-to phrase,active_agent,True,oni,,3pl,pl,m,future,False,False,False,U,script,"Kámo, oni se chystají zlepšit celou tuhle zničenou místnost příští týden, fakt.",dude_mate_bro|leave_go|travel_go|improve_get_better|whole_entire|destroy_ruin|room_space|next_following|then_after_that|hat_cap,
7295,cz,556,lip gloss,B1,Future Continuous,"Zítra touhle dobou bude mít na rtech stejný lesk ve videu, jak se chystá ven.",This time tomorrow she will be wearing the same gloss for her get-ready video.,This time tomorrow she will be wearing the same gloss for her get-ready video.,,will be wearing,,exact,full future continuous span,active_prodrop,False,,,3sg,sg,,future,False,False,False,U,script,"Zítra touhle dobou bude mít na rtech stejný lesk ve videu, jak se chystá ven.",wear_put_on|arrive_come|become_get|buy_get|fetch_go_get|get_obtain|get_receive|understand_get|ready_prepared,
7317,cz,556,lip gloss,B2,Inversion basic,"Nikdy předtím neměla na rtech tak lesklý lesk, dokud nenašla tuhle růžovou tubu.",Never had she worn a gloss this shiny before she found this pink tube.,Never had she worn a gloss this shiny before she found this pink tube.,,had she worn,,exact,inverted verb phrase complete,active_prodrop,False,,,3sg,sg,f,past,False,False,False,R,model,"Nikdy předtím ona neměla na rtech tak lesklý lesk, dokud nenašla tuhle růžovou tubu.",wear_put_on|in_front_of_before|come_across_find|find_discover|set_up_start|train_tube,
6442,cz,419,foundation,B1,"So, Neither, Nor",Ona nemá ráda silné krytí a její kamarádka taky ne.,"She doesn't like heavy coverage, and neither does her friend.","She doesn't like heavy coverage, and neither does her friend.",,neither does,,adjusted,bare adverb needs auxiliary,active_agent,True,Ona,,3sg,sg,f,present,False,False,False,U,script,Ona nemá ráda silné krytí a její kamarádka taky ne.,like_enjoy|like_such_as|thick_heavy|friend_buddy|friend_mate,
6443,cz,419,foundation,B2,Past Perfect Continuous,"Ťukaly na tu jednu skvrnu celou věčnost, než se konečně roztřela.",They had been dabbing at that one spot for ages before it finally blended.,They had been dabbing at that one spot for ages before it finally blended.,,had been dabbing,,exact,full past perfect continuous,active_prodrop,False,,,3pl,pl,f,past,False,False,False,R,model,"Ony ťukaly na tu jednu skvrnu celou věčnost, než se konečně roztřela.",spot_notice_see|spot_penalty_spot|in_front_of_before|in_the_end_ultimately|last_final,
40646,cz,552,lighthouse,B2,Wish clauses,"Přeje si, aby byla navštívila maják dřív, místo toho, aby se jen dívala na plakát.","She wishes she had visited the lighthouse sooner, instead of only looking at a poster.","She wishes she had visited the lighthouse sooner, instead of only looking at a poster.",,had visited,,exact,wish-clause verb correctly spanned,active_prodrop,False,,,3sg,sg,,present,False,False,False,R,model,"Ona si přeje, aby byla navštívila maják dřív, místo toho, aby se jen dívala na plakát.",visit_see|soon_shortly|look_at_watch|look_glance_peek|look_seem_appear|look_style|job_work_position|send_post_mail,
42296,cz,3428,return,B1,Past Continuous,"Její návrat byl docela ikonický: točila se naboso dokola, když ji zachytila kamera.",Her return was lowkey iconic: she was spinning around barefoot when the camera caught her.,Her return was lowkey iconic: she was spinning around barefoot when the camera caught her.,,was spinning,,exact,past continuous span correct,active_agent,True,Její návrat,kamera,3sg,sg,m,past,False,False,False,U,script,"Její návrat byl docela ikonický: točila se naboso dokola, když ji zachytila kamera.",get_back_return|return_come_back|take_back_return|spin_twirl|turn_spin_rotate|around_about|catch_grab|catch_pick_up,
42304,cz,3428,return,B2,Articles advanced,"Holka, slyšela jsem, že návrat naší oblíbené cestovatelky byl dnes.","Girl, I heard the return of our favourite traveller happened today.","Girl, I heard the return of our favourite traveller happened today.",,the return,,exact,article target phrase verbatim,active_prodrop,False,,návrat naší oblíbené cestovatelky,1sg,sg,f,past,False,False,False,R,model,"Holka, já jsem slyšela, že návrat naší oblíbené cestovatelky byl dnes.",hear_listen|get_back_return|return_come_back|take_back_return|favourite|travel_go|traveller|go_on_happen|happen_occur,
16027,cz,1353,fruit,A1,Singular and plural,Koupí dva pomeranče a jedno velké mango.,She buys two oranges and one big mango.,She buys two oranges and one big mango.,,oranges,,exact,plural noun is the target,active_prodrop,False,,,3sg,sg,,future,True,True,False,R,model,Ona koupí dva pomeranče a jedno velké mango.,buy_get|buy_purchase|orange_ginger_cat|big_large,
16038,cz,1353,fruit,A2,Future with WILL,Ochutnej tuhle broskev a budeš nadšená.,Try this peach and you will love it.,Try this peach and you will love it.,,will love,,adjusted,bare will needs main verb,active_prodrop,False,,,2sg,sg,f,present,False,False,False,U,script,Ochutnej tuhle broskev a budeš nadšená.,try_attempt|try_on_test|try_taste|love_adore,
44101,cz,3593,timber,B1,Reported speech,"Řekl, že řezivo nařezal na prkna den předtím.",He said he had cut the timber into planks the day before.,He said he had cut the timber into planks the day before.,,had cut,,exact,reported past perfect correct,active_prodrop,False,,,3sg,sg,m,past,False,False,False,R,script,"On řekl, že řezivo nařezal na prkna den předtím.",cut_chop_slice|drop_lower_reduce|reduce_cut|board_plank|in_front_of_before,
44700,cz,3646,weapon,B1,Passive or Active,"Jeho zbraň byla spuštěna do trávy! Je konec, úplný konec!","His weapon was lowered down onto the grass! It's over, completely over!","His weapon was lowered down onto the grass! It's over, completely over!",,was lowered,,exact,passive core span correct,passive,False,Jeho zbraň,,3sg,sg,f,past,False,False,False,U,script,"Jeho zbraň byla spuštěna do trávy! Je konec, úplný konec!",drop_lower_reduce|completely_totally|fill_in_complete|finish_complete|total_complete_absolute,
44710,cz,3646,weapon,B2,Future Perfect Continuous,Do 17:00 hráči budou používat tento typ zbraně přibližně šest hodin.,"By 5 p.m., the players will have been using this type of weapon for approximately six hours.","By 5 p.m., the players will have been using this type of weapon for approximately six hours.",,will have been using,,exact,complete future perfect continuous,active_agent,True,hráči,,3pl,pl,m,future,False,False,False,U,script,Do 17:00 hráči budou používat tento typ zbraně přibližně šest hodin.,kind_type_sort|approximately_roughly|around_about,
17212,cz,1450,horse,A1,TO BE,Hnědý kůň je klidný na širé zelené stepi.,The brown horse is quiet on the wide green steppe.,The brown horse is quiet on the wide green steppe.,,is,,exact,copula is the target,active_agent,True,Hnědý kůň,,3sg,sg,m,present,False,False,False,U,script,Hnědý kůň je klidný na širé zelené stepi.,calm_peaceful_quiet|peace_quiet|quiet_silent|shut_up_be_quiet|wide_broad,
17234,cz,1450,horse,A2,"Must, Have to...",Step je velká. Musíš si vzít s sebou vodu!,The steppe is big. You must take water with you!,The steppe is big. You must take water with you!,,must take,,adjusted,modal needs its main verb,active_prodrop,False,,,2sg,sg,,present,False,False,False,R,model,Step je velká. Ty si musíš vzít s sebou vodu!,big_large|carry_bring|drive_take,
43976,cz,3581,tear,B1,Present Perfect Continuous,Elegantní: už pět minut trháš papír a pořád jsi tak klidná.,Smooth: you have been tearing paper apart for five minutes and you're still so calm.,Smooth: you have been tearing paper apart for five minutes and you're still so calm.,,have been tearing,,exact,present perfect continuous complete,active_prodrop,False,,,2sg,sg,f,present,False,False,False,R,model,Elegantní: ty už pět minut trháš papír a pořád jsi tak klidná.,smooth_even|tear_rip|moment_minute_second|motionless_still_stand|nevertheless_even_so|only_just_still|still_motionless|calm_peaceful_quiet|calm_relaxed|peace_quiet,
43984,cz,3581,tear,B2,All Past Tenses,"Panebože, říká se, že roztrhla smlouvu dřív, než kdokoli stihl říct slovo.","Omg, they're saying she had torn the contract before anyone could say a word.","Omg, they're saying she had torn the contract before anyone could say a word.",,had torn,,exact,past perfect span correct,passive,False,,kdokoli,3sg,sg,,present,False,False,False,R,model,"Panebože, říká se, že ona roztrhla smlouvu dřív, než kdokoli stihl říct slovo.",tear_rip|treaty_agreement|in_front_of_before|anyone,
