MEDIA 4415 | meaning: a remark expressing praise or admiration
E 37968 | B1 type 49 So, Neither, Nor | style flirt | options 3 | SEL
en|Honestly, you blushed at her compliment, and ...|so did your friend.|so was your friend.|so does your friend.
de|Ehrlich, du bist bei ihrem Kompliment rot geworden, und ...|deine Freundin auch.|deine Freundin war es auch.|deine Freundin auch.
ua|Чесно, ти почервоніла від її компліменту, і ...|твоя подруга теж.|твоя подруга теж була.|твоя подруга теж.
es|Sinceramente, tú te sonrojaste con su cumplido, y ...|tu amiga también.|tu amiga también lo estaba.|tu amiga también.
fr|Honnêtement, tu as rougi à son compliment, et ...|ton amie aussi.|ton amie l'était aussi.|ton amie aussi.
tr|Açıkçası, sen onun iltifatıyla kızardın ve ...|arkadaşın da.|arkadaşın da öyleydi.|arkadaşın da.
hu|Őszintén, te elpirultál a bókjától, és ...|a barátnőd is.|a barátnőd is az volt.|a barátnőd is.
E 37976 | B2 type 57 Modals in past | style chill | options 3 | SEL
en|She went pink at once, so the compliment ... very sweet.|must have been|should have been|can't have been
de|Sie wurde sofort rot, also ... das Kompliment sehr süß gewesen sein.|muss|sollte|kann nicht
ua|Вона одразу почервоніла, тож комплімент ... дуже милим.|мабуть, був|мав бути|не міг бути
es|Ella se sonrojó enseguida, así que el cumplido ... muy dulce.|debió de ser|debería haber sido|no pudo ser
fr|Elle a rougi tout de suite, donc le compliment ... très mignon.|a dû être|aurait dû être|n'a pas pu être
tr|O hemen kızardı, yani iltifat çok tatlı ...|olmalı|olmalıydı|olamaz
hu|Ő azonnal elpirult, szóval a bók nagyon kedves ...|lehetett|kellett volna, hogy legyen|nem lehetett
MEDIA 4418 | meaning: to come open suddenly from pressure inside
E 37441 | B1 type 34 Present Perfect Simple or Continuos | style flirt | options 3 | SEL
en|Honestly, you ... three pots of soup today, and the steam still burst out at you.|have cooked|have been cooking|are cooking
de|Ehrlich, du hast heute drei Töpfe Suppe ..., und der Dampf ist dir trotzdem entgegengeschossen.|gekocht|gekocht|kochst
ua|Чесно, ти сьогодні ... три каструлі супу, і пара все одно вирвалася на тебе.|зварила|варила|вариш
es|Sinceramente, tú ... tres ollas de sopa hoy, y aun así el vapor te salió de golpe.|has cocinado|has estado cocinando|estás cocinando
fr|Honnêtement, tu ... trois marmites de soupe aujourd'hui, et la vapeur t'a quand même sauté au visage.|as cuisiné|as cuisiné|es en train de cuisiner
tr|Açıkçası, sen bugün üç tencere çorba ..., buhar yine de yüzüne fışkırdı.|pişirdin|pişirip durdun|pişiriyorsun
hu|Őszintén, te ma három fazék levest ..., és a gőz mégis rád csapott.|főztél|főztél|főzöl
E 37446 | B2 type 65 All Present Tenses | style gossip | options 3 | SEL
en|Listen, apparently steam ... out of that big pot every time she lifts the lid.|bursts|is bursting|has burst
de|Hör mal, angeblich ... jedes Mal Dampf aus dem großen Topf, wenn sie den Deckel hebt.|schießt|schießt gerade|schoss
ua|Слухай, кажуть, з тієї великої каструлі ... пара щоразу, як вона піднімає кришку.|виривається|виривається|вирвалася
es|Oye, al parecer el vapor ... de esa olla grande cada vez que ella levanta la tapa.|sale disparado|está saliendo disparado|ha salido disparado
fr|Écoute, apparemment la vapeur ... de cette grande marmite chaque fois qu'elle soulève le couvercle.|jaillit|est en train de jaillir|a jailli
tr|Dinle, duyduğuma göre o kapağı her kaldırdığında o büyük tencereden buhar ...|fışkırıyor|fışkırıyor|fışkırdı
hu|Figyelj, állítólag abból a nagy fazékból ... a gőz, valahányszor ő felemeli a fedőt.|kicsap|éppen kicsap|kicsapott
MEDIA 4419 | meaning: to move a boat with oars
E 42500 | B1 type 41 Passive | style chill | options 3 | SEL
en|The little boat ... across the pond by a girl with a puppy.|was rowed|rowed|is rowing
de|Das kleine Boot ... von einem Mädchen mit einem Welpen über den Teich gerudert.|wurde|ruderte|rudert
ua|Маленький човен ... через ставок дівчинкою з цуценям.|був переправлений на веслах|переправив на веслах|переправляє на веслах
es|El pequeño bote ... a remo por el estanque por una chica con un cachorro.|fue llevado|llevó|está llevando
fr|Le petit bateau ... sur l'étang par une fille avec un chiot.|a été conduit à la rame|a ramé|est en train de ramer
tr|Küçük tekne, yavru köpekli bir kız tarafından gölet boyunca kürekle ...|çekildi|çekti|çekiyor
hu|A kis csónakot egy kiskutyás lány ... át a tavon.|evezte|evezett|evez
MEDIA 4420 | meaning: artwork that helps make something clear
E 40215 | B1 type 36 Future Continuous | style chill | options 3 | SEL
en|This time tomorrow, the students ... this illustration of a thigh bone.|will be copying|will copy|copy
de|Morgen um diese Zeit ... die Studenten diese Illustration eines Oberschenkelknochens ab.|zeichnen gerade|zeichnen|zeichnen
ua|Завтра в цей час студенти ... цю ілюстрацію стегнової кістки.|перемальовуватимуть|перемалюють|перемальовують
es|Mañana a esta hora, los estudiantes ... esta ilustración de un fémur.|estarán copiando|copiarán|copian
fr|Demain à cette heure-ci, les étudiants ... cette illustration d'un fémur.|seront en train de recopier|recopieront|recopient
tr|Yarın bu saatlerde öğrenciler bu uyluk kemiği çizimini ...|kopyalıyor olacak|kopyalayacak|kopyalıyor
hu|Holnap ilyenkor a diákok ezt a combcsont-illusztrációt ...|éppen másolni fogják|le fogják másolni|másolják
MEDIA 4424 | meaning: a line that marks a boundary
E 37306 | B1 type 42 Passive or Active | style chill | options 3 | SEL
en|The young man ... the border on foot with a passport in his hand.|crossed|was crossed|crossing
de|Der junge Mann ... die Grenze zu Fuß mit einem Pass in der Hand.|überquerte|wurde überquert|überquerend
ua|Молодий чоловік ... кордон пішки з паспортом у руці.|перетнув|був перетнутий|перетинаючи
es|El joven ... la frontera a pie con un pasaporte en la mano.|cruzó|fue cruzado|cruzando
fr|Le jeune homme ... la frontière à pied, un passeport à la main.|a traversé|a été traversé|traversant
tr|Genç adam elinde pasaportla sınırı yürüyerek ...|geçti|geçildi|geçerek
hu|A fiatal férfi gyalog, útlevéllel a kezében ... a határt.|lépte át|át lett lépve|átlépve
E 37311 | B2 type 62 Articles advanced | style chill | options 3 | SEL
en|He looks down at ... between the two countries and steps over it.|the border|a border|border
