30501	!	Exclamatory 'Nézd' command; follows English !
103923	!	Warning imperative; follows English !
128709	!	Exclamatory warning 'Mindjárt el fog esni'; follows English !
129078	!	Exclamation of relief with 'végre'; follows English !
130257	!	Exclamatory prediction; follows English !
138501	.	Plain statement; follows English .
139878	.	Plain statement; follows English .
140400	.	Second sentence is a statement; follows English .
141381	.	Plain statement; follows English .
141408	.	Second sentence is a statement; follows English .
141615	.	Statement after 'Nézd!'; follows English .
210249	.	Plain statement; English stray 'seeds. away.' typo, final mark is .
