MEDIA 5029 | meaning: a motion of the hands or body to show a feeling
E 39783 | B2 type 58 Inversion basic | style chill | options 3 | SEL
en|Rarely ... a lawyer make such a big gesture in a courtroom.|does|has|is
de|Selten ... macht ein Anwalt im Gerichtssaal eine so große Geste.||hat|ist
ua|Рідко ... адвокат робить у залі суду такий великий жест.||має|є
es|Rara vez ... un abogado hace un gesto tan grande en una sala de tribunal.||ha|es
fr|Rarement ... un avocat fait un geste aussi grand dans une salle d'audience.||a|est
tr|Bir avukat mahkeme salonunda nadiren ... böyle büyük bir jest yapar.|||
hu|Ritkán ... tesz egy ügyvéd ekkora gesztust a tárgyalóteremben.|||
MEDIA 5030 | meaning: clothes worn in a play or at a fancy party
E 38142 | B1 type 47 Gerund vs Infinitive | style chill | options 3 | SEL
en|She chose ... the rainbow feather costume at the front of the parade.|to wear|wearing|wear
de|Sie entschied sich, an der Spitze der Parade das Regenbogen-Federkostüm ...|zu tragen|das Tragen|tragen
ua|Вона вирішила ... райдужний костюм із пір'я на чолі параду.|вдягнути|вдягання|вдягнути
es|Ella eligió ... el disfraz de plumas arcoíris al frente del desfile.|llevar|llevando|llevar
fr|Elle a choisi de ... le costume à plumes arc-en-ciel en tête du défilé.|porter|portant|porter
tr|O, geçit töreninin önünde gökkuşağı renkli tüy kostümü ... seçti.|giymeyi|giyme|giymek
hu|Ő azt választotta, hogy a felvonulás élén a szivárványos tollas jelmezt ...|viseli|viselés|visel
E 38143 | B2 type 65 All Present Tenses | style chill | options 3 | SEL
en|The woman in the feather costume ... a tall banner down the street right now.|is carrying|carries|has carried
de|Die Frau im Federkostüm ... gerade ein hohes Banner die Straße entlang.|trägt|trägt|hat getragen
ua|Жінка в костюмі з пір'я зараз ... високий банер вулицею.|несе|носить|несла
es|La mujer del disfraz de plumas ... una pancarta alta por la calle ahora mismo.|está llevando|lleva|ha llevado
fr|La femme au costume à plumes ... une grande bannière dans la rue en ce moment.|porte|porte|a porté
tr|Tüy kostümlü kadın şu anda sokakta uzun bir pankart ...|taşıyor|taşır|taşıdı
hu|A tollas jelmezes nő éppen ... egy magas zászlót az utcán.|visz|visz|vitt
MEDIA 5034 | meaning: to let liquid fall out of a container by accident
E 43382 | B1 type 48 Question tags | style chill | options 3 | SEL
en|She didn't mean to spill the milk, ...?|did she?|didn't she?|was she?
de|Sie wollte die Milch nicht verschütten, ...?|oder|nicht wahr|oder
ua|Вона не хотіла розлити молоко, ...?|так|хіба ні|так
es|Ella no quería derramar la leche, ¿...?|verdad|no|verdad
fr|Elle ne voulait pas renverser le lait, ... ?|n'est-ce pas|si|n'est-ce pas
tr|O sütü dökmek istemedi, ...?|değil mi|değil mi|değil mi
hu|Ő nem akarta kiönteni a tejet, ...?|ugye|nem igaz|ugye
E 43387 | B2 type 57 Modals in past | style chill | options 3 | SEL
en|She ... checked the carton before she spilled all that milk.|should have|must have|should
de|Sie ... den Karton überprüfen sollen, bevor sie die ganze Milch verschüttet hat.|hätte|muss wohl|sollte
ua|Вона ... перевірити пакет, перш ніж розлила все це молоко.|мала б|мабуть мусила|має
es|Ella ... revisado el cartón antes de derramar toda esa leche.|debería haber|debe de haber|debería
fr|Elle ... vérifié la brique avant de renverser tout ce lait.|aurait dû|a dû|devrait
tr|O, bütün o sütü dökmeden önce kutuyu ...|kontrol etmeliydi|kontrol etmiş olmalı|kontrol etmeli
hu|Ő ... ellenőrizni a dobozt, mielőtt kiöntötte azt a sok tejet.|ellenőrizhette volna|biztosan ellenőrizte|ellenőrizhetné
MEDIA 5038 | meaning: how fast you are walking or running
E 41327 | B1 type 44 Relative clauses | style flirt | options 3 | SEL
en|The pace ... you keep on those steps is honestly unreal.|that|who|what
de|Das Tempo, ... du auf diesen Stufen hältst, ist ehrlich gesagt krass.|das|der|was
ua|Темп, ... ти тримаєш на цих сходах, чесно, нереальний.|який|хто|що
es|El ritmo ... tú llevas en esos escalones es, sinceramente, una locura.|que|quien|lo que
fr|Le rythme ... tu tiens sur ces marches est franchement dingue.|que|qui|ce que
tr|Senin o basamaklarda ... tempo, açıkçası inanılmaz.|tuttuğun|kim|ne
hu|Az a tempó, ... azokon a lépcsőkön tartasz, őszintén szólva elképesztő.|amit|aki|ami
E 41330 | B2 type 62 Articles advanced | style ironic | options 3 | SEL
en|She keeps ... of a machine all the way up. Totally normal, obviously.|the pace|a pace|pace
de|Sie hält den ganzen Weg nach oben ... einer Maschine. Völlig normal, natürlich.|das Tempo|ein Tempo|Tempo
ua|Вона тримає ... машини всю дорогу вгору. Абсолютно нормально, звісно.|темп|темп|темп
es|Ella mantiene ... de una máquina todo el camino hacia arriba. Totalmente normal, obviamente.|el ritmo|un ritmo|ritmo
fr|Elle garde ... d'une machine jusqu'en haut. Tout à fait normal, évidemment.|le rythme|un rythme|rythme
tr|O, yukarıya kadar bir makinenin ... koruyor. Tamamen normal, tabii ki.|temposunu|bir temposunu|temposunu
hu|Ő végig egy gép ... tartja felfelé. Teljesen normális, persze.|tempóját|egy tempóját|tempóját
MEDIA 5039 | meaning: a box of metal bars for keeping birds or animals
E 37470 | B1 type 35 Past Perfect Simple | style chill | options 3 | SEL
en|By the time the sun was up, he ... every cage on the roof.|had opened|has opened|opens
de|Bis die Sonne aufging, ... er jeden Käfig auf dem Dach geöffnet.|hatte|hat|öffnet
ua|Коли зійшло сонце, він ... кожну клітку на даху.|відчинив|відчинив|відчиняє
es|Para cuando salió el sol, él ... cada jaula del tejado.|había abierto|ha abierto|abre
fr|Quand le soleil s'est levé, il ... chaque cage sur le toit.|avait ouvert|a ouvert|ouvre
tr|Güneş doğduğunda o, çatıdaki her kafesi ...|açmıştı|açtı|açıyor
hu|Mire felkelt a nap, ő ... a tetőn minden ketrecet.|kinyitotta|kinyitotta|kinyitja
MEDIA 5040 | meaning: a big comfy chair with side supports for arms
E 36806 | B1 type 49 So, Neither, Nor | style dramatic | options 3 | SEL
en|Disaster! The crate won't survive that armchair, and ...|neither will the bike.|so will the bike.|neither won't the bike.
de|Katastrophe! Die Kiste überlebt diesen Sessel nicht, und ...|das Fahrrad auch nicht.|das Fahrrad auch.|das Fahrrad auch nicht.
ua|Катастрофа! Ящик не переживе це крісло, і ...|велосипед теж ні.|велосипед теж.|велосипед теж ні.
es|¡Desastre! La caja no va a sobrevivir a ese sillón, y ...|la bici tampoco.|la bici también.|la bici tampoco.
fr|Catastrophe ! La caisse ne survivra pas à ce fauteuil, et ...|le vélo non plus.|le vélo aussi.|le vélo non plus.
tr|Felaket! Kasa o koltuğa dayanamayacak, ve ...|bisiklet de dayanamayacak.|bisiklet de dayanacak.|bisiklet de dayanamayacak.
hu|Katasztrófa! A láda nem éli túl azt a fotelt, és ...|a bicikli sem.|a bicikli is.|a bicikli sem.
E 36813 | B2 type 56 Reported speech | style chill | options 3 | SEL
en|The seller suggested ... the armchair on top of the crate.|putting|to put|put
de|Der Verkäufer schlug vor, den Sessel oben auf die Kiste zu ...|stellen|stellen|stellen
ua|Продавець запропонував ... крісло зверху на ящик.|поставити|поставити|поставити
es|El vendedor sugirió ... el sillón encima de la caja.|poner|poner|poner
fr|Le vendeur a suggéré de ... le fauteuil sur la caisse.|mettre|mettre|mettre
tr|Satıcı koltuğu kasanın üstüne ... önerdi.|koymayı|koymayı|koymayı
hu|Az eladó azt javasolta, hogy ... a fotelt a láda tetejére.|tegyék|tegyék|tegyék
MEDIA 5041 | meaning: a sudden burst of bright light
E 39358 | B2 type 59 Causative HAVE/GET | style chill | options 3 | SEL
en|The owner had the roof ... the morning after the lightning flash.|repaired|repair|to repair
de|Der Besitzer ließ das Dach am Morgen nach dem Blitz ...|reparieren|reparieren|reparieren
ua|Власник попросив ... дах уранці після спалаху блискавки.|полагодити|полагодити|полагодити
es|El dueño hizo ... el tejado la mañana después del destello del rayo.|reparar|reparar|reparar
fr|Le propriétaire a fait ... le toit le matin après l'éclair.|réparer|réparer|réparer
tr|Sahibi, şimşek parlamasından sonraki sabah çatıyı ...|tamir ettirdi|tamir ettirdi|tamir ettirdi
hu|A tulajdonos a villámlás utáni reggelen ... a tetőt.|megjavíttatta|megjavíttatta|megjavíttatta
MEDIA 5042 | meaning: causing pain in your body or mind
E 41360 | B1 type 37 Future Simple or Continuos | style gossip | options 3 | SEL
en|Guess what, he told me: I promise I ... another leg day this painful.|won't do|won't be doing|don't do
de|Stell dir vor, er hat mir gesagt: Ich verspreche, dass ich nie wieder so einen schmerzhaften Leg Day ...|machen werde|machen werde|mache
ua|Уяви, він мені сказав: обіцяю, що ... ще один такий болючий день ніг.|не зроблю|не робитиму|не роблю
es|Adivina qué, él me dijo: prometo que ... otro día de pierna tan doloroso.|no haré|no estaré haciendo|no hago
fr|Devine quoi, il m'a dit : je promets que je ... plus un leg day aussi douloureux.|ne ferai|ne serai pas en train de faire|ne fais
