MEDIA 5374 | meaning: not deep, lacking much depth
E 42823 | B1 type 31 Past Continuous | style dramatic | options 3 | SEL
en|He ... through the shallow water when a dolphin suddenly exploded out behind him!|was swimming|swam|has swum
de|Er ... durch das flache Wasser, als plötzlich hinter ihm ein Delfin herausschoss!|schwamm|schwamm|ist geschwommen
ua|Він ... мілкою водою, коли раптом позаду нього вистрибнув дельфін!|плив|проплив|проплив
es|¡Él ... por el agua poco profunda cuando de repente un delfín salió disparado detrás de él!|estaba nadando|nadó|ha nadado
fr|Il ... dans l'eau peu profonde quand un dauphin a soudain jailli derrière lui !|nageait|a nagé|a nagé
tr|Arkasından aniden bir yunus fırladığında o sığ suda ...!|yüzüyordu|yüzdü|yüzdü
hu|Ő a sekély vízben ..., amikor hirtelen egy delfin ugrott ki mögötte!|úszott|átúszott|átúszott
E 42832 | B2 type 63 Advanced linkers | style ironic | options 3 | SEL
en|Clearly brave: he swims front crawl ... the water is shallow enough to stand in.|even though|despite|due to
de|Eindeutig mutig: Er schwimmt Kraul, ... das Wasser so flach ist, dass man darin stehen kann.|obwohl|trotz|wegen
ua|Явно сміливий: він пливе кролем, ... вода така мілка, що в ній можна стояти.|хоча|попри|через
es|Claramente valiente: él nada a crol ... el agua es tan poco profunda que se puede estar de pie.|aunque|a pesar de|debido a
fr|Clairement courageux : il nage le crawl ... l'eau est assez peu profonde pour qu'on y ait pied.|même si|malgré|à cause de
tr|Belli ki cesur: su içinde ayakta durulacak kadar sığ ... o serbest stil yüzüyor.|olmasına rağmen|rağmen|yüzünden
hu|Egyértelműen bátor: ő gyorsúszásban úszik, ... a víz olyan sekély, hogy meg lehet állni benne.|pedig|ellenére|miatt
MEDIA 5375 | meaning: to move something in a curve or arc to hit
E 43872 | B1 type 32 Present Perfect Continuous | style gossip | options 3 | SEL
en|Wait, I heard she ... that golf club all afternoon.|has been swinging|is swinging|swings
de|Warte, ich hab gehört, sie ... schon den ganzen Nachmittag diesen Golfschläger.|schwingt|schwingt|schwingt
ua|Стоп, я чула, що вона ... цією ключкою для гольфу все пообіддя.|махає|махає|махає
es|Espera, oí que ella ... ese palo de golf toda la tarde.|ha estado balanceando|está balanceando|balancea
fr|Attends, j'ai entendu dire qu'elle ... ce club de golf depuis tout l'après-midi.|balance|balance|balance
tr|Dur, duydum ki o bütün öğleden sonra o golf sopasını ...|sallıyormuş|sallıyormuş|sallarmış
hu|Várj, azt hallottam, hogy ő egész délután ... azt a golfütőt.|lengeti|lengeti|lengeti
MEDIA 5376 | meaning: a device that turns the electricity on or off
E 43901 | B1 type 34 Present Perfect Simple or Continuos | style chill | options 3 | SEL
en|He ... the switch, so the whole room is bright now.|has pressed|has been pressing|presses
de|Da er den Schalter ..., ist der ganze Raum jetzt hell.|gedrückt hat|die ganze Zeit drückt|drückt
ua|Він ... вимикач, тож уся кімната тепер світла.|натиснув|натискав|натискає
es|Él ... el interruptor, así que toda la habitación está iluminada ahora.|ha pulsado|ha estado pulsando|pulsa
fr|Il ... sur l'interrupteur, donc toute la pièce est éclairée maintenant.|a appuyé|appuie depuis un moment|appuie
tr|O düğmeye ..., o yüzden bütün oda artık aydınlık.|bastı|basıp duruyor|basıyor
hu|Ő ... a kapcsolót, így most az egész szoba világos.|megnyomta|nyomkodta|nyomja
E 43908 | B2 type 66 All Past Tenses | style slang | options 3 | SEL
en|Bro, the flat ... dark for like three hours already when he hit the switch.|had been|has been|is
de|Bro, die Wohnung ... schon so drei Stunden dunkel, als er den Schalter drückte.|war|ist|ist
ua|Бро, квартира ... темна вже десь три години, коли він клацнув вимикачем.|була|є|є
es|Bro, el piso ... a oscuras como tres horas ya cuando le dio al interruptor.|llevaba|lleva|está
fr|Frère, l'appart ... plongé dans le noir depuis genre trois heures quand il a appuyé sur l'interrupteur.|était|est|est
tr|Kanka, düğmeye bastığında daire üç saattir falan karanlık ...|kalmıştı|kaldı|kalıyor
hu|Tesó, a lakás már vagy három órája sötét ..., amikor felkapcsolta a villanyt.|volt||
MEDIA 5379 | meaning: to change something to make it different
E 36687 | B1 type 37 Future Simple or Continuos | style chill | options 3 | SEL
en|Seeing the loose sleeves, the tailor decides on the spot that he ... them too.|will alter|will be altering|alters
de|Als der Schneider die weiten Ärmel sieht, beschließt er sofort, dass er sie auch ...|ändern wird|ändern wird|ändert
ua|Побачивши вільні рукави, кравець одразу вирішує, що він їх теж ...|перешиє|перешиватиме|перешиває
es|Al ver las mangas holgadas, el sastre decide en el acto que también las ...|arreglará|estará arreglando|arregla
fr|En voyant les manches trop larges, le tailleur décide sur-le-champ qu'il les ... aussi.|retouchera|sera en train de retoucher|retouche
tr|Bol kolları görünce terzi anında karar veriyor: onları da ...|düzeltecek|düzeltiyor olacak|düzeltiyor
hu|A bő ujjakat látva a szabó azonnal eldönti, hogy azokat is ...|át fogja alakítani|alakítgatni fogja|átalakítja
E 36696 | B2 type 66 All Past Tenses | style dramatic | options 3 | SEL
en|The jacket was a complete disaster until the tailor ... it with his chalk and machine!|altered|was altering|alters
de|Das Sakko war eine komplette Katastrophe, bis der Schneider es mit Kreide und Maschine ...!|änderte|gerade änderte|ändert
ua|Піджак був повною катастрофою, поки кравець не ... його своєю крейдою й машинкою!|перешив|перешивав|перешиває
es|¡La chaqueta era un desastre total hasta que el sastre la ... con su tiza y su máquina!|arregló|estaba arreglando|arregla
fr|La veste était une catastrophe totale jusqu'à ce que le tailleur la ... avec sa craie et sa machine !|retouche|soit en train de retoucher|retouche
tr|Ceket tam bir felaketti, ta ki terzi onu tebeşiri ve makinesiyle ...!|düzeltti|düzeltiyordu|düzeltiyor
hu|A zakó teljes katasztrófa volt, amíg a szabó ... a krétájával és a gépével!|át nem alakította|alakítgatta|át nem alakítja
MEDIA 5380 | meaning: to get something into your hands
E 43916 | B1 type 39 1. Conditional | style slang | options 3 | SEL
en|Nah man, if nobody takes the box, it ... there all week, fr.|will stay|would stay|stayed
de|Nee Mann, wenn keiner die Kiste nimmt, ... sie die ganze Woche da, echt.|bleibt|bliebe|blieb
ua|Не, чувак, якщо ніхто не візьме коробку, вона ... там цілий тиждень, реально.|простоїть|стояла б|стояла
es|Nah, tío, si nadie la coge, la caja ... ahí toda la semana, en serio.|se quedará|se quedaría|se quedó
fr|Nan mec, si personne ne prend la boîte, elle ... là toute la semaine, sérieux.|restera|resterait|est restée
tr|Yok kanka, kimse almazsa kutu bütün hafta orada ..., cidden.|kalacak|kalırdı|kaldı
hu|Á, tesó, ha senki nem viszi el, a doboz egész héten ott ..., komolyan.|marad|maradna|maradt
MEDIA 5383 | meaning: a wide street in a town
E 36925 | B1 type 49 So, Neither, Nor | style flirt | options 3 | SEL
en|You love this avenue, and ... I. Honestly, your taste is iconic.|so do|so am|neither do
de|Du liebst diese Avenue, und ich ..., ehrlich, dein Geschmack ist ikonisch.|auch|auch|auch nicht
ua|Ти любиш цей проспект, і я ..., чесно, твій смак — іконічний.|теж|теж|теж ні
es|Tú amas esta avenida, y ... yo. Sinceramente, tu gusto es icónico.|también|también|tampoco
fr|Tu adores cette avenue, et moi ... ; franchement, ton goût est iconique.|aussi|aussi|non plus
tr|Sen bu caddeyi seviyorsun, ben de ...; açıkçası tarzın efsane.|seviyorum|seviyorum|sevmiyorum
hu|Te imádod ezt a sugárutat, és én ..., őszintén, ikonikus az ízlésed.|is|is|sem
E 36926 | B2 type 51 Future Perfect Simple | style flirt | options 3 | SEL
en|Honestly impressive: by the end of this avenue, you ... ten taxis.|will have hailed|will hail|hail
de|Ehrlich beeindruckend: Bis zum Ende dieser Avenue wirst du zehn Taxis ...|herangewinkt haben|heranwinken|heranwinken
ua|Чесно, вражає: до кінця цього проспекту ти ... десять таксі.|зупиниш|зупинятимеш|зупиняєш
es|Sinceramente impresionante: al final de esta avenida, tú ... diez taxis.|habrás parado|pararás|paras
fr|Franchement impressionnant : d'ici la fin de cette avenue, tu ... dix taxis.|auras hélé|hèleras|hèles
tr|Açıkçası etkileyici: bu caddenin sonuna kadar sen on taksi ...|çevirmiş olacaksın|çevireceksin|çeviriyorsun
hu|Őszintén lenyűgöző: ennek a sugárútnak a végére te ... tíz taxit.|le fogsz inteni|leintesz|intesz
MEDIA 5384 | meaning: someone who won first place in a competition
E 37687 | B1 type 40 2. Conditional | style chill | options 3 | SEL
en|If the team were not champions, they ... their teammate up so high.|wouldn't lift|won't lift|don't lift
de|Wenn das Team nicht Meister wäre, ... sie ihren Mitspieler nicht so hoch.|stemmten|stemmen|stemmen
ua|Якби команда не була чемпіоном, вони ... свого товариша так високо.|не підняли б|не піднімуть|не піднімають
es|Si el equipo no fuera campeón, ellos ... a su compañero tan alto.|no levantarían|no levantarán|no levantan
fr|Si l'équipe n'était pas championne, ils ... leur coéquipier aussi haut.|ne soulèveraient pas|ne soulèveront pas|ne soulèvent pas
tr|Takım şampiyon olmasaydı, onlar takım arkadaşlarını bu kadar yükseğe ...|kaldırmazlardı|kaldırmayacaklar|kaldırmıyorlar
hu|Ha a csapat nem lenne bajnok, ők ... ilyen magasra a csapattársukat.|nem emelnék|nem fogják emelni|nem emelik
MEDIA 5385 | meaning: a victory in a race or a competition
E 44755 | B1 type 48 Question tags | style gossip | options 3 | SEL
en|Girl, apparently that win was huge, ...?|wasn't it?|didn't it?|was it?
de|Mädel, der Sieg war angeblich riesig, ...?|war er nicht?|nicht wahr?|war er?
ua|Подруго, кажуть, та перемога була величезна, ...?|чи не так?|правда?|була?
es|Amiga, al parecer esa victoria fue enorme, ¿...?|no|verdad|sí
fr|Meuf, apparemment cette victoire était énorme, ... ?|n'est-ce pas|non|c'est ça
tr|Kızım, o galibiyet baya büyükmüş, ...?|değil mi?|değil mi?|öyle mi?
hu|Csajszi, állítólag az a győzelem óriási volt, ...?|nem igaz?|nem?|igaz?
E 44763 | B2 type 56 Reported speech | style dramatic | options 3 | SEL
en|The other team refused ... the win! Total betrayal!|to accept|accepting|accept
de|Das andere Team weigerte sich, den Sieg ...! Totaler Verrat!|anzuerkennen|Anerkennen|anerkennen
ua|Інша команда відмовилася ... перемогу! Повна зрада!|визнати|визнання|визнати
es|¡El otro equipo se negó a ... la victoria! ¡Traición total!|aceptar|aceptando|aceptar
fr|L'autre équipe a refusé ... la victoire ! Trahison totale !|d'accepter|acceptant|accepter
tr|Diğer takım galibiyeti ... reddetti! Tam bir ihanet!|kabul etmeyi|kabul ederek|kabul etmek
hu|A másik csapat nem volt hajlandó ... a győzelmet! Teljes árulás!|elismerni|elismerve|elismer
MEDIA 5386 | meaning: to separate something by pulling it apart
E 43976 | B1 type 32 Present Perfect Continuous | style flirt | options 3 | SEL
en|Smooth: you ... paper apart for five minutes and you're still so calm.|have been tearing|are tearing|tear
de|Stark: Du ... seit fünf Minuten Papier und bist immer noch so ruhig.|zerreißt|zerreißt|zerreißt
ua|Ефектно: ти вже п'ять хвилин ... папір і досі така спокійна.|рвеш|рвеш|рвеш
es|Con estilo: tú ... papel durante cinco minutos y sigues tan tranquila.|has estado rompiendo|estás rompiendo|rompes
fr|Stylé : tu ... du papier depuis cinq minutes et tu es toujours aussi calme.|déchires|déchires|déchires
tr|Tarz: sen beş dakikadır kâğıt ... ve hâlâ çok sakinsin.|yırtıyorsun|yırtıyorsun|yırtarsın
hu|Menő: te öt perce ... a papírt, és még mindig ilyen nyugodt vagy.|téped|téped|téped
E 43984 | B2 type 66 All Past Tenses | style gossip | options 3 | SEL
en|Omg, they're saying she ... the contract before anyone could say a word.|had torn|has torn|is tearing
