MEDIA 5324 | meaning: a soft object with holes used for washing
E 35417 | A1 type 10 Prepositions of place/time | style chill | options 3 | SEL
en|She squeezes soap ... the sponge over the dirty pan.|on|in|at
de|Sie drückt Spülmittel ... den Schwamm über der schmutzigen Pfanne.|auf|in|an
ua|Вона вичавлює мийний засіб ... губку над брудною сковородою.|на|у|біля
es|Ella echa jabón ... la esponja encima de la sartén sucia.|sobre|en|a
fr|Elle verse du liquide vaisselle ... l'éponge au-dessus de la poêle sale.|sur|dans|à
tr|O, kirli tavanın üstünde süngerin ... sabun sıkıyor.|üstüne|içine|
hu|Ő mosogatószert nyom a ... a koszos serpenyő fölött.|szivacsra|szivacsban|szivacsnál
E 35419 | A2 type 19 Countable and uncountable | style chill | options 3 | SEL
en|She puts some ... on the sponge.|soap|soaps|a soap
de|Sie gibt etwas ... auf den Schwamm.|Seife|Seife|eine Seife
ua|Вона наносить трохи ... на губку.|мила|мил|мила
es|Ella pone un poco de ... en la esponja.|jabón|jabón|un jabón
fr|Elle met un peu de ... sur l'éponge.|savon|savon|un savon
tr|O, süngere biraz ... koyuyor.|sabun|sabunlar|bir sabun
hu|Ő egy kis ... tesz a szivacsra.|szappant|szappant|egy szappant
MEDIA 5329 | meaning: a small hard fruit that grows into a plant
E 34986 | A1 type 5 Singular and plural | style chill | options 3 | SEL
en|He holds one seed, and the tray has got ...|20 seeds.|20 seed.|20 seedes.
de|Er hält einen Samen, und die Anzuchtschale hat ...|20 Samen.|20 Samen.|20 Samen.
ua|Він тримає одну насінину, а в лотку ...|20 насінин.|20 насінина.|20 насінин.
es|Él sostiene una semilla, y la bandeja tiene ...|20 semillas.|20 semilla.|20 semillas.
fr|Il tient une graine, et le plateau en a ...|20 graines.|20 graine.|20 graines.
tr|O bir tohum tutuyor, tepside ise ... var.|20 tohumlar|20 tohum|20 tohumlar
hu|Ő egy magot tart, a tálcán pedig van ...|20 mag.|20 mag.|20 mag.
E 34993 | A2 type 12 Past Simple | style chill | options 3 | SEL
en|Last spring he ... these seeds in the soil.|planted|plants|plant
de|Letzten Frühling ... er diese Samen in die Erde.|pflanzte|pflanzt|pflanzen
ua|Минулої весни він ... це насіння в землю.|посадив|садить|садити
es|La primavera pasada él ... estas semillas en la tierra.|plantó|planta|plantar
fr|Le printemps dernier, il ... ces graines dans la terre.|a planté|plante|planter
tr|Geçen bahar o bu tohumları toprağa ...|ekti|eker|ekmek
hu|Tavaly tavasszal ő ... ezeket a magokat a földbe.|elültette|elülteti|elültetni
MEDIA 5330 | meaning: a secret agent who gets information for a state
E 35435 | A2 type 14 Present Continuous | style slang | options 3 | SEL
en|Yo, the spy ... photos through the newspaper, kinda sus.|is taking|takes|taking
de|Yo, der Spion ... Fotos durch die Zeitung, irgendwie sus.|macht|macht|macht
ua|Йо, шпигун ... фото крізь газету, якось підозріло.|робить|робить|робить
es|Tío, el espía ... fotos a través del periódico, qué turbio.|está haciendo|hace|haciendo
fr|Wesh, l'espion ... des photos à travers le journal, un peu louche.|est en train de prendre|prend|prenant
tr|Kanka, casus gazetenin içinden fotoğraf ..., biraz şüpheli.|çekiyor|çeker|çekerek
hu|Figyu, a kém fotókat ... az újságon keresztül, elég gyanús.|készít|készít|készít
MEDIA 5338 | meaning: to stay put in one certain place
E 35493 | A1 type 4 Modal verb CAN | style chill | options 3 | SEL
en|For 100 euros, she ... stay in a bright hotel room.|can|cans|is
de|Für 100 Euro ... sie in einem hellen Hotelzimmer wohnen.|kann|kann|ist
ua|За 100 євро вона ... жити у світлому готельному номері.|може|може|є
es|Por 100 euros, ella ... alojarse en una habitación de hotel luminosa.|puede|puede|está
fr|Pour 100 euros, elle ... loger dans une chambre d'hôtel lumineuse.|peut|peut|est
tr|100 euroya o, aydınlık bir otel odasında ...|kalabilir|kalabilir|
hu|100 euróért ő egy világos hotelszobában ...|lakhat|lakhat|van
E 35497 | A2 type 23 Must, Have to... | style ironic | options 3 | SEL
en|Flawless planning: for 10 euros, he ... stay in a bunk bed.|has to|must|should
de|Perfekte Planung: Für 10 Euro ... er in einem Stockbett übernachten.|muss|muss|sollte
ua|Бездоганне планування: за 10 євро він ... ночувати на двоярусному ліжку.|має|мусить|мав би
es|Planificación impecable: por 10 euros, él ... quedarse en una litera.|tiene que|debe|debería
fr|Planification parfaite : pour 10 euros, il ... dormir dans un lit superposé.|doit|doit|devrait
tr|Kusursuz planlama: 10 euroya o, ranzada ...|kalmak zorunda|kalmalı|kalmalı
hu|Hibátlan tervezés: 10 euróért neki egy emeletes ágyon ... aludnia.|kell|kell|kellene
MEDIA 5340 | meaning: a building where a car is kept
E 32928 | A1 type 7 This, That, These... | style chill | options 3 | SEL
en|... boxes in the garage are heavy.|These|This|That
de|... Kisten in der Garage sind schwer.|Diese|Diese|Jene
ua|... коробки в гаражі важкі.|Ці|Ця|Та
es|... cajas del garaje son pesadas.|Estas|Esta|Esa
fr|... cartons dans le garage sont lourds.|Ces|Ce|Ce
tr|Garajdaki ... kutular ağır.|bu|bu|şu
hu|... a dobozok a garázsban nehezek.|Ezek|Ez|Az
MEDIA 5346 | meaning: the muscular organ that holds the food you eat
E 35523 | A1 type 8 My, Your, His,... | style dramatic | options 3 | SEL
en|He holds ... stomach in the queue. Total disaster!|his|her|its
de|Er hält in der Schlange ... Bauch. Totale Katastrophe!|seinen|ihren|seinen
ua|Він тримається в черзі за ... живіт. Повна катастрофа!|свій|свій|свій
es|Él se agarra ... estómago en la cola. ¡Desastre total!|su|su|su
fr|Il se tient ... ventre dans la file. Catastrophe totale !|son|son|son
tr|O, kuyrukta ... midesini tutuyor. Tam bir felaket!|onun|onun|onun
  ~soft: no diacritics at all
hu|Ő a sorban a ... fogja. Totális katasztrófa!|gyomrát|gyomrát|gyomrát
E 35526 | A2 type 21 There is, are | style chill | options 3 | SEL
en|There ... a lot of spaghetti in his stomach now.|is|are|be
de|In seinem Magen ... jetzt eine Menge Spaghetti.|ist|sind|sein
ua|У його шлунку зараз ... багато спагеті.|є|є|бути
es|Ahora ... un montón de espaguetis en su estómago.|hay|hay|hay
fr|... plein de spaghettis dans son estomac maintenant.|Il y a|Il y a|Il y a
tr|Şimdi midesinde bir sürü spagetti ...|var|var|olmak
hu|Most rengeteg spagetti ... a gyomrában.|van|van|lenni
MEDIA 5347 | meaning: the act of stopping something
E 35548 | A2 type 16 Future with WILL | style flirt | options 3 | SEL
en|Honestly, show your palm and the cars ... come to a stop.|will|are|will to
de|Ehrlich, zeig deine Handfläche, und die Autos ... anhalten.|werden|sind|werden
ua|Чесно, покажи долоню — і машини ... зупинятися.|будуть|є|будуть
es|En serio, enseña la palma y los coches ... pararse.||están|
