key	verdict	reason
P1-114-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
P1-466-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
P1-541-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
P1-656-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
P1-672-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
P1-687-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
P1-984-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
P1-1030-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
P1-1041-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
P1-1137-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
P1-1154-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
P1-1207-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
P1-1421-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
P1-1426-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
P1-1622-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
P1-1744-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
P1-1798-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
P1-1818-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
P1-2006-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
P1-2072-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
P1-2090-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
P1-2343-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
P1-2396-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
P1-2477-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
P1-2838-es	AGREE	Ojalá yo -> Él desearía haber matches He wishes he had; gap haber empujado, distractors wrong
P1-3384-es	AGREE	Él desearía haber mantenido matches He wishes he had kept; distractors wrong
P1-3477-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
P1-3715-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
P1-3761-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
P1-4119-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
P1-4164-es	AGREE	Él desearía poder matches He wishes he could; distractors puede/podrá ungrammatical here
P1-4314-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
P1-4636-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
P1-4728-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
P1-4884-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
P1-5157-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
P1-5578-es	AGREE	Yo + he visto matches I have seen; tense change required; distractors wrong
P1-5628-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
P1-5703-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
P1-5728-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
P1-5829-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
P1-5985-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
P1-6179-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
P1-6228-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
P1-6313-es	AGREE	Él desearía haber añadido matches; distractors wrong
P1-6736-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
P1-6806-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
P1-6840-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
P1-6958-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
P1-7352-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
P1-7545-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
P1-7607-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
P1-7907-es	AGREE	Él desearía haber puesto matches; su propio renders his own and removes ambiguity; distractors wrong
P1-8025-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
P1-8037-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
P1-8174-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
P1-8349-es	AGREE	Él desearía saber matches He wishes he knew; distractors wrong
P1-8518-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
P1-8613-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
P1-8770-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
P1-8838-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
P1-9086-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
P1-10182-es	AGREE	Yo + he visto matches I have seen; tense change required; distractors wrong
P1-10861-es	AGREE	Ella dijo + added él needed so he is the one who may enter; matches
P1-10965-es	AGREE	Ella desearía haber comprado matches She wishes she had bought; distractors wrong
P1-11305-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
P1-11313-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
P1-11535-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
P1-11681-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
P1-11810-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
P1-12144-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
P1-12510-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
P1-12789-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
P1-12836-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
P1-12845-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
P1-13112-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
P1-13171-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
P1-13312-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
P1-13416-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
P1-13707-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
P1-14217-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
P1-14375-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
P1-14396-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
P1-14574-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
P1-15333-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
P1-15390-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
