MEDIA 4817 | meaning: a long time with a shortage of rain
E 38824 | B2 type 64 Future in past | style chill | options 3 | SEL
en|The man knew the drought ... until the next rainy season.|would last|will last|lasts
de|Der Mann wusste, dass die Dürre bis zur nächsten Regenzeit ...|andauern würde|andauern wird|andauert
ua|Чоловік знав, що посуха ... до наступного сезону дощів.|триватиме|триватиме|триває
es|El hombre sabía que la sequía ... hasta la próxima temporada de lluvias.|duraría|durará|dura
fr|L'homme savait que la sécheresse ... jusqu'à la prochaine saison des pluies.|durerait|durera|dure
tr|Adam, kuraklığın bir sonraki yağmur mevsimine kadar ... biliyordu.|süreceğini|süreceğini|sürdüğünü
hu|A férfi tudta, hogy az aszály a következő esős évszakig ...|fog tartani|fog tartani|tart
MEDIA 4818 | meaning: the rounded back part of the foot
E 39994 | B1 type 44 Relative clauses | style business | options 3 | SEL
en|The sock ... heel carries a 10 cm spike is the staff's new team-building initiative.|whose|which|that
de|Die Socke, ... Ferse einen 10-cm-Stachel trägt, ist die neue Teambuilding-Initiative der Belegschaft.|deren|die|die
ua|Шкарпетка, ... п'ятка несе 10-сантиметровий шип, — це нова тимбілдинг-ініціатива персоналу.|чия|яка|що
es|El calcetín ... talón lleva un pincho de 10 cm es la nueva iniciativa de team building del personal.|cuyo|que|el cual
fr|La chaussette ... le talon porte une pointe de 10 cm est la nouvelle initiative team building du personnel.|dont|qui|que
tr|Topuğu ... 10 cm'lik bir diken taşıyan çorap, personelin yeni takım ruhu girişimi.|||
hu|Az a zokni, ... sarkán 10 centis tüske van, a személyzet új csapatépítő kezdeményezése.|amelynek a|amely|amelyik
E 39999 | B2 type 66 All Past Tenses | style dramatic | options 3 | SEL
en|They ... on spiked heels for ten minutes before the woman finally collapsed laughing!|had been wobbling|wobbled|were wobbling
de|Sie ... zehn Minuten lang auf Stachelabsätzen, bevor die Frau endlich lachend zusammenbrach!|wackelten|wackelten|wackelten
ua|Вони ... на шипованих підборах десять хвилин, перш ніж жінка нарешті впала від сміху!|хиталися|хиталися|хиталися
es|¡Ellos ... sobre tacones con pinchos durante diez minutos antes de que la mujer por fin se desplomara de risa!|habían estado tambaleándose|se tambalearon|estaban tambaleándose
fr|Ils ... sur des talons à pointes pendant dix minutes avant que la femme ne s'effondre enfin de rire !|avaient titubé|ont titubé|titubaient
tr|Onlar, kadın sonunda gülmekten yere yığılmadan önce on dakika boyunca sivri topuklar üzerinde ...!|sallanıp durmuşlardı|sallandılar|sallanıyorlardı
hu|Ők tíz percig ... a tüskés sarkakon, mire a nő végül nevetve összeesett!|billegtek|billegtek|billegtek
MEDIA 4821 | meaning: the time in the evening when the sun goes down
E 43775 | B1 type 34 Present Perfect Simple or Continuos | style dramatic | options 3 | SEL
en|The sunset ... the whole car park orange; it looks like the world is burning!|has turned|has been turning|is turned
de|Der Sonnenuntergang ... den ganzen Parkplatz orange; es sieht aus, als würde die Welt brennen!|färbt|färbt|ist gefärbt
ua|Захід сонця ... всю парковку в помаранчевий; здається, ніби світ горить!|пофарбував|фарбує|пофарбований
es|La puesta de sol ... todo el aparcamiento de naranja; ¡parece que el mundo está en llamas!|ha teñido|ha estado tiñendo|está teñido
fr|Le coucher de soleil ... tout le parking en orange ; on dirait que le monde brûle !|a teint|teint|est teint
tr|Gün batımı bütün otoparkı turuncuya ...; sanki dünya yanıyor!|boyadı|boyuyor|boyanmış
hu|A naplemente ... az egész parkolót narancssárgára; olyan, mintha égne a világ!|festette|festi|festve van
E 43785 | B2 type 62 Articles advanced | style chill | options 3 | SEL
en|She walks towards the car in ... of the sunset.|the orange light|an orange light|orange lights
de|Sie geht in ... des Sonnenuntergangs auf das Auto zu.|dem orangen Licht|einem orangen Licht|orangen Lichtern
ua|Вона йде до машини в ... заходу сонця.|помаранчевому світлі|помаранчевому світлі|помаранчевих вогнях
es|Ella camina hacia el coche bajo ... del atardecer.|la luz naranja|una luz naranja|luces naranjas
fr|Elle marche vers la voiture dans ... du coucher de soleil.|la lumière orange|une lumière orange|des lumières orange
tr|O, gün batımının ... arabaya doğru yürüyor.|turuncu ışığında|bir turuncu ışığında|turuncu ışıklarında
hu|Ő a naplemente ... sétál az autó felé.|narancssárga fényében|egy narancssárga fényében|narancssárga fényeiben
MEDIA 4825 | meaning: to rub something clean in circles
E 44813 | B1 type 34 Present Perfect Simple or Continuos | style flirt | options 3 | SEL
en|Respect, you ... every worktop in this kitchen, and now it's spotless.|have wiped|have been wiping|are wiping
de|Respekt, du hast jede Arbeitsfläche in dieser Küche ..., und jetzt ist alles blitzblank.|abgewischt|abgewischt|abgewischt
ua|Респект, ти ... кожну стільницю на цій кухні, і тепер вона сяє чистотою.|витерла|витирала|витираєш
es|Respeto, tú ... todas las encimeras de esta cocina y ahora están impecables.|has limpiado|has estado limpiando|estás limpiando
fr|Respect, tu ... chaque plan de travail de cette cuisine, et maintenant tout est nickel.|as essuyé|as essuyé|essuies
tr|Helal, sen bu mutfaktaki her tezgâhı ..., şimdi pırıl pırıl.|sildin|siliyordun|siliyorsun
hu|Respekt, te ... a konyha összes munkalapját, és most makulátlan.|letörölted|törölgetted|törlöd
E 44820 | B2 type 66 All Past Tenses | style chill | options 3 | SEL
en|Before she wiped the worktop, she ... the dirty stove with foam.|had sprayed|has sprayed|sprays
de|Bevor sie die Arbeitsfläche abwischte, ... sie den schmutzigen Herd mit Schaum.|besprühte|besprühte|besprüht
ua|Перш ніж витерти стільницю, вона ... брудну плиту піною.|збризкала|збризкала|бризкає
es|Antes de limpiar la encimera, ella ... la placa sucia con espuma.|había rociado|ha rociado|rocía
fr|Avant d'essuyer le plan de travail, elle ... la plaque sale de mousse.|avait aspergé|a aspergé|asperge
tr|Tezgâhı silmeden önce o, kirli ocağa köpük ...|sıkmıştı|sıktı|sıkıyor
hu|Mielőtt letörölte a munkalapot, ő ... a koszos tűzhelyet habbal.|lefújta|lefújta|lefújja
MEDIA 4829 | meaning: a small piece broken off something
E 37784 | B1 type 45 Reported speech | style business | options 3 | SEL
en|The status update said he ... 80 percent of the paint chips.|had removed|has removed|removes
de|Im Statusupdate stand, dass er 80 Prozent der Farbsplitter ...|entfernt hatte|entfernt hat|entfernt
ua|У статус-апдейті було сказано, що він ... 80 відсотків уламків фарби.|прибрав|прибрав|прибирає
es|La actualización de estado decía que él ... el 80 por ciento de las escamas de pintura.|había quitado|ha quitado|quita
fr|Le point d'avancement indiquait qu'il ... 80 % des écailles de peinture.|avait retiré|a retiré|retire
tr|Durum güncellemesine göre o, boya parçalarının yüzde 80'ini ...|temizlemişti|temizledi|temizliyor
hu|A státuszjelentés szerint ő ... a lepattogzott festékdarabok 80 százalékát.|eltávolította|eltávolította|eltávolítja
MEDIA 4831 | meaning: a successful stroke of the bat in baseball
E 40047 | B1 type 33 Past Simple or Continuos | style chill | options 3 | SEL
en|While the ball ... through the grey sky, he stood and admired his hit.|was flying|flew|has flown
de|Während der Ball durch den grauen Himmel ..., stand er da und bewunderte seinen Schlag.|flog|flog|ist geflogen
ua|Поки м'яч ... сірим небом, він стояв і милувався своїм ударом.|летів|пролетів|пролетів
es|Mientras la pelota ... por el cielo gris, él se quedó de pie admirando su golpe.|volaba|voló|ha volado
fr|Pendant que la balle ... dans le ciel gris, il restait là à admirer son coup.|volait|vola|a volé
tr|Top gri gökyüzünde ..., o durup vuruşunu hayranlıkla izledi.|uçarken|uçunca|uçmuşken
hu|Amíg a labda ... a szürke égen, ő állt és csodálta az ütését.|repült|elrepült|elrepült
MEDIA 4832 | meaning: a long narrow strip of high ground
E 42329 | B1 type 43 Modal verbs Probability | style dramatic | options 3 | SEL
en|One wrong step off this ridge ... be the absolute end!|could|must|can't
de|Ein falscher Schritt von diesem Grat ... das absolute Ende sein!|könnte|muss|kann nicht
ua|Один хибний крок із цього хребта ... стати абсолютним кінцем!|може|мусить|не може
es|¡Un paso en falso en esta cresta ... ser el final absoluto!|podría|debe|no puede
