30501	!	Exclamatory 'Nézd' command plus pointing; English ! fits
103923	!	Warning imperative; English ! fits
128709	!	Imminent danger exclamation; English ! fits
129078	!	Excited 'végre itt van'; English ! fits
130257	!	Exclamatory prediction; English ! fits
138501	.	Plain statement; English .
139878	.	Plain statement; English .
140400	.	Final sentence is a statement; English .
141381	.	Plain statement; English .
141408	.	Final sentence is a statement; English .
141615	.	Final sentence is a statement; English .
210249	.	Plain statement; English . (stray period in English ignored)
