key	verdict	reason
P2-331-hu	AGREE	added clause dropped; is = so does; distractors wrong
P2-331-ua	AGREE	added clause dropped; теж = so does; distractors wrong
P2-354-cz	AGREE	added 'and she laughed' dropped; nothing else changed
P2-354-hu	AGREE	added 'és felnevetett' dropped; nothing else changed
P2-354-sk	AGREE	added 'and she laughed' dropped; nothing else changed
P2-354-ua	AGREE	added 'and she laughed' dropped; nothing else changed
P2-1067-ua	AGREE	молочні коктейлі = milkshakes; gap and distractors intact
P2-1079-ua	AGREE	молочного коктейлю = milkshake; gap intact
P2-1551-hu	AGREE	lemondta volna = had cancelled; distractors lemondja/lemondaná ungrammatical before volna
P2-4780-cz	AGREE	subject její bratr added, clitic si stays in second position; grammatical
P2-4780-sk	AGREE	subject jej brat added, clitic si stays in second position; grammatical
P2-6783-hu	AGREE	amelyet (object relative, indefinite eltört is correct after amelyet) = that she broke; distractors akit/amikor wrong
P2-7686-ua	AGREE	ми -> вони (they); verb form unchanged for plural
P2-8725-hu	AGREE	gap moved to állítólag = is said; distractors mondja/mondta ungrammatical in the slot; period only other change
P2-8725-ua	DISAGREE	sentence fine, but distractor Каже is grammatical in the slot (pro-drop: 'He says the march was organised'), so it is not wrong; use distractors Казати | Кажучи
P2-8934-ua	DISAGREE	sentence fine, but distractor Каже is grammatical in the slot (pro-drop: 'He says his change of direction...'), so it is not wrong; use distractors Казати | Кажучи
P2-9325-ua	AGREE	усе пообіддя = all afternoon; natural
P2-9413-ua	AGREE	провозить контрабандою = smuggles; саме провозить clashes with щомісяця, провіз wrong tense
P2-9705-hu	AGREE	aláírni = sign; tudták volna aláírni grammatical
P2-10671-cz	AGREE	zkontroluje = will have checked (perfective future); distractors wrong aspect/tense
P2-10671-sk	AGREE	skontroluje = will have checked; distractors wrong aspect/tense
P2-11322-ua	AGREE	восковими олівцями = crayons
P2-12077-hu	AGREE	retranslation matches; hu has no 3sg copula so predicate adjective gap with plural/comparative distractors is the right analogue
P2-12131-hu	AGREE	majdnem tele van = is almost full; gap van
P2-13157-hu	AGREE	retranslation matches; gap on predicate adjective (no 3sg copula)
P2-13157-ua	AGREE	була -> є (present); distractors бути/будь wrong
P2-14003-hu	AGREE	sűrű és fehér = thick and white; predicate adjective gap
P2-14424-hu	AGREE	ők ... eszik = 3pl definite (they eat it); grammatical
P2-14514-hu	AGREE	A rajza majdnem készen van = his drawing is almost finished; gap van
P2-14624-hu	AGREE	A palackban lévő víz nagyon hideg matches; predicate adjective gap
P2-14690-ua	AGREE	впустив = dropped; distractors follow
P2-15212-ua	AGREE	Цю вправу singular; rest unchanged
P2-16085-cz	AGREE	retranslation matches; no article so agreeing adjective gap with wrong-gender distractors
P2-16085-sk	AGREE	retranslation matches; no article so agreeing adjective gap with wrong-gender distractors
P2-16085-ua	AGREE	retranslation matches; agreeing adjective gap with wrong-gender distractors
P2-16552-hu	DISAGREE	gap van here means 'has' (szakálla és sapkája van), not the 'is' of the English; use A nagypapa öreg, fehér szakállú és sapkás. with gap öreg, distractors öregek | öregebb
P2-17102-hu	AGREE	tegnap dropped, volt -> van present; distractors follow
P2-17121-cz	AGREE	question with Kolik = how much; Mnohé/Pár ungrammatical in slot
P2-17121-sk	AGREE	question with Koľko = how much; Mnohé/Pár ungrammatical in slot
P2-17121-ua	AGREE	added answer dropped, gap Скільки; Багатьох/Кілька wrong in slot
P2-17212-hu	AGREE	tegnap/volt dropped, present; predicate adjective gap
P2-17381-hu	AGREE	A jégkorong gyors játék a hideg jégen matches; predicate noun gap with wrong forms
P2-17991-cz	DISAGREE	sentence fine, but distractors Mnoho/Několik give grammatical yes/no questions ('Několik snacků je na gauči?'); use Kolika | Kolikrát
P2-17991-hu	DISAGREE	sentence fine, but distractor Mennyi is correct with mass noun rágcsálnivaló and Sok gives a grammatical yes/no question; use Hányan | Hányszor
P2-17991-sk	DISAGREE	sentence fine, but distractors Mnoho/Niekoľko give grammatical yes/no questions; use Koľkých | Koľkokrát
P2-17991-ua	DISAGREE	sentence fine, but distractor Багато gives a natural question ('Багато снеків на дивані?'); use Скількох | Скількома
P2-18001-cz	AGREE	dotýkat se + genitive žilek correct; = touches
P2-18001-sk	AGREE	dotýkať sa + genitive žiliek correct; = touches
P2-18027-hu	AGREE	erős és puha matches; predicate adjective gap
P2-18163-hu	AGREE	retranslation matches; predicate adjective gap
P2-18273-hu	AGREE	retranslation matches; predicate adjective gap
P2-18387-cz	AGREE	sedí = sits; distractors wrong
P2-18387-hu	AGREE	ül = sits; distractors wrong
P2-18387-sk	AGREE	sedí = sits; distractors wrong
P2-18387-ua	AGREE	сидить = sits; distractors wrong
P2-18568-hu	AGREE	kezet fogott vele = shook his hand; fog clashes with Tegnap, fogni ungrammatical
P2-18973-hu	AGREE	sűrű és halvány = thick and pale; predicate adjective gap
P2-19229-hu	AGREE	és nincs szabad keze added; gap van intact
P2-20293-hu	AGREE	retranslation matches; predicate adjective gap
P2-21557-hu	AGREE	retranslation matches; predicate adjective gap
P2-21793-ua	AGREE	щоб зігрітися й відчувати себе в безпеці covers warm and safe
P2-22131-hu	AGREE	Az iskolám nagy, régi és tele van diákokkal matches; gap van
P2-23110-cz	AGREE	bývá vždycky ospalá = regularly gets sleepy (as sk býva); verb gap, distractors wrong
P2-23495-hu	AGREE	retranslation matches; predicate adjective gap
P2-23606-hu	AGREE	retranslation matches; comparative gap with wrong forms
P2-23998-hu	AGREE	a kapuban dropped; A futár sárga láthatósági mellényben van matches
P2-24164-hu	AGREE	on the wall dropped; predicate adjective gap
