exercise_id	lang	level
26943	hu	A1
26943	tr	A1
27060	tr	A1
27078	hu	A1
27078	tr	A1
27195	tr	A1
27245	cz	A1
27245	sk	A1
27245	ua	A1
27303	tr	A1
27348	hu	A1
27348	tr	A1
27519	tr	A1
27564	hu	A1
27564	tr	A1
27596	cz	A1
27596	sk	A1
27596	ua	A1
27678	cz	A1
27678	sk	A1
27678	ua	A1
27840	cz	A1
27840	sk	A1
27840	ua	A1
27889	hu	A1
27889	tr	A1
28051	hu	A1
28051	tr	A1
28491	cz	A1
28491	sk	A1
28491	ua	A1
28545	cz	A1
28545	sk	A1
28545	ua	A1
28594	hu	A1
28594	tr	A1
28680	cz	A1
28680	sk	A1
28680	tr	A1
28680	ua	A1
28820	es	A1
28820	fr	A1
28820	tr	A1
28874	tr	A1
28946	hu	A1
28946	tr	A1
29091	tr	A1
29114	cz	A1
29114	sk	A1
29114	ua	A1
29383	hu	A1
29383	tr	A1
29421	tr	A1
29521	hu	A1
29521	tr	A1
29607	cz	A1
29607	sk	A1
29607	ua	A1
30017	tr	A1
30094	cz	A1
30094	sk	A1
30094	ua	A1
30116	hu	A1
30116	tr	A1
30308	hu	A1
30308	tr	A1
30335	hu	A1
30335	tr	A1
30557	cz	A1
30557	sk	A1
30557	tr	A1
30557	ua	A1
30588	tr	A1
30910	cz	A1
30910	sk	A1
30910	ua	A1
30941	tr	A1
31073	cz	A1
31073	sk	A1
31073	ua	A1
31104	tr	A1
31182	cz	A1
31182	sk	A1
31182	ua	A1
31204	hu	A1
31204	tr	A1
31267	tr	A1
31339	hu	A1
31339	tr	A1
31366	hu	A1
31366	tr	A1
31537	es	A1
31537	fr	A1
31537	tr	A1
31695	cz	A1
31695	sk	A1
31695	ua	A1
32052	tr	A1
32320	cz	A1
32320	sk	A1
32320	ua	A1
32438	es	A2
32438	fr	A2
32459	tr	A1
32477	hu	A1
32477	tr	A1
32567	es	A1
32567	fr	A1
32567	tr	A1
32611	hu	A1
32611	tr	A1
32621	cz	A1
32621	sk	A1
32621	ua	A1
32629	hu	A1
32629	tr	A1
32656	hu	A1
32656	tr	A1
32696	cz	A1
32696	sk	A1
32696	tr	A1
32696	ua	A1
32714	hu	A1
32714	tr	A1
32742	cz	A1
32742	sk	A1
32742	tr	A1
32742	ua	A1
32817	hu	A1
32817	tr	A1
32835	hu	A1
32835	tr	A1
32871	hu	A1
32871	tr	A1
32907	hu	A1
32907	tr	A1
33034	cz	A1
33034	sk	A1
33034	tr	A1
33034	ua	A1
33043	tr	A1
33070	hu	A1
33070	tr	A1
33294	hu	A1
33294	tr	A1
33371	es	A1
33371	fr	A1
33371	tr	A1
33404	hu	A1
33404	tr	A1
33471	hu	A1
33471	tr	A1
33495	cz	A1
33495	sk	A1
33495	tr	A1
33495	ua	A1
33551	cz	A1
33551	sk	A1
33551	tr	A1
33551	ua	A1
33560	es	A1
33560	fr	A1
33560	tr	A1
33646	tr	A1
33663	tr	A1
33683	cz	A1
33683	sk	A1
33683	tr	A1
33683	ua	A1
33713	es	A1
33713	fr	A1
33713	tr	A1
33728	hu	A1
33728	tr	A1
33741	cz	A1
33741	sk	A1
33741	tr	A1
33741	ua	A1
33757	hu	A1
33757	tr	A1
33820	tr	A1
33838	cz	A1
33838	sk	A1
33838	tr	A1
33838	ua	A1
33851	cz	A1
33851	sk	A1
33851	tr	A1
33851	ua	A1
33876	hu	A1
33876	tr	A1
33981	cz	A1
33981	sk	A1
33981	ua	A1
34049	hu	A1
34049	tr	A1
34078	cz	A1
34078	sk	A1
34078	tr	A1
34078	ua	A1
34088	es	A1
34088	fr	A1
34088	tr	A1
