09:15:27-10:15:25 claude-opus-5          n=  19 in=      38 cc=   139170 cr=   2204539 out=   77124 total=   2420871 e836e9e1-d804-457e-a417-abf35592c029.jsonl
09:24:13-09:48:01 claude-opus-5          n=  40 in=      80 cc=   295728 cr=   6502646 out=    2440 total=   6800894 Checker v2 engine and tooling
09:24:15-09:27:29 claude-opus-5          n=   5 in=      10 cc=    47274 cr=    270834 out=     782 total=    318900 Global synonym table
09:24:16-09:35:35 claude-opus-5          n=  13 in=      26 cc=   204714 cr=   1217392 out=    1133 total=   1423265 Mistake library A topics
09:24:17-09:34:03 claude-opus-5          n=  13 in=      26 cc=   131463 cr=   1157571 out=    1280 total=   1290340 Mistake library B1 topics
09:24:18-09:34:55 claude-opus-5          n=  13 in=      26 cc=   215798 cr=   1017448 out=    1473 total=   1234745 Mistake library B2 topics
09:24:19-09:27:37 claude-sonnet-5        n=   4 in=       8 cc=    98505 cr=    199617 out=     268 total=    298398 Coverage correct translations
09:24:21-09:31:58 claude-sonnet-5        n=   5 in=      10 cc=   138552 cr=    333564 out=     231 total=    472357 False-acceptance wrong translations
09:24:23-09:26:35 claude-opus-5          n=   4 in=       8 cc=    48938 cr=    212635 out=     450 total=    262031 Supplementary blind translations
09:48:15-10:02:33 claude-opus-5          n=  12 in=      24 cc=   237000 cr=   1181501 out=    1266 total=   1419791 Global synonym table (retry)
10:02:48-10:13:08 claude-sonnet-5        n=   5 in=      10 cc=   284091 cr=    295238 out=     178 total=    579517 Annotate batch b3 (budget probe)
TOTAL in=266 cc=1841233 cr=14592985 out=86625 total=16521109
