5243df	C
97cc7a	W	S
203d0d	W	W
ee7be3	W	M
c9a926	C
76c8ca	W	T
750198	W	W
80f46e	W	V
89dce9	W	T
e745b3	C
055964	C
0f3aa2	W	T
e1b447	W	W
002ec3	C
f3c8f9	W	T
a78296	C
6aaf2d	W	W
1cad44	C
2b655f	C
1f02c0	W	V
ead543	C
3b84b7	C
da5a6a	W	M
bef930	W	M
693fab	W	M
af3138	W	M
59b3a4	C
e02bca	W	M
1a0787	W	T
3d777d	W	M
e74736	W	W
848778	W	T
d54f50	W	W
870f4d	W	S
35b69c	W	S
10fed6	W	T
39c420	C
18cb05	C
9aef4d	C
0f2150	W	S
7a5b91	W	S
c308a0	W	S
eea66a	C
696265	W	T
07d08a	W	S
5c6d05	W	M
44f1a1	W	W
bd112d	W	W
208788	C
7cbfcf	W	S
ec899c	W	S
420a88	W	S
23fbfc	W	W
634d51	C
e19bb7	W	T
f3afc1	W	S
6d0139	W	V
d75e9c	C
05f6bf	W	S
058d56	W	S
937bcd	W	T
ca2ac2	C
ee3d22	C
e54de9	C
395897	W	M
bb3988	W	W
d390c4	C
7cca1b	C
3900b3	W	T
7b1b38	W	S
84ea75	C
1343e2	C
2e3f6e	W	W
cdc634	W	M
65bc71	C
bf4a23	C
5a7198	W	T
e6c74f	C
ce88af	W	W
c771d3	W	S
fe1911	W	T
513b61	W	W
d53add	W	V
7b74bb	W	S
23f6ea	W	T
a85ff5	W	V
ef0757	W	T
f5ccf8	C
8bfa12	W	W
64cf7e	C
2b0c47	W	W
844e81	C
9db744	C
6b8697	W	T
d6140e	W	W
57f3da	C
465643	W	M
a19894	W	T
9d0503	W	T
ae7f89	W	T
df53c0	W	S
e03b0b	W	M
d05a1b	C
cb2761	C
0ec063	C
c39bb3	W	S
ebe638	W	M
bdb9f7	W	M
091b35	C
ba026c	W	S
adc0db	W	S
6acda6	C
5db874	C
ea59d6	C
d28c88	W	T
232ef7	W	S
f85cf9	W	S
5de218	W	S
2815be	W	W
a603c0	C
21ec63	W	T
db3beb	C
be92fa	W	W
0d2f68	C
b9e4ca	W	M
2f1923	C
a95f59	W	T
02d932	C
86d85c	C
dc2aaa	W	W
255b13	W	W
14284f	W	T
283fcc	W	T
347083	W	W
d4da36	C
b4d2e0	W	S
ccd391	W	W
23e652	W	W
7626bd	W	M
ecec94	W	W
41f82d	C
532d87	C
d3c913	W	T
879011	C
e28cdb	C
ddd794	W	S
f06a35	C
233281	W	W
2d8feb	W	T
e9071c	W	W
f444d5	W	V
862cf7	W	T
734ad3	W	M
f5cdab	W	T
8775f6	C
b833d6	W	V
b09caa	W	T
bfa007	W	M
bb0ba2	W	W
be3678	W	V
14c234	W	S
d16209	W	T
a03d17	C
21e682	W	W
979a25	W	T
71ec51	C
9a5242	C
f17193	W	S
d4d3e4	C
276dbd	W	W
98fc46	W	T
200737	W	S
1b0642	W	T
5b2d3a	W	S
84a40c	W	W
250a28	W	T
0a1c95	W	M
2b0ddc	C
d81fae	W	M
38cc31	W	T
f1b265	C
997b38	C
d0b73d	C
72300f	W	S
c66856	W	S
a4766f	W	T
eb59fe	W	T
8b47d6	W	W
bae671	W	T
e61126	C
6ede88	C
fb7ece	C
cc5759	W	M
d69266	C
77227d	W	S
db13c1	W	W
be0f8d	C
c9a852	C
11974a	C
221249	C
202776	C
7c1944	W	T
77353b	C
6945b9	W	M
8315d8	C
59365e	W	T
45da99	W	V
303845	W	T
0c0671	W	T
845506	W	M
48c8a8	W	W
006438	C
6f6388	W	M
7f7194	W	E
9e7cdc	W	E
86fa15	W	W
7bbca7	W	T
e48895	C
2bddad	W	M
b3e26a	W	S
6c8465	W	T
09e211	W	S
71b0ca	C
d5e26f	W	S
0f88fb	C
c6b277	W	T
0ec34b	C
dc14a1	W	S
01e22f	W	M
b6208a	W	T
0e6e17	W	W
af2f4a	C
61971f	C
da6e34	W	T
a47325	W	T
08e5aa	W	S
118e4f	W	W
2e2797	W	T
0b42c8	C
578599	W	M
10b8d1	W	S
8c9cb8	W	S
644fbc	C
3f31b1	W	M
77f06a	C
d99644	W	M
d6f31f	C
cd8ff1	W	V
704d0c	W	T
0987b3	C
decd2c	W	W
43db26	C
27a504	W	S
3ab0ae	W	S
778018	C
342f6e	W	T
1358d4	W	W
d7e000	C
b0ec73	W	V
e644ae	C
c6d3df	W	T
34eaed	C
393473	W	T
9d6733	W	S
c970fa	W	M
73651b	W	S
b2e774	W	M
134284	W	W
821fbb	C
fc50a5	C
a77109	W	T
bbc2eb	W	M
e93aeb	W	T
db48e4	W	S
1d831e	W	T
5922a6	W	W
084d4b	W	M
1855ea	W	S
8c5227	W	S
ff5f77	W	T
c695ca	W	W
326977	W	T
5fcb91	C
e2028b	C
eb3ad8	C
5e8c8a	C
00bf84	C
a0eeb2	W	W
