MEDIA 5209 | meaning: to sit or lie back comfortably doing nothing
E 40734 | B1 type 37 Future Simple or Continuos | style ironic | options 3 | SEL
en|Obviously, he promises he ... on the sofa for only five minutes.|will lounge|will be lounging|is lounging
de|Klar, er verspricht, dass er nur fünf Minuten auf dem Sofa ...|herumliegen wird|herumliegen wird|herumliegt
ua|Звісно, він обіцяє, що ... на дивані лише п'ять хвилин.|валятиметься|валятиметься|валяється
es|Obviamente, él promete que ... en el sofá solo cinco minutos.|se tirará|estará tirado|está tirado
fr|Évidemment, il promet qu'il ... sur le canapé seulement cinq minutes.|se prélassera|sera en train de se prélasser|se prélasse
tr|Tabii ki o, kanepede sadece beş dakika ... söz veriyor.|uzanacağına|uzanıyor olacağına|uzandığına
hu|Persze ő megígéri, hogy csak öt percig ... a kanapén.|fog heverészni|fog heverészni|heverészik
MEDIA 5210 | meaning: to move back or away from something
E 42285 | B1 type 38 0 Conditional | style slang | options 3 | SEL
en|Yo, if a goose ... its wings, everyone retreats, no cap.|spreads|spread|will spread
de|Yo, wenn eine Gans ihre Flügel ..., weichen alle zurück, ohne Witz.|ausbreitet|ausbreiten|ausbreiten wird
ua|Йо, якщо гуска ... крила, усі відступають, без жартів.|розправляє|розправити|розправить
es|Oye, si un ganso ... las alas, todos retroceden, en serio.|extiende|extender|extenderá
fr|Yo, si une oie ... ses ailes, tout le monde recule, sans mentir.|déploie|déployer|déploiera
tr|Kanka, bir kaz kanatlarını ..., herkes geri çekiliyor, yemin ederim.|açarsa|açmak|açacaksa
hu|Tesó, ha egy liba ... a szárnyait, mindenki hátrál, komolyan.|kitárja|kitárni|ki fogja tárni
E 42290 | B2 type 56 Reported speech | style gossip | options 3 | SEL
en|Girl, he admitted ... from a goose in front of everyone.|having retreated|to retreat|retreated
de|Süße, er hat zugegeben, dass er vor allen vor einer Gans ...|zurückgewichen ist|zurückzuweichen|zurückgewichen ist
ua|Подруго, він зізнався, що ... від гуски на очах у всіх.|відступив|відступити|відступив
es|Tía, él admitió ... ante un ganso delante de todos.|haber retrocedido|retroceder|que retrocedió
fr|Meuf, il a avoué ... face à une oie devant tout le monde.|avoir reculé|reculer|qu'il a reculé
tr|Kızım, o herkesin önünde bir kazdan ... itiraf etti.|geri çekildiğini|geri çekilmeyi|geri çekildiğini
hu|Csajszi, ő bevallotta, hogy mindenki előtt ... egy liba elől.|meghátrált|meghátrálni|meghátrált
MEDIA 5211 | meaning: a coming home again after time away
E 42296 | B1 type 31 Past Continuous | style slang | options 3 | SEL
en|Her return was lowkey iconic: she ... around barefoot when the camera caught her.|was spinning|spun|has spun
de|Ihre Rückkehr war lowkey ikonisch: Sie ... barfuß im Kreis, als die Kamera sie erwischte.|drehte sich gerade|drehte sich|hat sich gedreht
ua|Її повернення було трохи легендарним: вона ... босоніж, коли її зняла камера.|крутилася|крутнулася|крутнулася
