key	verdict	reason
P2-331-de	AGREE	added clause dropped; matches en; gap auch intact
P2-331-es	AGREE	added clause dropped; matches en; gap también intact
P2-331-fr	AGREE	added clause dropped; matches en; gap aussi intact
P2-331-tr	AGREE	added clause dropped; matches en; gap da ağrıyor intact
P2-354-de	AGREE	'und sie lachen musste' dropped; matches en; gap schnurrte intact
P2-354-tr	AGREE	've kadın güldü' dropped; matches en; gap mırladı intact
P2-1207-de	AGREE	'Ich bin sicher, dass' dropped; main-clause order forces gap verbracht haben; distractors mirror en tense contrast
P2-3649-es	AGREE	él -> el dron fixes subject; nothing else changed
P2-4196-de	AGREE	', als er es ausdrückte' added; grammatical; gap hätte intact
P2-4960-de	AGREE	'da wird sie gerade ... gießen' gives future progressive at six; gap wird, distractors goss/hat wrong
P2-5578-de	AGREE	'in dieser Küche' added; natural; gap habe ich intact
P2-5703-de	AGREE	object 'die Schriftrolle' added; gap wird intact
P2-5738-de	AGREE	'auf der Arbeitsplatte' added; gap hatte intact
P2-5870-de	AGREE	'für die Fotos' added; gap würde intact
P2-5960-de	AGREE	'der Ware auf diesem Markt' added; gap würde intact
P2-7317-de	AGREE	'bevor sie diese rosa Tube fand' added, redundant zuvor dropped; grammatical; gap hatte intact
P2-7664-de	AGREE	zubereiten = make/prepare; distractors zubereitet haben/zubereitet mirror en; gap in sentence
P2-9586-de	AGREE	', und ihre Beine spüren es' added; gap hat intact
P2-9656-es	AGREE	haber tocado + la campana fixes broken form and missing object; gap podría haber intact
P2-9705-es	AGREE	haber firmar -> haber firmado; gap Podrían haber intact
P2-10358-fr	AGREE	micro-ondes dropped, 'bien trop chaud pour le tenir' = far too hot to hold; gap qu'il intact
P2-10965-de	AGREE	present 'wünscht sich', 'bevor sie angefangen hat' and '— die Blätter reißen ständig' match en; gap hätte intact
P2-10965-fr	AGREE	'— les feuilles n'arrêtent pas de se déchirer' added; 'aurait aimé avoir acheté' is the standard rendering; gap intact
P2-10965-tr	AGREE	'— kâğıtlar sürekli yırtılıyor' added; gap alsaymış intact
P2-11401-de	AGREE	es -> er fixes pronoun; gap der intact
P2-11853-es	AGREE	'la terraza de la cervecería' conveys beer garden; gap dos intact
P2-11853-fr	AGREE	'le biergarten' is the loanword French uses for beer garden; gap deux intact
P2-12051-tr	AGREE	bekleyemez restores negation (Kimse + negative verb); distractors bekleyemezler/beklemek wrong
P2-12572-fr	AGREE	'de gâteau' added; gap mange intact
P2-12836-tr	AGREE	kova -> sulama kabıyla = watering can; gap Dev havucu intact
P2-14217-fr	AGREE	'ne dépense pas beaucoup d'argent' = does not spend much money; gap argent, distractors argents/un argent wrong
P2-14315-tr	AGREE	'çok sessizdir' dropped; 'sisli bir ormandadır' = is in a misty forest; gap carries the copula, distractors wrong
P2-15844-fr	AGREE	'sur la fourchette' added; gap est intact
P2-15997-fr	AGREE	est assise = sits; distractors sont assises/être assise wrong
P2-16446-fr	AGREE	autres dropped so count is five; gap chèvres. intact
P2-16552-de	AGREE	'und eine Mütze' added; grammatical; gap ist intact
P2-16552-fr	AGREE	'et une casquette' added; gap est intact
P2-17121-fr	AGREE	'Combien de devoirs as-tu' = how much homework; gap Combien de, distractors Beaucoup de/Quelques wrong
P2-17991-es	AGREE	paquetes -> snacks (accepted anglicism); gap Cuántos intact
P2-17991-fr	AGREE	paquets -> snacks; gap combien de intact
P2-17991-tr	AGREE	paket -> atıştırmalık; gap kaç intact
P2-18387-es	AGREE	se sienta = sits; 'muro de piedra caliente' = warm stone wall, 'al sol' dropped; distractors wrong
P2-18387-fr	AGREE	est assis = sits, chaud = warm, 'au soleil' dropped; distractors wrong
P2-18387-tr	AGREE	güneşleniyor -> oturuyor = sits; distractors oturuyorlar/oturmak wrong
P2-19229-tr	AGREE	've hiç boş eli yok' added; gap var intact
P2-21793-fr	AGREE	'au chaud et en sécurité' = warm and safe; gap thé intact
P2-22002-fr	AGREE	'au bord du fjord' added; gap Qu' intact
