MEDIA 4222 | meaning: to signal with your hand
E 44658 | B1 type 31 Past Continuous | style slang | options 3 | SEL
en|Yo, the gecko ... at us when it suddenly started dancing, fr.|was waving|waved|has waved
de|Yo, der Gecko ... uns zu, als er plötzlich anfing zu tanzen, echt jetzt.|winkte|winkte|hat gewinkt
ua|Йо, гекон ... нам, коли раптом почав танцювати, реально.|махав|помахав|помахав
es|Oye, el geco nos ... cuando de repente empezó a bailar, en serio.|estaba saludando|saludó|ha saludado
fr|Yo, le gecko nous ... quand il s'est soudain mis à danser, sérieux.|faisait signe|a fait signe|a fait signe
tr|Ya, geko aniden dans etmeye başladığında bize ..., cidden.|el sallıyordu|el salladı|el salladı
hu|Tesó, a gekkó éppen ... nekünk, amikor hirtelen táncolni kezdett, komolyan.|integetett|intett|intett
MEDIA 4223 | meaning: having a hot, pungent taste
E 43368 | B1 type 31 Past Continuous | style dramatic | options 3 | SEL
en|The gecko ... spicy chillies when fire suddenly burst out of its mouth. Disaster!|was eating|ate|has eaten
de|Der Gecko ... gerade scharfe Chilis, als plötzlich Feuer aus seinem Maul schoss. Katastrophe!|aß|aß|hat gegessen
ua|Гекон ... гострі перчики чилі, коли раптом з його рота вирвався вогонь. Катастрофа!|їв|з'їв|з'їв
es|El geco ... chiles picantes cuando de repente le salió fuego de la boca. ¡Desastre!|estaba comiendo|comió|ha comido
fr|Le gecko ... des piments forts quand soudain du feu a jailli de sa bouche. Catastrophe !|mangeait|a mangé|a mangé
tr|Geko acı biber ..., o sırada ağzından aniden ateş fışkırdı. Felaket!|yiyordu|yedi|yedi
hu|A gekkó csípős chilit ..., amikor hirtelen tűz csapott ki a szájából. Katasztrófa!|evett|evett|megevett
E 43377 | B2 type 65 All Present Tenses | style slang | options 3 | SEL
en|Nah, the gecko ... fire right now 'cause the chillies are so spicy.|is breathing|breathes|has breathed
de|Nee, der Gecko ... gerade Feuer, weil die Chilis so scharf sind.|speit|speit|hat gespien
ua|Не, гекон зараз ... вогнем, бо чилі такі гострі.|дихає|дихає|дихав
es|Qué va, el geco ... fuego ahora mismo porque los chiles pican muchísimo.|está echando|echa|ha echado
fr|Nan, le gecko ... du feu là, parce que les piments sont trop forts.|crache|crache|a craché
tr|Yok ya, geko şu an ateş ..., çünkü biberler çok acı.|püskürüyor|püskürür|püskürdü
hu|Dehogy, a gekkó épp tüzet ..., mert a chilik nagyon csípősek.|okád|okád|okádott
MEDIA 4226 | meaning: to pursue wild animals for food or sport
E 40179 | B1 type 42 Passive or Active | style dramatic | options 3 | SEL
en|That crocodile ... the dinosaur from under the water. Absolute horror!|hunted|was hunted|hunting
de|Dieses Krokodil ... den Dinosaurier von unter Wasser aus. Absoluter Horror!|jagte|wurde gejagt|jagend
ua|Той крокодил ... на динозавра з-під води. Абсолютний жах!|полював|був упольований|полюючи
es|Ese cocodrilo ... al dinosaurio desde debajo del agua. ¡Puro terror!|cazó|fue cazado|cazando
