MEDIA 4617 | meaning: to be engaged in a fight
E 39185 | B1 type 33 Past Simple or Continuos | style gossip | options 3 | SEL
en|Bestie, I heard one guy was fighting at the front when he ... on the grass.|fell|was falling|has fallen
de|Bestie, ich habe gehört, dass ein Typ vorne gekämpft hat, als er ins Gras ...|fiel|gerade fiel|gefallen ist
ua|Подруго, я чула, що один чувак бився попереду, коли він ... на траву.|впав|падав|упав
es|Amiga, yo oí que un tío estaba luchando delante cuando ... en la hierba.|se cayó|se estaba cayendo|se ha caído
fr|Ma belle, j'ai entendu qu'un mec se battait devant quand il ... dans l'herbe.|est tombé|tombait|est tombé
tr|Kanka, ben duydum ki bir adam önde dövüşürken çimlere ...|düşmüş|düşüyormuş|düşmüş
hu|Csajszi, én azt hallottam, hogy egy srác elöl harcolt, amikor ... a fűbe.|elesett|épp esett|elesett
E 39192 | B2 type 63 Advanced linkers | style dramatic | options 3 | SEL
en|... the chaos, the red-bearded man keeps fighting, roaring like thunder!|Despite|Although|Because of
de|... des Chaos kämpft der rotbärtige Mann weiter und brüllt wie Donner!|Trotz|Obwohl|Wegen
ua|... хаос рудобородий чоловік бореться далі, ревучи, як грім!|Попри|Хоча|Через
es|¡... el caos, el hombre de barba roja sigue luchando, rugiendo como un trueno!|A pesar de|Aunque|Debido a
fr|... le chaos, l'homme à la barbe rousse continue de se battre en rugissant comme le tonnerre !|Malgré|Bien que|À cause de
tr|Kaosa ... kızıl sakallı adam gök gürültüsü gibi kükreyerek savaşmaya devam ediyor!|rağmen|gerçi|yüzünden
hu|A káosz ... a vörös szakállú férfi tovább harcol, mennydörgésként üvöltve!|ellenére|bár|miatt
MEDIA 4618 | meaning: a sudden rush toward someone or something
E 37710 | B1 type 45 Reported speech | style dramatic | options 3 | SEL
en|He screamed that the charge ... the end of the enemy!|would be|will be|is
de|Er schrie, dass der Angriff das Ende des Feindes ...!|sein würde|sein wird|ist
ua|Він кричав, що атака ... кінцем ворога!|буде|буде|є
es|¡Él gritó que la carga ... el fin del enemigo!|sería|será|es
fr|Il a hurlé que la charge ... la fin de l'ennemi !|serait|sera|est
tr|O, hücumun düşmanın sonu ... haykırdı!|olacağını|olacağını|olduğunu
hu|Ő azt üvöltötte, hogy a roham ... az ellenség vége!|lesz|lesz|
E 37713 | B2 type 62 Articles advanced | style gossip | options 3 | SEL
en|Guess what, everyone says ... was the best part of the whole show.|the charge|a charge|charge
