# id | pos | members | ok {a/b} | bad {a/b} [| head=N] [| irr=lemma:f;f]
# ---- Phase 1 false rejections (report lines 1236-1290)
near_beside | x | near, beside, next to, by | Two dolphins jump out of the ocean {near/beside} the boat. | She lives {near/beside} London, about ten miles away.
staple_clip | v | staple, clip | The {stapled/clipped} pile didn't move at all. | The barber {clipped/stapled} his beard.
still_motionless | x | still, motionless | She managed to remain totally {still/motionless}. | Is it {still/motionless} raining?
stay_keep_still | v | stay still, keep still, hold still, remain still, stay motionless | The dragonfly will stay if she {stays still/holds still}. | He couldn't {keep still/stay motionless} about the secret any longer.
strike_hit | v | strike, hit | Somebody {struck/hit} the singing bowl. | The workers {struck/hit} for higher pay.
strike_ring | v | strike, ring | Someone {struck/rang} the singing bowl. | Call me when you get home, just {ring/strike} me.
demand_request | n | demand, request | If she was a robot, the {demands/requests} wouldn't bother her. | There is a huge {demand/request} for cheap flats.
pedestal_stand_base | n | pedestal, stand, base | Their old globe has got a wooden {stand/pedestal}. | The fans cheered from the {stand/pedestal}.
smell_notice | v | smell, notice | She {smelled/noticed} that stench. | She {noticed/smelled} his new haircut.
catch_pick_up | v | catch, pick up | She suddenly {caught/picked up} the smell. | He {caught/picked up} the ball in mid-air.
smell_stench_stink | n | smell, stench, stink | She noticed that {stench/stink}. | I love the {smell/stench} of fresh bread.
swim_away_scatter | v | swim away, swim off, scatter, dart away, disperse | The fish had already {swum away/scattered}. | The police {dispersed/swam away} the crowd.
merely_just | x | merely, just | She {just/merely} raised her eyebrows. | I have {just/merely} got home.
eyebrow_brow | n | eyebrow, brow | She merely lifted her {eyebrows/brows}. | He wiped the sweat from his {brow/eyebrow}.
lash_eyelash | n | lash, eyelash | Her {lashes/eyelashes} look huge. | The prisoner was given ten {lashes/eyelashes}.
huge_gigantic | x | huge, enormous, gigantic, giant, massive, vast | Her lashes look {huge/gigantic}. | Thanks, that's a {huge/giant} help.
precisely_exactly | x | precisely, exactly | She said she wanted {exactly/precisely} the same one. | "Is it far?" "Not {exactly/precisely}, about ten minutes."
score_convert | v | score, convert | She has {scored/converted} three penalties this season. | He {converted/scored} the garage into a gym.
customs_officers | x | customs, customs officers, customs officials | {Customs/Customs officers} would probably let them in. | Her bag was checked at {customs/customs officers}.
probably_likely | x | probably, likely | Customs would {probably/likely} let them through. | That's a {likely/probably} story.
let_allow | v | let, allow | Customs would probably {let/allow} them through. | {Let/Allow} me carry that bag.
noticeboard | n | noticeboard, notice board, cork board, corkboard, pinboard, bulletin board | The evidence is on the {noticeboard/pinboard}. | Sam can't come to the {cork board/noticeboard} meeting.
only_just_still | x | still, only just | The lights were {still/only just} warming up. | She is {still/only just} angry with him.
waste_miss_penalty | v | miss, waste | She hasn't {missed/wasted} a single chance. | I {miss/waste} you so much.
refuse_reject | v | refuse, reject, turn down | She {rejected/turned down} their jacket. | She {refused/rejected} to answer.
eyelash_length | x | eyelash length, the length of your eyelashes, the length of your lashes | This mascara doubles {eyelash length/the length of your lashes}. | Measure {eyelash length/the length of your lashes} in a lab study.
jot_scribble | v | scribble, jot down, scrawl | She is {scribbling/jotting down} a note. | The toddler {scribbled/jotted down} all over the wall.
glow_shine | v | glow, shine | The laptop screen is {glowing/shining}. | She {shines/glows} at maths.
screen_of_laptop | x | laptop screen, screen of the laptop | The {laptop screen/screen of the laptop} is glowing. | I bought a new {laptop screen/screen of the laptop} online.
hold_stay_still | v | stay, hold, keep, remain | If she {stays/keeps} perfectly still, it won't fly. | We {stayed/held} at a small hotel.
movement_motion | n | motion, movement, animation | She will be adding {motion/movement} to every button. | The {motion/movement} was passed by the committee.
every_single | x | every, every single, each | She adds movement to {every/every single} button. | She visits us {every/every single} other week.
settle_sit_down | v | settle down, sit down, settle, take a seat | While the group was {settling down/sitting down}, someone struck the bowl. | They {settled down/sat down} in a small village and had kids.
apply_put_on | v | apply, put on | She has {applied/put on} three coats of mascara. | She {applied/put on} for the job. | head=0
coat_layer | n | coat, layer | She applied three {coats/layers} of mascara. | Put on your {coat/layer}, it's cold.
eyes_raise | v | lift, raise | The officer barely {lifted/raised} her eyes. | They {raised/lifted} money for charity.
compress_ice_pack | n | ice pack, cold compress, compress | She is pressing a blue {ice pack/cold compress} on the bump. | Put the {ice pack/compress} in the software to shrink the file.
lump_bump | n | bump, lump | She pressed ice on the {bump/lump}. | We drove over a {bump/lump} in the road.
press_hold | v | press, hold | She is {pressing/holding} an ice pack on the bump. | {Press/Hold} the button to start.
turn_down_reject | v | reject, turn down | She {rejected/turned down} the offer. | Please {turn down/reject} the music.
kind_type_sort | n | kind, type, sort | She wanted the same {kind/type}. | It was very {kind/type} of you.
customs_let_in | v | let in, let through, allow in | Customs would {let them in/let them through}. | Open the window and {let in/let through} some air.
stink_smell_bad | v | stink, smell bad, reek | If durians didn't {stink/smell bad} so much. | Your plan {stinks/smells bad}, honestly.
# ---- pilot {a|b} slots
whole_entire | x | whole, entire, all | The {whole/entire} group watched it. | He ate the cake {whole/entire} without chewing.
big_large | a | big, large | They live in a {big/large} house. | She is my {big/large} sister.
real_genuine | x | real, genuine | Is that a {real/genuine} diamond? | It was a {real/genuine} mess.
every_each | x | every, each | She packs {every/each} book into a box. | She comes {every/each} three days.
while_as | x | while, as | {While/As} the group was settling down, someone hit the bowl. | I waited for a {while/as}.
above_over | x | above, over | The lamp hangs {above/over} the table. | The film is {over/above}.
pile_heap_stack | n | pile, heap, stack | The {pile/stack} of papers didn't move. | She's got a {stack/heap} of money.
stay_remain | v | stay, remain | Please {stay/remain} seated. | We {stayed/remained} at my aunt's for a week.
alone_on_own | x | alone, on her own, by herself, on his own, by himself, on my own, by myself, on their own, by themselves | She lives {alone/on her own}. | Leave me {alone/on my own}! You're annoying.
nudge_poke_prod | v | nudge, poke, prod | She {nudged/poked} the jellyfish with a stick. | She {nudged/poked} the car into the parking space.
boat_ship | n | boat, ship | A small {boat/ship} carried us across the bay. | A little rowing {boat/ship} on the pond.
treaty_agreement | n | treaty, agreement, contract, deal | Both states signed the {treaty/agreement}. | We are in complete {agreement/treaty}.
guidebook_guide | n | guidebook, guide, travel guide | The {guidebook/guide} says the museum closes at five. | Our {guide/guidebook} spoke three languages.
vanish_disappear | v | vanish, disappear | The magician {vanished/disappeared} in a puff of smoke. | The rabbit was {gone/vanished} by morning.
ride_drive_journey | n | ride, drive, journey, trip | The {journey/drive} took three hours. | The kids went on a {ride/journey} at the fair.
check_inspect | v | check, inspect, examine, go through | The officer {checked/inspected} his passport. | Did you {check/examine} your email?
children_kids | n | child, kid | The {children/kids} are asleep. | The goat had two {kids/children}.
woman_lady | n | woman, lady | An old {woman/lady} sat on the bench. | Where's the {ladies/women}? I need to wash my hands.
comfortable_comfy | a | comfortable, comfy | This sofa is really {comfortable/comfy}. | They won by a {comfortable/comfy} margin.
spot_notice_see | v | spot, notice, see | Did you {spot/notice} the mistake? | I'll {see/spot} you tomorrow.
fetch_bring | v | fetch, bring, bring back | The dog {fetched/brought back} the ball. | The painting {fetched/brought} a million dollars.
completely_totally | x | completely, totally, entirely, fully | I {completely/totally} forgot. | I'm not {entirely/totally} sure.
set_off_out | v | set off, set out, start out, leave | We {set off/set out} at dawn. | The alarm was {set off/set out} by smoke.
mist_fog | n | mist, fog | The {fog/mist} lifted by noon. | The perfume came out as a fine {mist/fog}.
skin_peel_rind | n | skin, peel, rind | Throw the banana {peel/skin} in the bin. | She has very dry {skin/peel}.
annoyed_irritated | x | annoyed, irritated, angry | She looked {annoyed/irritated}. | The soap left her skin {irritated/annoyed}.
despite_in_spite_of | x | despite, in spite of | {Despite/In spite of} the rain, we went out. | She laughed {in spite of/despite} herself.
move_budge | v | move, budge | The pile didn't {move/budge} at all. | We {moved/budged} to Leeds last year.
roar_erupt | v | roar, erupt | The hall {roared/erupted} with laughter. | The volcano {erupted/roared} in 1980.
hall_crowd_audience | n | audience, crowd, hall | The whole {audience/crowd} was laughing. | We rented a {hall/crowd} for the wedding.
rush_hurry | v | rush, hurry | We {rushed/hurried} to the station. | He was {rushed/hurried} to hospital.
floor_ground | n | floor, ground | The book fell to the {floor/ground}. | Our flat is on the second {floor/ground}.
porch_veranda | n | porch, veranda | They sat on the {porch/veranda}. | Take your shoes off in the {porch/veranda} of the church.
hot_spicy | a | hot, spicy | This curry is too {hot/spicy} for me. | The soup is {hot/spicy}, wait until it cools.
train_practise | v | train, practise, practice | She {trains/practises} every morning. | We {trained/practised} the dog to sit.
light_lighting | n | light, lighting | The {lighting/light} in this room is bad. | Can you turn on the {light/lighting}?
warm_heat_up | v | warm up, heat up, reheat | She is {warming up/heating up} the soup. | The players are {warming up/heating up} before the match.
thick_heavy | a | thick, heavy | The fog was {thick/heavy} this morning. | This suitcase is really {heavy/thick}.
dish_food_meal | n | dish, meal, food | This {dish/meal} is very spicy. | Put the dirty {dishes/meals} in the sink.
wake_up_awake | v | wake up, wake | She {woke up/woke} at seven. | {Wake up/Wake}, you're dreaming!
tonight_this_evening | x | tonight, this evening | The film starts at eight {tonight/this evening}. | I'll be up late {tonight/this evening}, about 3 a.m.
empty_deserted | x | empty, deserted | The streets were {empty/deserted}. | The bottle is {empty/deserted}.
nevertheless_even_so | x | nevertheless, nonetheless, even so, still | It was raining. {Nevertheless/Even so}, we went out. | Sit {still/nevertheless}!
appointment_session_slot | n | appointment, slot, session | She booked an {appointment/slot} at the gym. | Put a coin in the {slot/appointment}.
moment_minute_second | n | moment, minute, second | Wait a {moment/minute}, please. | The meeting lasted forty {minutes/seconds}.
insist_claim | v | insist, claim | She {insisted/claimed} that she was innocent. | He {claimed/insisted} his luggage at the airport.
