exercise_id	lang	category	what_differs	proposed_fix
39713	ua	gap	en gap "an" vs ua gap empty (no article in the sentence)	change ua: no gap word exists; drop this language from the gap exercise or re-gap on the noun
39713	sk	gap	en gap "an" vs sk gap empty (no article in the sentence)	change sk: no gap word exists; drop this language from the gap exercise or re-gap on the noun
39713	cz	gap	en gap "an" vs cz gap empty (no article in the sentence)	change cz: no gap word exists; drop this language from the gap exercise or re-gap on the noun
39783	de	gap	en gap "does" (do-support inversion) vs de gap empty	change de: no equivalent word; drop this language from the gap exercise or re-gap on the verb
39783	ua	gap	en gap "does" (do-support inversion) vs ua gap empty	change ua: no equivalent word; drop this language from the gap exercise or re-gap on the verb
39783	es	gap	en gap "does" (do-support inversion) vs es gap empty	change es: no equivalent word; drop this language from the gap exercise or re-gap on the verb
39783	fr	gap	en gap "does" (do-support inversion) vs fr gap empty	change fr: no equivalent word; drop this language from the gap exercise or re-gap on the verb
39783	tr	gap	en gap "does" (do-support inversion) vs tr gap empty	change tr: no equivalent word; drop this language from the gap exercise or re-gap on the verb
39783	hu	gap	en gap "does" (do-support inversion) vs hu gap empty	change hu: no equivalent word; drop this language from the gap exercise or re-gap on the verb
39783	sk	gap	en gap "does" (do-support inversion) vs sk gap empty	change sk: no equivalent word; drop this language from the gap exercise or re-gap on the verb
39783	cz	gap	en gap "does" (do-support inversion) vs cz gap empty	change cz: no equivalent word; drop this language from the gap exercise or re-gap on the verb
39732	de	time_frame	en "would get smaller" (hypothetical) vs de «spielte ... schrumpfte» (reads as past: whenever he played, it shrank)	change de: Wenn er ein trauriges Lied spielen würde, würde die Menschenmenge schrumpfen (gap: würde ... schrumpfen)
39994	tr	gap	en gap "whose" vs tr gap empty (no such word in the sentence)	change tr: no gap word exists; drop this language from the gap exercise or re-gap on the participle/verb
40022	ua	gap	en gap "had" vs ua gap empty (no such word in the sentence)	change ua: no gap word exists; drop this language from the gap exercise or re-gap on the participle/verb
40151	tr	gap	en gap "who" vs tr gap empty (no such word in the sentence)	change tr: no gap word exists; drop this language from the gap exercise or re-gap on the participle/verb
40455	tr	gap	en gap "whose" vs tr gap empty (no such word in the sentence)	change tr: no gap word exists; drop this language from the gap exercise or re-gap on the participle/verb
40592	tr	gap	en gap "which" vs tr gap empty (no such word in the sentence)	change tr: no gap word exists; drop this language from the gap exercise or re-gap on the participle/verb
