MEDIA 4535 | meaning: a unit of instruction
E 33713 | A1 type 10 Prepositions of place/time | style clueless | options 3 | SEL
en|School lessons are on school days, so this lesson is ... Monday.|on|in|at
de|Schulstunden sind an Schultagen, also ist diese Stunde ... Montag.|am|im|um
ua|Шкільні уроки бувають у шкільні дні, тож цей урок ... понеділок.|у|у|о
es|Las clases del colegio son los días de colegio, así que esta clase es ... el lunes.||en|a
fr|Les cours ont lieu les jours d'école, donc ce cours est ... lundi.||dans|à
tr|Okul dersleri okul günlerinde olur, bu yüzden bu ders pazartesi ... yapılır.|||
hu|Az iskolai órák iskolanapokon vannak, ezért ez az óra ... van.|hétfőn|hétfőben|hétfőkor
E 33716 | A2 type 20 Much, Many, Some... | style dramatic | options 3 | SEL
en|The worst! There are too ... sums in this lesson!|many|much|a lot
de|Das Allerschlimmste! In dieser Stunde gibt es zu ... Rechenaufgaben!|viele|viel|eine Menge
ua|Це найгірше! На цьому уроці занадто ... прикладів!|багато|багато|багато
es|¡Lo peor! ¡En esta clase hay ... cuentas!|demasiadas|demasiada|un montón de
fr|C'est le pire ! Il y a ... calculs dans ce cours !|trop de|trop de|plein de
tr|En kötüsü! Bu derste ... fazla işlem var!|çok|çok|çok
hu|A legrosszabb! Túl ... feladat van ezen az órán!|sok|sok|rengeteg
MEDIA 4545 | meaning: being physically or mentally strong
E 35582 | A1 type 2 HAVE GOT | style chill | options 3 | SEL
en|The climber ... got great strength in her arms.|has|have|is
de|Die Kletterin ... große Kraft in den Armen.|hat|haben|ist
ua|Скелелазка ... велику силу в руках.|має|мати|є
es|La escaladora ... mucha fuerza en los brazos.|tiene|tienen|está
fr|La grimpeuse ... une grande force dans les bras.|a|ont|est
tr|Tırmanıcının kollarında büyük bir güç ...|var|var|
hu|A mászónőnek nagy erő ... a karjában.|van|van|van
E 35589 | A2 type 16 Future with WILL | style chill | options 3 | SEL
en|With this strength, she ... reach the top soon.|will|is|was
de|Mit dieser Kraft ... sie bald den Gipfel erreichen.|wird|ist|war
ua|З такою силою вона скоро ... вершини.|досягне|є|була
es|Con esta fuerza, ella ... llegar pronto a la cima.||está|estaba
fr|Avec cette force, elle ... atteindre bientôt le sommet.||est|était
tr|Bu güçle o yakında zirveye ...|ulaşacak||idi
hu|Ezzel az erővel ő hamarosan el ... érni a csúcsra.|fog|van|volt
MEDIA 4548 | meaning: later than usual or expected
E 33663 | A1 type 1 TO BE | style dramatic | options 3 | SEL
en|Disaster! He ... late for work again!|is|are|am
de|Katastrophe! Er ... schon wieder spät dran für die Arbeit!|ist|sind|bin
ua|Катастрофа! Він знову ... спізнілий на роботу!|є|є|є
es|¡Desastre! ¡Él ... otra vez tarde para el trabajo!|está|están|estoy
fr|Catastrophe ! Il ... encore en retard au travail !|est|sont|suis
tr|Felaket! O yine işe geç ...!|||
hu|Katasztrófa! Ő megint késésben ... a munkába menet!|van|vannak|vagyok
E 33668 | A2 type 24 Modal verb SHOULD | style chill | options 3 | SEL
en|He always wakes up late, so he ... buy a louder alarm.|should|should to|shoulds
de|Er wacht immer spät auf, also ... er einen lauteren Wecker kaufen.|sollte|sollte|sollte
ua|Він завжди прокидається пізно, тож він ... купити гучніший будильник.|мав би|мав би|мав би
es|Él siempre se despierta tarde, así que ... comprar un despertador más fuerte.|debería|debería|debería
fr|Il se réveille toujours tard, alors il ... acheter un réveil plus fort.|devrait|devrait|devrait
tr|O hep geç uyanıyor, bu yüzden daha sesli bir çalar saat ...|almalı|almalı|almalı
hu|Ő mindig későn ébred, ezért egy hangosabb ébresztőt ... vennie.|kellene|kellene|kellene
MEDIA 4550 | meaning: after a long delay, at last
E 32714 | A1 type 1 TO BE | style chill | options 3 | SEL
en|The coffee in the glass jug ... finally ready.|is|are|am
de|Der Kaffee in der Glaskanne ... endlich fertig.|ist|sind|bin
ua|Кава в скляному глечику ... нарешті готова.|є|є|є
es|El café de la jarra de cristal ... por fin listo.|está|están|estoy
fr|Le café dans la verseuse en verre ... enfin prêt.|est|sont|suis
tr|Cam sürahideki kahve nihayet hazır ...|||
hu|A kávé az üvegkancsóban végre ... kész.|||vagyok
E 32719 | A2 type 16 Future with WILL | style flirt | options 3 | SEL
en|Not gonna lie, the jug is finally full. You ... this cup.|will love|love|loved
de|Ehrlich gesagt, die Kanne ist endlich voll. Du ... diese Tasse lieben.|wirst|liebst|liebtest
ua|Чесно, глечик нарешті повний. Ти ... цю чашку.|полюбиш|любиш|любив
es|No te voy a mentir, la jarra por fin está llena. Tú ... esta taza.|amarás|amas|amaste
