key	exercise_id	lang	verdict	intro_text	correct_answer	distractor_1	distractor_2	note
F01	2869	es	WRONG	La próxima primavera ella ... dosis con ese mismo cuentagotas durante treinta años.	habrá estado midiendo	habrá sido medida	habrá midiendo	él -> ella (EN she); 3sg verb unchanged
F02	3146	fr	OK	Elle ... d'essayer l'or sur son amie aussi, et deux minutes plus tard elles avaient toutes les deux les paupières dorées.	a proposé	a promis	a refusé	elles = she and her friend (EN both); subject Elle matches She
F03	18372	tr	OK	Dur, o kuşu sen de ...	duyacaksın	duyuyorsun	duydun	o = demonstrative 'that bird'; sen matches you
F04	26932	fr	OK	Tu sais quoi, leur plan est apparemment simple : ils ... un record.	vont réaliser	réaliseront	réalisent	Tu sais quoi = Guess what (addressee); ils matches they
F05	33460	fr	OK	... de budget nous faut-il pour améliorer la pièce ? 800 euros.	Combien	Que	Pourquoi	il faut is impersonal; nous matches we
F06	34464	tr	OK	Onlar yukarıyı gösteriyor ... o şey gökyüzünde.	çünkü	ama	bu yüzden	o = demonstrative 'that thing'; Onlar matches They
F07	35333	hu	OK	Az ő kanapéjuk ... régi zöld kanapé.	egy	egy	a	ő + -juk = their (3pl possessor); pronoun fine. Separate issue: distractor_1 equals answer
F08	35649	fr	OK	Devine quoi ? Elle ... au soleil en ce moment, paraît-il.	est en train de rire	rit	est en train de rire	il in paraît-il is impersonal; Elle matches She. Separate issue: distractor_2 equals answer
F09	37574	fr	OK	S'il commence à pleuvoir, son sac à dos en toile ... ses affaires au sec.	gardera	garderait	a gardé	S'il = impersonal weather il; subject sac à dos matches rucksack
F10	38389	fr	OK	Ses cheveux forment des boucles serrées, donc ils ... être naturellement bouclés.	doivent	ne peuvent pas	ne devraient pas	ils = cheveux (plural noun in fr), same referent as it = hair
F11	39960	es	OK	¡Para las 5 de la tarde, ella ... cada galleta, y ese pañuelo olerá a ellas para siempre!	habrá horneado	horneará	estará horneando	ellas = galletas (the cookies), object not subject; ella matches she
F12	40044	fr	OK	L'entreprise ... un nouveau manager depuis des mois quand elle a enfin embauché ce jeune homme.	cherchait	cherche	cherchait	elle = l'entreprise, same entity as they = the company. Separate issue: distractor_2 equals answer
F13	41878	fr	OK	L'équipe a applaudi parce qu'elle ... la scène la plus difficile de la production.	venait de terminer	était en train de terminer	vient de terminer	elle = l'équipe, same entity as they = the crew
F14	44304	de	OK	Starker Move: Du ... den Kunden gerade, und er lacht immer noch.	veräppelst	veräppelst	hast veräppelt	singular they (the customer) rendered er; Du matches you. Separate issue: distractor_1 equals answer
F15	44304	ua	OK	Ефектний хід: ти просто зараз ... того клієнта, а він досі сміється.	розводиш	розводиш	розвів	singular they (the customer) rendered він; ти matches you. Separate issue: distractor_1 equals answer
F16	44304	fr	OK	Joli coup : tu ... ce client en ce moment, et il rit encore.	pièges	pièges	as piégé	singular they (the customer) rendered il; tu matches you. Separate issue: distractor_1 equals answer
F17	44900	de	OK	Die kleine Figur ... laut, als ihr die Kaktusstacheln in die Hand stachen.	schrie	wurde geschrien	schreiend	ihr = dative of die Figur (grammatical gender), same referent as his
