lang,id,mark,reason
tr,29798,!,mirrors the English exclamation; same sentence
tr,30500,!,mirrors the English exclamation; same sentence
tr,31553,!,mirrors the English exclamation; same sentence
tr,103427,!,mirrors the English exclamation; same sentence
tr,103922,!,mirrors the English exclamation; same sentence
tr,104462,!,mirrors the English exclamation; same sentence
tr,107504,!,mirrors the English exclamation; same sentence
tr,107522,!,mirrors the English exclamation; same sentence
tr,107837,!,mirrors the English exclamation; same sentence
tr,108089,!,mirrors the English exclamation; same sentence
tr,108341,!,mirrors the English exclamation; same sentence
tr,108584,!,mirrors the English exclamation; same sentence
tr,108845,!,mirrors the English exclamation; same sentence
tr,109070,!,mirrors the English exclamation; same sentence
tr,109088,!,mirrors the English exclamation; same sentence
tr,109313,!,mirrors the English exclamation; same sentence
tr,109331,!,mirrors the English exclamation; same sentence
tr,109583,!,mirrors the English exclamation; same sentence
tr,122633,!,mirrors the English exclamation; same sentence
tr,128708,!,mirrors the English exclamation; same sentence
tr,129077,!,mirrors the English exclamation; same sentence
tr,137879,!,mirrors the English exclamation; same sentence
tr,138392,!,mirrors the English exclamation; same sentence
tr,138662,!,mirrors the English exclamation; same sentence
tr,139184,!,mirrors the English exclamation; same sentence
tr,139697,!,mirrors the English exclamation; same sentence
tr,140192,!,mirrors the English exclamation; same sentence
tr,140444,!,mirrors the English exclamation; same sentence
tr,140696,!,mirrors the English exclamation; same sentence
tr,140939,!,mirrors the English exclamation; same sentence
tr,141209,!,mirrors the English exclamation; same sentence
tr,141452,!,mirrors the English exclamation; same sentence
tr,141695,!,mirrors the English exclamation; same sentence
tr,141938,!,mirrors the English exclamation; same sentence
tr,142190,!,mirrors the English exclamation; same sentence
tr,142433,!,mirrors the English exclamation; same sentence
tr,142676,!,mirrors the English exclamation; same sentence
tr,142919,!,mirrors the English exclamation; same sentence
tr,143162,!,mirrors the English exclamation; same sentence
tr,143423,!,mirrors the English exclamation; same sentence
tr,143666,!,mirrors the English exclamation; same sentence
tr,143909,!,mirrors the English exclamation; same sentence
tr,144152,!,mirrors the English exclamation; same sentence
tr,144404,!,mirrors the English exclamation; same sentence
tr,144674,!,mirrors the English exclamation; same sentence
tr,144917,!,mirrors the English exclamation; same sentence
tr,145169,!,mirrors the English exclamation; same sentence
tr,145421,!,mirrors the English exclamation; same sentence
tr,145664,!,mirrors the English exclamation; same sentence
tr,145907,!,mirrors the English exclamation; same sentence
tr,146150,!,mirrors the English exclamation; same sentence
tr,146402,!,mirrors the English exclamation; same sentence
tr,146681,!,mirrors the English exclamation; same sentence
tr,155636,!,mirrors the English exclamation; same sentence
tr,155879,!,mirrors the English exclamation; same sentence
tr,156140,!,mirrors the English exclamation; same sentence
tr,156383,!,mirrors the English exclamation; same sentence
tr,156626,!,mirrors the English exclamation; same sentence
tr,156869,!,mirrors the English exclamation; same sentence
tr,157139,!,mirrors the English exclamation; same sentence
tr,157400,!,mirrors the English exclamation; same sentence
tr,157652,!,mirrors the English exclamation; same sentence
tr,157895,!,mirrors the English exclamation; same sentence
tr,158147,!,mirrors the English exclamation; same sentence
tr,158426,!,mirrors the English exclamation; same sentence
tr,158669,!,mirrors the English exclamation; same sentence
tr,158921,!,mirrors the English exclamation; same sentence
tr,159164,!,mirrors the English exclamation; same sentence
tr,159425,!,mirrors the English exclamation; same sentence
tr,159668,!,mirrors the English exclamation; same sentence
tr,159911,!,mirrors the English exclamation; same sentence
tr,160172,!,mirrors the English exclamation; same sentence
tr,160424,!,mirrors the English exclamation; same sentence
tr,160676,!,mirrors the English exclamation; same sentence
tr,160928,!,mirrors the English exclamation; same sentence
tr,161171,!,mirrors the English exclamation; same sentence
tr,161432,!,mirrors the English exclamation; same sentence
tr,161675,!,mirrors the English exclamation; same sentence
tr,161945,!,mirrors the English exclamation; same sentence
tr,162188,!,mirrors the English exclamation; same sentence
tr,162440,!,mirrors the English exclamation; same sentence
tr,162683,!,mirrors the English exclamation; same sentence
tr,162926,!,mirrors the English exclamation; same sentence
tr,163169,!,mirrors the English exclamation; same sentence
tr,163412,!,mirrors the English exclamation; same sentence
tr,163664,!,mirrors the English exclamation; same sentence
tr,163916,!,mirrors the English exclamation; same sentence
tr,164159,!,mirrors the English exclamation; same sentence
tr,164411,!,mirrors the English exclamation; same sentence
tr,164654,!,mirrors the English exclamation; same sentence
tr,164897,!,mirrors the English exclamation; same sentence
tr,165140,!,mirrors the English exclamation; same sentence
tr,165410,!,mirrors the English exclamation; same sentence
tr,165662,!,mirrors the English exclamation; same sentence
tr,175733,!,mirrors the English exclamation; same sentence
tr,176309,!,mirrors the English exclamation; same sentence
cz,103918,!,mirrors the English exclamation; same sentence
hu,30501,!,mirrors the English exclamation; same sentence
hu,103923,!,mirrors the English exclamation; same sentence
hu,128709,!,mirrors the English exclamation; same sentence
hu,129078,!,mirrors the English exclamation; same sentence
hu,130257,!,mirrors the English exclamation; same sentence
sk,103915,!,mirrors the English exclamation; same sentence
ua,103921,!,mirrors the English exclamation; same sentence
tr,101546,?,Turkish question (mi/misin/miyim particle)
tr,131399,?,Turkish question (mi/misin/miyim particle)
tr,132137,?,Turkish question (mi/misin/miyim particle)
