item_no	exercise_id	lang	verdict	category	what_differs	proposed_fix
1	114	es	YES	number_person_gender	es ella vs en he	change es: ella -> él
2	208	en	YES	clause	en (not looked at notes, must have been practising for weeks) says something entirely different from all natives (hands shaking on clicker, cannot be as calm as she sounds)	change en: Her hands are shaking on the clicker, so she can't be as calm as she sounds. [gap: can't be]
3	331	en	YES	clause	de/ua/es/fr/tr/hu add 'that is the worst' which en (and sk/cz) lack	drop the added clause from de/ua/es/fr/tr/hu (or add ', and that's the worst part' to en)
4	354	en	YES	clause	de/ua/tr/hu/sk/cz add 'and she laughed' which en (and es/fr) lack	drop 'and she laughed' from de/ua/tr/hu/sk/cz (or add ', and she laughed' to en)
5	466	es	YES	number_person_gender	es subject él vs en she	change es: él -> ella
6	541	es	YES	number_person_gender	es subject él vs en she	change es: él -> ella
7	656	es	YES	number_person_gender	es subject él vs en she	change es: él -> ella
8	672	es	YES	number_person_gender	es subject él vs en she	change es: él -> ella
9	687	es	YES	number_person_gender	es subject él vs en she	change es: él -> ella
10	984	es	YES	number_person_gender	es subject él vs en she	change es: él -> ella
11	1030	es	YES	number_person_gender	es ella vs en he	change es: ella -> él
12	1041	es	YES	number_person_gender	es ella vs en he	change es: ella -> él
13	1067	ua	YES	noun_verb_place	ua коктейлі = cocktails vs en milkshakes	change ua: коктейлі -> молочні коктейлі
14	1079	ua	YES	noun_verb_place	ua коктейлю = cocktail vs en milkshake	change ua: коктейлю -> молочного коктейлю
15	1137	es	YES	number_person_gender	es subject él vs en she	change es: él -> ella
16	1154	es	YES	number_person_gender	es subject él vs en she	change es: él -> ella
17	1207	es	YES	number_person_gender	es subject él vs en she	change es: él -> ella
18	1207	de	YES	clause	de adds 'Ich bin sicher, dass' (I am sure that)	change de: Bis zum Ende der Woche wird sie jeden einzelnen Nachmittag in dieser Hängematte verbracht haben.
19	1421	es	YES	number_person_gender	es subject Él vs en she	change es: Él -> ella
20	1426	es	YES	number_person_gender	es subject él vs en she	change es: él -> ella
21	1551	hu	YES	gap	hu mondta (said) vs en cancelled	change hu: mondta volna -> lemondta volna (gap: lemondta)
22	1622	es	YES	number_person_gender	es ella vs en he	change es: ella -> él
23	1744	es	YES	number_person_gender	es subject Él vs en she	change es: Él -> ella
24	1798	es	YES	number_person_gender	es subject Él vs en she	change es: Él -> ella
25	1818	es	YES	number_person_gender	es subject él vs en she	change es: él -> ella
26	2006	es	YES	number_person_gender	es Ella vs en He	change es: Ella -> Él
27	2072	es	YES	number_person_gender	es subject él vs en she	change es: él -> ella
28	2090	es	YES	number_person_gender	es subject él vs en she	change es: él -> ella
29	2343	es	YES	number_person_gender	es ella vs en he	change es: ella -> él
30	2396	es	YES	number_person_gender	es subject Él vs en she	change es: Él -> ella
31	2477	es	YES	number_person_gender	es subject él vs en she	change es: él -> ella
32	2838	es	YES	number_person_gender	es yo (I) vs en he	change es: Ojalá yo hubiera -> Él desearía haber empujado / Ojalá él hubiera
33	3067	de	NO	-	-	-
34	3146	de	NO	-	-	-
35	3384	es	YES	number_person_gender	es yo (I) vs en he	change es: Ojalá yo hubiera -> Ojalá él hubiera
36	3477	es	YES	number_person_gender	es subject él vs en she	change es: él -> ella
37	3649	es	YES	noun_verb_place	es subject él (he) vs en the drone	change es: él -> el dron
38	3715	es	YES	number_person_gender	es subject él vs en she	change es: él -> ella
39	3761	es	YES	number_person_gender	es subject él vs en she	change es: él -> ella
40	4119	es	YES	number_person_gender	es subject él vs en she	change es: él -> ella
41	4164	es	YES	number_person_gender	es yo (I) vs en he	change es: Ojalá yo pudiera -> Ojalá él pudiera
42	4196	de	YES	clause	de drops 'when he squeezed it'	change de: add ', als er es ausdrückte' at the end
43	4314	es	YES	number_person_gender	es subject él vs en she	change es: él -> ella
44	4636	es	YES	number_person_gender	es subject Él vs en she	change es: Él -> ella
45	4728	es	YES	number_person_gender	es subject él vs en she	change es: él -> ella
46	4780	sk	YES	noun_verb_place	sk drops the subject 'her brother'	change sk: Do Vianoc si jej brat z toho bábikovského svetra bude uťahovať už mesiace.
47	4780	cz	YES	noun_verb_place	cz drops the subject 'her brother'	change cz: Do Vánoc si její bratr z toho panenkovského svetru bude utahovat už měsíce.
48	4884	es	YES	number_person_gender	es usted (formal you) vs en he	change es: usted -> él
49	4960	de	YES	time_frame	de 'gießt gerade' = is pouring right now, not at six (future progressive)	change de: sie wird dann gerade Harz über die nächste Tischplatte gießen (gap: wird ... gießen)
50	5157	es	YES	number_person_gender	es ella vs en he	change es: ella -> él
51	5578	es	YES	number_person_gender	es él + había visto (he had seen) vs en I have seen	change es: Nunca he visto un corcho salir tan limpio en esta cocina. (gap: he visto)
52	5578	de	YES	clause	de drops 'in this kitchen'	change de: add 'in dieser Küche' (Nie habe ich in dieser Küche einen Korken so sauber herauskommen sehen.)
53	5628	es	YES	number_person_gender	es subject él vs en she	change es: él -> ella
54	5703	es	YES	number_person_gender	es subject él vs en she	change es: él -> ella
55	5703	de	YES	noun_verb_place	de drops the object 'the scroll'	change de: Wenn sie die Schriftrolle lauter vorliest, ...
56	5728	es	YES	number_person_gender	es subject Él vs en she	change es: Él -> ella
57	5738	de	YES	clause	de drops 'on the counter'	change de: add 'auf der Arbeitsplatte' after Pfütze
58	5829	es	YES	number_person_gender	es subject Él vs en she	change es: Él -> ella
59	5870	de	YES	clause	de drops 'for the photos'	change de: add 'für die Fotos' (… die Bühne zweimal für die Fotos überqueren)
60	5960	de	YES	noun_verb_place	de 'die Hälfte' drops 'this market's stock'	change de: die Hälfte der Ware auf diesem Markt ablehnen
61	5985	es	YES	number_person_gender	es Ella vs en He	change es: Ella -> Él
62	6179	es	YES	number_person_gender	es subject él vs en she	change es: él -> ella
63	6228	es	YES	number_person_gender	es subject Él vs en she	change es: Él -> ella
64	6272	ua	NO	-	-	-
65	6272	tr	NO	-	-	-
66	6272	hu	NO	-	-	-
67	6272	sk	NO	-	-	-
68	6272	cz	NO	-	-	-
69	6313	es	YES	number_person_gender	es yo (I) vs en he	change es: Ojalá yo hubiera -> Ojalá él hubiera
70	6736	es	YES	number_person_gender	es Ella vs en He	change es: Ella -> Él
71	6783	hu	YES	noun_verb_place	hu 'amely eltört' = which broke (by itself), loses 'she broke'	change hu: amely tavasszal eltört -> amelyet tavasszal eltört (gap: amelyet)
