key	exercise_id	lang	my_verdict	fix_ok	note
F01	2869	es	WRONG	YES	él -> ella only change; one ...; full sentence grammatical, matches EN she; distractors unchanged and differ from answer
F02	3146	fr	OK	NA	elles = she and her friend (both), Elle matches She
F03	18372	tr	OK	NA	o = demonstrative 'that bird'
F04	26932	fr	OK	NA	Tu sais quoi = idiom Guess what; ils matches they
F05	33460	fr	OK	NA	il faut impersonal
F06	34464	tr	OK	NA	o şey = demonstrative 'that thing'
F07	35333	hu	OK	NA	ő + -juk = their; side issue: distractor_1 equals answer
F08	35649	fr	OK	NA	paraît-il impersonal; side issue: distractor_2 equals answer
F09	37574	fr	OK	NA	S'il impersonal weather il
F10	38389	fr	OK	NA	ils = cheveux, thing
F11	39960	es	OK	NA	ellas = galletas, thing
F12	40044	fr	OK	NA	elle = l'entreprise, same entity; side issue: distractor_2 equals answer
F13	41878	fr	OK	NA	elle = l'équipe, same entity
F14	44304	de	OK	NA	singular they -> er for the customer; side issue: distractor_1 equals answer
F15	44304	ua	OK	NA	singular they -> він for the customer; side issue: distractor_1 equals answer
F16	44304	fr	OK	NA	singular they -> il for the customer; side issue: distractor_1 equals answer
F17	44900	de	OK	NA	ihr = die Figur, grammatical gender of noun referent
